origin,population
Total:,"2,734"
Europe:,834
Denmark,3
Ireland,12
Norway,16
Sweden,46
"United Kingdom, excluding England and Scotland",24
England,208
Scotland,18
Other Northern Europe,0
Austria,0
Belgium,0
France,21
Germany,199
Netherlands,23
Switzerland,15
Other Western Europe,0
Greece,0
Italy,0
Portugal,0
Azores Islands,0
Spain,0
Other Southern Europe,0
Albania,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Czechoslovakia (includes Czech Republic and Slovakia),10
Hungary,0
Latvia,16
Lithuania,0
Moldova,0
North Macedonia (Macedonia),0
Poland,17
Romania,5
Russia,148
Serbia,0
Ukraine,0
Other Eastern Europe,53
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan",15
Hong Kong,22
Taiwan,10
Japan,45
Korea,57
Other Eastern Asia,0
Afghanistan,9
Bangladesh,0
Bhutan,0
India,102
Iran,21
Kazakhstan,0
Nepal,0
Pakistan,0
Sri Lanka,0
Uzbekistan,0
Other South Central Asia,0
Burma (Myanmar),3
Cambodia,0
Indonesia,44
Laos,7
Malaysia,0
Philippines,197
Singapore,0
Thailand,4
Vietnam,57
Other South Eastern Asia,0
Armenia,0
Azerbaijan,0
Georgia,0
Iraq,0
Israel,0
Jordan,0
Kuwait,0
Lebanon,0
Saudi Arabia,0
Syria,0
Turkey,0
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,39
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,0
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,0
Algeria,0
Egypt,0
Morocco,0
Sudan,0
Other Northern Africa,0
South Africa,30
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,0
Senegal,0
Sierra Leone,0
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,0
Other Australian and New Zealand Subregion,0
Fiji,1
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",1
Bahamas,0
Barbados,0
Cuba,0
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,0
Jamaica,0
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,0
West Indies,0
Other Caribbean,0
Belize,0
Costa Rica,0
El Salvador,106
Guatemala,38
Honduras,3
Mexico,475
Nicaragua,19
Panama,0
Other Central America,0
Argentina,37
Bolivia,0
Brazil,0
Chile,87
Colombia,21
Ecuador,0
Guyana,0
Peru,15
Uruguay,56
Venezuela,30
Other South America,0
Canada,349
Other Northern America,0
