county,embedding
Abbeville South Carolina,"-0.05331388, 0.03544074,-0.00651072, 0.02127466, 0.00015562, 0.00495118, 0.0334721 ,-0.01825171,-0.01155752, 0.01273755,-0.00745521, 0.03461189, 0.01312235,-0.01619896,-0.01961084, 0.03165083, 0.00218689, 0.00133454,-0.00295051, 0.00117225,-0.01180785, 0.00397903,-0.00320236, 0.0029706 , 0.00387074,-0.0174267 , 0.01435048,-0.02201916,-0.01318816,-0.00522749,-0.01552777, 0.00373652,-0.00941127, 0.00150449, 0.00962997,-0.00883447, 0.00509642, 0.00788668,-0.0159387 ,-0.00080788,-0.00445741,-0.00018075, 0.00113452, 0.00822458, 0.00253403,-0.01027633,-0.00493895, 0.00334068, 0.00809959,-0.00696811"
Acadia Parish Louisiana," 0.02189952,-0.04502564, 0.00641117,-0.00686037, 0.20366111, 0.12145235, 0.03528732,-0.04576363, 0.00712505,-0.05240408,-0.05566715,-0.05187216,-0.07315823, 0.0030336 ,-0.06541545, 0.01709757,-0.09160916, 0.03025983, 0.05681043, 0.03902179, 0.06589541, 0.00730505,-0.05241022, 0.00581486,-0.00891773, 0.044106  , 0.04539291,-0.03411005,-0.03072927, 0.03425737, 0.00772255, 0.06366497, 0.02290667,-0.00430605,-0.02883012,-0.01146286,-0.03346002,-0.00466414,-0.01212699, 0.05837397,-0.00544694, 0.01953951,-0.01251158,-0.00789492,-0.01838075,-0.00340291, 0.05215693, 0.03082487, 0.02801817,-0.04750838"
Accomack Virginia,"-0.01374516,-0.01615716,-0.00065017,-0.01929249, 0.04147226, 0.04403488, 0.05525961,-0.0188765 ,-0.02273751,-0.00116069, 0.02798279,-0.04386129,-0.01480437,-0.02222503,-0.02049066,-0.00144303,-0.00763112,-0.00328925, 0.0261955 , 0.0152613 , 0.00435605,-0.01819188,-0.00370728, 0.00707803, 0.00032451, 0.01512548,-0.01105452,-0.00898954,-0.01636526, 0.0107532 ,-0.00037889, 0.01315014, 0.00346504,-0.01044763, 0.0221953 ,-0.01389741,-0.01036454, 0.00902258,-0.00888322, 0.00881708, 0.00884625, 0.0041093 , 0.01514925,-0.00063662, 0.00500676, 0.00235818, 0.01005719,-0.00087615,-0.00971317, 0.01296277"
Ada Idaho," 0.122511  ,-0.01637653, 0.06432237, 0.01843481,-0.05647375,-0.01486082, 0.02229574, 0.01092368,-0.03032686,-0.03064907, 0.00275971,-0.01240647,-0.02214247, 0.02578265,-0.01215146,-0.0122851 ,-0.01377575, 0.01218142, 0.00983556,-0.01518443, 0.01125088,-0.01882967, 0.02251694,-0.03194146, 0.00800651,-0.01170587, 0.03388734,-0.01990268, 0.01148341,-0.00719982, 0.01266484,-0.01670706,-0.01566789, 0.00157434, 0.01643083, 0.00210054, 0.00670347, 0.01149619,-0.01778905,-0.00331873, 0.00809636, 0.00543119, 0.0029301 , 0.00140313, 0.01615375, 0.0166474 , 0.01753308,-0.00360638,-0.01262962,-0.01254185"
Adair Iowa,"-2.50697434e-02, 6.83327913e-02,-1.42884413e-02, 2.89936867e-02,-6.32477999e-02,-1.57574173e-02,-3.61316763e-02, 7.74685154e-03, 4.97155674e-02, 2.10555475e-02,-3.68097727e-03,-4.30346318e-02, 2.24450305e-02,-8.74928571e-03,-1.30554447e-02,-1.44102601e-02, 8.30999482e-03,-1.15416199e-02, 5.25234919e-03, 2.73136105e-02,-5.30673238e-03,-7.99316820e-03,-6.34835428e-03,-4.72666882e-02, 2.20269058e-03,-4.34699049e-03, 3.14148114e-04, 1.98273198e-03,-4.30138083e-03,-6.72979048e-03, 2.00296305e-02,-2.35789747e-04,-2.18918398e-02, 1.72767900e-02, 1.39009040e-02, 5.92967845e-04,-1.47923445e-02, 1.22280821e-04, 1.92381069e-02,-6.02732040e-03, 2.53842166e-03, 9.56917575e-05,-4.02863370e-03,-2.21022312e-03, 4.02663928e-03,-2.30670311e-02, 3.16421837e-02,-5.04446495e-03,-2.00144630e-02,-1.09954346e-02"
Adair Kentucky,"-2.4974767e-02,-1.4679742e-02,-1.8883942e-02, 1.7912216e-02, 1.5170455e-02,-2.8339228e-02,-1.3020322e-05,-1.6628331e-02,-1.5885850e-02,-4.2306129e-03,-1.6219951e-02, 1.2849713e-02, 3.5094786e-03, 3.4271379e-03,-2.1713955e-02,-5.5683445e-04, 1.2300208e-02, 2.5941606e-03,-3.0960990e-03,-4.1002999e-03,-4.5495655e-04,-2.7180007e-02, 1.4521520e-02,-3.4735661e-03, 4.0193829e-03,-1.1886143e-02,-1.7450117e-02,-8.4951902e-03,-7.8666322e-03, 1.8682631e-02,-8.2863960e-03,-1.2946481e-02,-6.3797191e-04,-2.3727009e-02, 2.3937295e-03, 3.5789383e-03, 3.4182478e-02, 1.1879723e-02, 5.8385027e-03,-1.2617802e-02, 1.4100497e-02, 6.5148757e-03, 1.7869264e-02,-1.8453994e-03, 4.5641400e-03,-3.5391415e-05, 1.0366837e-02,-1.3987299e-02,-7.0066084e-03, 2.2745615e-02"
Adair Missouri,"-0.01885681, 0.01685396, 0.0057664 , 0.00884411, 0.01844103,-0.00875852,-0.03127666, 0.01896664, 0.01976648, 0.00735699, 0.01069353,-0.01451143, 0.00272615, 0.00927196, 0.02002401,-0.0102019 , 0.01245416,-0.01434747, 0.00614079,-0.00476631,-0.00399166, 0.0052062 , 0.01198627,-0.0079812 , 0.0058311 ,-0.00687907,-0.0035589 ,-0.00710429,-0.00445855, 0.00393709, 0.00574954, 0.00249644,-0.00572719,-0.00846431, 0.00750228,-0.00321198,-0.00521386,-0.01059601,-0.00305038,-0.00449102, 0.00170785, 0.00512377, 0.00355668,-0.01256464, 0.00397859,-0.00704028,-0.02105846,-0.00725261, 0.00325749, 0.0064016 "
Adair Oklahoma," 7.34708160e-02,-1.69576779e-02,-3.56790870e-02, 4.48919320e-03,-1.26899164e-02,-3.71295027e-02,-1.90736947e-03, 3.52438688e-02,-1.79563053e-02, 1.41277276e-02,-3.67382634e-03,-4.31070151e-03,-2.14389544e-02, 1.31289959e-02, 2.21550502e-02,-6.26304327e-03, 3.03115370e-03, 1.11942682e-02,-1.28756594e-02, 1.05648777e-02, 2.64795148e-03, 1.42963137e-02, 2.73053767e-03,-5.12590632e-04,-1.20430933e-02,-5.30402130e-03, 1.61035525e-04, 2.57715769e-02,-9.29390546e-03, 1.23235360e-02, 6.85345428e-03, 6.65317522e-03, 1.51349032e-05,-5.56489825e-03, 5.99252759e-03, 1.20592285e-02,-2.16081273e-02,-5.64678991e-03,-1.00152474e-02,-3.04642046e-04,-7.34568387e-03, 8.25549942e-03, 2.23477813e-03, 6.63821632e-03,-8.47712508e-04, 2.44748383e-03,-1.27926953e-02,-1.11970594e-02,-5.55322599e-03, 1.80848576e-02"
Adams Colorado," 0.07347685,-0.04596049, 0.0332011 ,-0.01794033,-0.02412207,-0.01242183,-0.03418242,-0.00700015, 0.01974336,-0.00512122, 0.01513883, 0.00238787, 0.00933509, 0.01512325, 0.01665588, 0.01131991,-0.02335829,-0.01822749,-0.00128141,-0.01158442,-0.00380054,-0.01035885, 0.00499708, 0.00020485, 0.01799632, 0.01029921, 0.00104479, 0.01417118, 0.00736351, 0.00817701, 0.0141931 , 0.00412819, 0.00209271,-0.00171131, 0.00745052,-0.02847421,-0.01692623,-0.00096422, 0.02320487, 0.00447143, 0.00889427,-0.01137755,-0.01229742,-0.00828943,-0.00220023, 0.00329717, 0.00868496,-0.01077576,-0.00767976, 0.00742195"
Adams Idaho,"-0.05090933, 0.06865118, 0.03204139, 0.00679147,-0.02659606, 0.02581126,-0.01872424,-0.01376514,-0.05613763, 0.00207492,-0.01323299, 0.00288205, 0.00856785,-0.0257898 , 0.00946151, 0.00694717, 0.00598487, 0.00126166,-0.00624389, 0.03080781,-0.00967409, 0.01147823, 0.00199379, 0.00138642, 0.01039737,-0.02810821,-0.01198562, 0.00156282,-0.00236349, 0.00787387,-0.02343601,-0.00059428, 0.00404701, 0.0173096 ,-0.00721977, 0.0089386 ,-0.00801452,-0.01596882, 0.00029497, 0.00961642, 0.01342617,-0.03046788,-0.02271281, 0.00044636,-0.0017539 , 0.02552839, 0.00468324, 0.00699841, 0.01319179, 0.01053753"
