Cuisine Type,Name,Address,Website
Mexican,La Penca Azul,"1440 Park St, Alameda, CA 94501, USA",http://www.lapencaazul.com/
Mexican,Casa Revolución Taqueria,"2522 Santa Clara Ave, Alameda, CA 94501, USA",https://casarevoluciontaqueriaca.com/
Mexican,Taqueria Viva México,"2327 Central Ave, Alameda, CA 94501, USA",http://www.taqueriavivamexico.com/
Mexican,Cholita Linda,"1337 Park St, Alameda, CA 94501, USA",https://www.cholitalinda.com/
Mexican,Calafia Taqueria,"1445 Webster St, Alameda, CA 94501, USA",http://www.calafiataqueria.com/
Mexican,Island Taqueria,"1513 Park St, Alameda, CA 94501, USA",
Mexican,Canasta Kitchen,"1544 Webster St, Alameda, CA 94501, USA",http://www.canastakitchen.com/
Mexican,El Caballo Wraps,"1108 Lincoln Ave, Alameda, CA 94501, USA",https://www.elcaballowraps.com/
Mexican,La Penca Azul,"891-B Island Dr, Alameda, CA 94502, USA",http://www.lapencaazul.com/
Mexican,Chipotle Mexican Grill,"2610 5th St, Alameda, CA 94501, USA",https://locations.chipotle.com/ca/alameda/2610-5th-st?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Acapulco,"2100 Lincoln Ave, Alameda, CA 94501, USA",http://www.acapulcoalameda.com/
Mexican,360 Degrees Gourmet Burritos,"951 Marina Village Pkwy, Alameda, CA 94501, USA",http://360gourmetburritos.com/
Mexican,Oscar's Grill,"1411 Harbor Bay Pkwy, Alameda, CA 94502, USA",https://www.oscarsgrillalameda.com/
Mexican,Cholita Linda,"4923 Telegraph Ave, Oakland, CA 94609, USA",https://www.cholitalinda.com/
Mexican,Otaez,"3872 International Blvd, Oakland, CA 94601, USA",http://otaezrestaurant.com/
Mexican,Chipotle Mexican Grill,"2314 S Shore Center, Alameda, CA 94501, USA",https://locations.chipotle.com/ca/alameda/2314-s-shore-ctr?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Molcajete Cocina Mexicana,"1734 Webster St, Oakland, CA 94612, USA",http://www.molcajetecocinamexicana.com/
Mexican,Taqueria Mi Burrito,"2321 Alameda Ave, Alameda, CA 94501, USA",
Mexican,Calavera,"2337 Broadway, Oakland, CA 94612, USA",http://www.calaveraoakland.com/
Mexican,Rico Rico Taco,"3205 Lakeshore Ave, Oakland, CA 94610, USA",https://www.ricoricotaco.com/
Swedish,Speisekammer,"2424 Lincoln Ave, Alameda, CA 94501, USA",http://speisekammer.com/?y_source=1_MTkxNjk3OTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Latvian,Speisekammer,"2424 Lincoln Ave, Alameda, CA 94501, USA",http://speisekammer.com/?y_source=1_MTkxNjk3OTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Latvian,Abigail's Moroccan Cuisine,"1132 Ballena Blvd, Alameda, CA 94501, USA",https://www.abigailsalameda.com/
Latvian,Asena,"2508 Santa Clara Ave, Alameda, CA 94501, USA",http://asenarestaurant.com/
Latvian,Phnom Penh House,"1514 Webster St, Alameda, CA 94501, USA",http://phnompenhhouse.com/
Latvian,ALA Mediterranean Grill & Mezzes,"1504 Webster St, Alameda, CA 94501, USA",https://www.facebook.com/profile.php?id=100076233160456
Latvian,Pasta Pelican Restaurant,"2455 Mariner Square Dr, Alameda, CA 94501, USA",https://www.pastapelican.com/
Latvian,Cafe Jolie,"1500 Webster St, Alameda, CA 94501, USA",http://www.cafejolies.com/
Italian,Pasta Pelican Restaurant,"2455 Mariner Square Dr, Alameda, CA 94501, USA",https://www.pastapelican.com/
Italian,Tomatina,"1338 Park St, Alameda, CA 94501, USA",http://www.tomatina.com/
Italian,Trabocco Kitchen and Cocktails,"2213 S Shore Center, Alameda, CA 94501, USA",http://www.trabocco.com/
Italian,Pastas Trattoria,"405 Main St, Pleasanton, CA 94566, USA",http://www.pastastrattoriapleasanton.com/
Italian,De La Torre's Trattoria,"6025 W Las Positas Blvd, Pleasanton, CA 94588, USA",http://www.delatorres.net/?y_source=1_NDg0OTQ4NzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Locanda Amalfi,"349 Main St, Pleasanton, CA 94566, USA",https://www.locandarestaurants.com/
Italian,Olive Garden Italian Restaurant,"24688 Hesperian Blvd, Hayward, CA 94545, USA",https://www.olivegarden.com/locations/ca/hayward/hayward/1382?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:hayward-ca-1382_pl:locurl_rd:1287
Italian,Buon Appetito,"917 A St, Hayward, CA 94541, USA",http://www.buonappetitorestaurant.net/
Italian,Strizzi's Restaurant - Pleasanton,"649 Main St, Pleasanton, CA 94566, USA",http://www.strizzis.com/
Italian,Olive Garden Italian Restaurant,"39145 Farwell Dr, Fremont, CA 94538, USA",https://www.olivegarden.com/locations/ca/fremont/fremont/1143?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:fremont-ca-1143_pl:locurl_rd:1095
Italian,Baci Bistro and Bar,"500 Main St, Pleasanton, CA 94566, USA",http://bacibistroandbar.com/
Italian,Paradiso,"685 Bancroft Ave, San Leandro, CA 94577, USA",https://www.paradisosanleandro.com/
Italian,Belotti Ristorante E Bottega,"5403 College Ave, Oakland, CA 94618, USA",http://belottirb.com/
Italian,Ristorante Di Parma,"22532 Foothill Blvd, Hayward, CA 94541, USA",https://www.ristorantediparmaca.com/
Italian,Rigatoni's Fresh Italian Grill Hayward,"20501 Hesperian Blvd, Hayward, CA 94541, USA",https://www.rigatonis.com/menus/menu-hayward.html
Italian,Strizzi's Restaurant - Fremont,"2740 Mowry Ave, Fremont, CA 94538, USA",http://www.strizzis.com/
Italian,Asena,"2508 Santa Clara Ave, Alameda, CA 94501, USA",http://asenarestaurant.com/
Italian,La Val's Pizza,"891 Island Dr Suite E, Alameda, CA 94502, USA",http://www.lavalspizza.com/
Italian,Chianti's Ristorante,"436 Main St, Pleasanton, CA 94566, USA",http://www.chiantireserve.com/
