Cuisine Type,Name,Address,Website
Mexican,Citlalli's Mexican Restaurant,"248 W Albany Ave, Pearson, GA 31642, USA",
Mexican,Los Benitez Mexican Restaurant,"532 N Main St, Pearson, GA 31642, USA",
Mexican,Julie’s Mexican Restaurant,"165 N Main St, Pearson, GA 31642, USA",
Mexican,El Toro Bar & Grill,"80 N Main St, Pearson, GA 31642, USA",
Mexican,Taqueria Hernandez,"Fleetwood Ave E, Willacoochee, GA 31650, USA",
Mexican,Cheva's taqueria,"531 N Main St, Pearson, GA 31642, USA",
Mexican,I & M YUMMY CREATIONS LLC,"104 N Main St, Pearson, GA 31642, USA",
Mexican,Taqueria La Gracia,"424 N Main St, Pearson, GA 31642, USA",http://taquerialagracia.online/
Mexican,LA CHAPARRITA,"82 Fleetwood Ave, Willacoochee, GA 31650, USA",
Mexican,El Rincón Mexicano Restaurant,"950 Bowens Mill Rd SW, Douglas, GA 31533, USA",
Mexican,Taqueria 441 South,"2989 US-441, Douglas, GA 31535, USA",
Mexican,El 1800 Mexican Restaurant,"1600 Peterson Ave S, Douglas, GA 31533, USA",
Mexican,Taqueria Pancho Villa II DOUGLAS,"1002 Peterson Ave S, Douglas, GA 31533, USA",http://taqueriapanchovilla.com/
Mexican,Taqueria Los Tres Garcia,"306 Peterson Ave S, Douglas, GA 31533, USA",https://www.taquerialostresgarciasorder.online/?y_source=1_MTAyNjE5NjM1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Azteca's Mexican Restaurant,"3045 US-441, Douglas, GA 31535, USA",
Mexican,"Surcheros - Douglas, GA","500 N Peterson Ave N, Douglas, GA 31533, USA",http://www.surcheros.com/
Mexican,Fiesta Mexicana of Douglas,"1701 US-221, Douglas, GA 31533, USA",https://www.facebook.com/Fiesta-Mexicana-100160558845402
Mexican,Taco Bell,"1200 Peterson Ave S, Douglas, GA 31533, USA",https://locations.tacobell.com/ga/douglas/1200-s-peterson.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=029076&utm_content=website&y_source=1_NjE0NjgwOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Rigo's Taqueria,"604 Gaskin Ave S, Douglas, GA 31533, USA",
Mexican,Casa Del Sol,"305 N Liberty St, Nicholls, GA 31554, USA",
Latvian,Los Benitez Mexican Restaurant,"532 N Main St, Pearson, GA 31642, USA",
