Cuisine Type,Name,Address,Website
Mexican,Campo Cafe,"405 S Main St, Campo, CO 81029, USA",http://campo-cafe.edan.io/
Mexican,El Aguaje Mexican Restaurant,"329 1/2 Morton St, Elkhart, KS 67950, USA",
Mexican,Peraza's Tacos,"110 US-50, Syracuse, KS 67878, USA",
Mexican,Felisa's Mexican Food & Lounge,"27948 Frontage Rd, La Junta, CO 81050, USA",
Mexican,Guera's Tacos,"901 E Main St, Boise City, OK 73933, USA",
Mexican,K.C.'s Mexican American Restaurant,"401 US-50 Scenic, Syracuse, KS 67878, USA",
Mexican,La Estrella,"117 S Main St, Ulysses, KS 67880, USA",
Mexican,Tacos Los paisas,"702 S Colorado St, Ulysses, KS 67880, USA",
Mexican,Agave Azul Mexican Restaurant,"1104 E Oklahoma Ave, Ulysses, KS 67880, USA",https://sites.google.com/advantagemobilemedia.com/agaveazulmexicanrestaurant/home
Mexican,Antojitos Nila,"830 E Oklahoma Ave, Ulysses, KS 67880, USA",https://www.facebook.com/profile.php?id=100087792406472&mibextid=LQQJ4d
Mexican,Fiesta Mexicana Family Restaurant,"1220 E Rainbow Blvd #2916, Salida, CO 81201, USA",https://www.instagram.com/fiesta.mexicana.restaurant/
Mexican,Las Camelinas,"128 W 1st St, Salida, CO 81201, USA",https://www.facebook.com/salidacamelinas/
Mexican,Los Agaves Bar And Grill,"518 S Main St, Hugoton, KS 67951, USA",
Mexican,Alejandro's,"816 W Oklahoma Ave, Ulysses, KS 67880, USA",https://www.facebook.com/Alejadros.Restaurant/
Mexican,Laguna Mexican Restaurant,"645 Tenacity Dr UNIT A, Longmont, CO 80504, USA",https://www.lagunamexicanrestaurant.com/
Mexican,Hacienda Jalisco,"6160 Firestone Blvd #101, Firestone, CO 80504, USA",https://www.haciendajaliscorestaurant.net/
Mexican,Tacos Diego,"Hugoton, KS 67951, USA",
Mexican,Casa Calaca,"413 W Rainbow Blvd, Salida, CO 81201, USA",
Mexican,Acosta’s & Nieto’s Cafe,"110 W 4th St #2108, Hugoton, KS 67951, USA",
Mexican,Palenque Cocina Y Agaveria,"2609 Main St, Littleton, CO 80120, USA",https://www.palenquecya.com/
Swedish,Main Street Bistro,"857 Main St, Springfield, CO 81073, USA",
Italian,Via Baci,"10005 Commons St #200, Lone Tree, CO 80124, USA",https://www.viabaci.com/
Italian,Bono's Italian Restaurant,"14799 W 6th Ave, Golden, CO 80401, USA",https://bonositalianrestaurant.com/
Italian,Colore Italian Restaurant,"2700 S Broadway, Englewood, CO 80113, USA",https://coloreitalian.com/
Italian,216 Ferraro's,"216 F St, Salida, CO 81201, USA",
Italian,Cafe Jordano,"11068 W Jewell Ave, Lakewood, CO 80227, USA",http://www.cafejordano.com/
Italian,Via Toscana,"356 McCaslin Blvd #9432, Louisville, CO 80027, USA",http://www.viatoscana.com/
Italian,Farro Italian Restaurant,"8230 S Holly St, Centennial, CO 80122, USA",https://www.farroitalianrestaurant.com/
Italian,Cucina Bella Denver,"9660 E Alameda Ave #104, Denver, CO 80247, USA",https://www.cucinabelladenver.com/
Italian,Oliver's Italian,"4950 S Yosemite St F3, Greenwood Village, CO 80111, USA",https://www.oliversitalian.com/
Italian,Subway,"1100 Main St, Springfield, CO 81073, USA",https://restaurants.subway.com/united-states/co/springfield/1100-main-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=33369&utm_campaign=evergreen-2020&y_source=1_MTQ5MDI5OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Bella Colibri,"812 12th St, Golden, CO 80401, USA",http://bellacolibri.com/
Italian,Zucca,"808 Main St, Louisville, CO 80027, USA",http://www.zuccalouisville.com/
Italian,Pizza Rio,"228 N F St Suite # 300, Salida, CO 81201, USA",https://www.pizzariosalida.com/
Italian,Scalzotto Italian Restaurant Broomfield,"88 Lamar St #110, Broomfield, CO 80020, USA",http://www.scalzottoitalianrestaurant.com/
Italian,Gallo Italian Supper Club and Bakery,"3470 S Broadway, Englewood, CO 80113, USA",https://gallosupperclub.com/
Italian,Abrusci's Fire & Vine,"2200 Youngfield St, Lakewood, CO 80215, USA",http://www.fireandvineco.com/
Italian,Jovanina's Broken Italian,"1520 Blake St, Denver, CO 80202, USA",http://jovanina.com/
Italian,Arvada Villa Italian Restaurant,"9609 W 57th Pl, Arvada, CO 80002, USA",https://arvadavillapizzeria.com/
Italian,Locanda Del Borgo,"5575 E 3rd Ave B, Denver, CO 80220, USA",https://www.locanda-del-borgo.com/
Italian,Vinnola's Italian Market,"7750 W 38th Ave, Wheat Ridge, CO 80033, USA",https://www.vinnolasitalianmarket.com/
Spanish,Campo Cafe,"405 S Main St, Campo, CO 81029, USA",http://campo-cafe.edan.io/
Spanish,Spanish Peaks Bar & Grill,"22590 County Rd 43.7, Aguilar, CO 81020, USA",
Spanish,LongHorn Steakhouse Cafe and Gift Shop,"400 Main St, Springfield, CO 81073, USA",https://www.facebook.com/Longhorn-Steakhouse-Cafe-Gift-Shop-687068944679262/
Spanish,El Aguaje Mexican Restaurant,"329 1/2 Morton St, Elkhart, KS 67950, USA",
Spanish,Felisa's Mexican Food & Lounge,"27948 Frontage Rd, La Junta, CO 81050, USA",
Spanish,La Estrella,"117 S Main St, Ulysses, KS 67880, USA",
Spanish,TAPAteria,"2607 W Colorado Ave, Colorado Springs, CO 80904, USA",http://www.tapateria.com/
Spanish,Peraza's Tacos,"110 US-50, Syracuse, KS 67878, USA",
Spanish,Baca Brew,"975 Main St, Springfield, CO 81073, USA",
Spanish,Barrio Social,"100 E Meadow Dr Suite 15, Vail, CO 81657, USA",http://barriosocial.com/
Spanish,Ultreia,"1701 Wynkoop St #125, Denver, CO 80202, USA",http://ultreiadenver.com/
Spanish,Yeyas,"105 S Main St, Johnson City, KS 67855, USA",
Spanish,Guera's Tacos,"901 E Main St, Boise City, OK 73933, USA",
Spanish,K.C.'s Mexican American Restaurant,"401 US-50 Scenic, Syracuse, KS 67878, USA",
Spanish,Antojitos Nila,"830 E Oklahoma Ave, Ulysses, KS 67880, USA",https://www.facebook.com/profile.php?id=100087792406472&mibextid=LQQJ4d
Spanish,Acosta’s & Nieto’s Cafe,"110 W 4th St #2108, Hugoton, KS 67951, USA",
Spanish,Tacos Los paisas,"702 S Colorado St, Ulysses, KS 67880, USA",
Spanish,Casa Caliente Mexican Restaurant,"8800 S Colorado Blvd Unit G, Highlands Ranch, CO 80126, USA",http://www.casacalienterestaurant.com/
Spanish,Alejandro's,"816 W Oklahoma Ave, Ulysses, KS 67880, USA",https://www.facebook.com/Alejadros.Restaurant/
Spanish,Los Agaves Bar And Grill,"518 S Main St, Hugoton, KS 67951, USA",
American,Campo Cafe,"405 S Main St, Campo, CO 81029, USA",http://campo-cafe.edan.io/
American,LongHorn Steakhouse Cafe and Gift Shop,"400 Main St, Springfield, CO 81073, USA",https://www.facebook.com/Longhorn-Steakhouse-Cafe-Gift-Shop-687068944679262/
American,Subway,"1100 Main St, Springfield, CO 81073, USA",https://restaurants.subway.com/united-states/co/springfield/1100-main-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=33369&utm_campaign=evergreen-2020&y_source=1_MTQ5MDI5OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
American,Main Street Bistro,"857 Main St, Springfield, CO 81073, USA",
Scottish,LongHorn Steakhouse Cafe and Gift Shop,"400 Main St, Springfield, CO 81073, USA",https://www.facebook.com/Longhorn-Steakhouse-Cafe-Gift-Shop-687068944679262/
British,LongHorn Steakhouse Cafe and Gift Shop,"400 Main St, Springfield, CO 81073, USA",https://www.facebook.com/Longhorn-Steakhouse-Cafe-Gift-Shop-687068944679262/
Thai,Thai Spicy Basil,"10 N Main St, Lamar, CO 81052, USA",
Japanese,Mt Fuji Hibachi & Sushi,"18260 Lincoln Ave, Parker, CO 80134, USA",http://www.mtfujiparker.com/?utm_source=gmb&utm_medium=website
Japanese,Fuji Mountain,"16064 Jackson Creek Pkwy, Monument, CO 80132, USA",https://www.smorefood.com/order-online/fuji-mountain-monument-80132-0h0r5tla?utm_source=gmb&utm_medium=website
Japanese,Fujiyama Japanese Hibachi & Sushi,"1100 Sergeant Jon Stiles Dr #106, Highlands Ranch, CO 80129, USA",https://fujiyamacotogo.com/
Japanese,Mt. Fuji Japanese Sushi & Hibachi Restaurant,"12322 W 64th Ave, Arvada, CO 80004, USA",https://www.mtfujirestaurantco.com/?utm_source=gmb&utm_medium=website
Japanese,Mt Fuji Hibachi & Sushi,"601 Grant St, Denver, CO 80203, USA",https://smorefood.com/order-online/mt-fuji-japanese-and-sushi-bar-denver-80203-swi26jli?utm_source=gmb&utm_medium=website
Japanese,Mt Fuji Hibachi,"14643 Orchard Pkwy, Westminster, CO 80023, USA",https://www.mtfujihibachiwestminster.com/
Japanese,Benihana,"515 Zang St, Broomfield, CO 80021, USA",https://www.benihana.com/
Japanese,Sumo Sushi & Grill,"225 Ken Pratt Blvd #140, Longmont, CO 80501, USA",http://sumocolorado.com/
Japanese,Bowl Izakaya,"1163 Eagle Dr A, Loveland, CO 80537, USA",https://www.bowlizakaya.com/
Japanese,IZAKAYA CABIN,"321 Elk Ave, Crested Butte, CO 81224, USA",http://izakayacabin.com/
Japanese,Japango,"1136 Pearl St, Boulder, CO 80302, USA",https://japangosushi.com/
Japanese,Domo Japanese Country Food Restaurant,"1365 Osage St, Denver, CO 80204, USA",http://domorestaurant.com/home/
Japanese,The Kazoku,"2939 17th Ave, Longmont, CO 80503, USA",http://www.thekazokuusa.com/
Japanese,Kumoya,"2400 W 32nd Ave, Denver, CO 80211, USA",https://kumoyadenver.com/
Japanese,Bowl Izakaya,"1232 S Hover St Suite C-400, Longmont, CO 80501, USA",https://bowlizakayalongmont.com/
Japanese,Sweet Ginger Asian Bistro&Sushi,"2710 E 3rd Ave, Denver, CO 80206, USA",http://sweetgingercherrycreek.com/
Japanese,Mt Fuji-Sushi & Hibachi,"257 E Commons Ave, Centennial, CO 80122, USA",https://www.mtfujisushico.com/
Chinese,Wah Wok Chinese Food,"8110 Colorado Blvd #5, Firestone, CO 80520, USA",https://wahwoktogo.com/
Chinese,Hong's Garden Chinese Restaurant,"480 Wolverine Dr, Bayfield, CO 81122, USA",https://www.hongsgardenbayfield.com/
Chinese,China Garden Restaurant,"3245 US-50, Cañon City, CO 81212, USA",
Chinese,He-Xing Garden,"7500 S University Blvd #103C-D, Centennial, CO 80122, USA",http://www.hexinggarden-co.com/
Chinese,King Wah Asian Food,"6050 Firestone Blvd, Firestone, CO 80504, USA",https://www.kingwahfirestone.com/
Chinese,Canton Palace,"3320 N Garfield Ave, Loveland, CO 80538, USA",http://www.cantonpalacenoco.com/
Chinese,Mayflower Chinese Restaurant,"1212 US-24, Woodland Park, CO 80863, USA",https://mayflowerwp.com/
Chinese,The Asian Palate,"328 E Main St, Buena Vista, CO 81211, USA",http://www.theasianpalate.com/
Chinese,Ming's Cafe,"934 CO-133, Carbondale, CO 81623, USA",https://carbondale.mingsrestaurants.com/
Chinese,Hoong's Palace,"10333 E Costilla Ave, Englewood, CO 80112, USA",http://www.hoongspalace.com/
Chinese,Little Bamboo,"613 W Platte Ave, Fort Morgan, CO 80701, USA",https://www.beyondmenu.com/50202/fort-morgan/little-bamboo-fort-morgan-80701.aspx
Chinese,Hoong's Kitchen,"881 S Federal Blvd, Denver, CO 80219, USA",
Chinese,New china restaurant,"3890 Kipling St, Wheat Ridge, CO 80033, USA",https://www.newchinawr.com/?utm_source=gmb&utm_medium=website
