Cuisine Type,Name,Address,Website
Mexican,El Mezcal Mexican Restaurant,"126 W St Charles St, San Andreas, CA 95249, USA",
Mexican,Angels Méxican Kitchen,"206 N Main St, Angels Camp, CA 95222, USA",
Mexican,Cascabel Restaurant,"1252 S Main St, Angels Camp, CA 95222, USA",http://www.facebook.com/CascabelAC
Mexican,El Vaquero,"925 CA-4, Arnold, CA 95223, USA",
Mexican,Mi Pueblo,"3505 Spangler Ln # 104, Copperopolis, CA 95228, USA",http://mipueblocopper.com/
Mexican,Taqueria Los Pinos Food Truck,"3361 Ebbetts Pass Hwy, Arnold, CA 95223, USA",https://www.facebook.com/AVERYLOSPINOS/
Mexican,La Hacienda Restaurant,"51 N Main St suite d, Angels Camp, CA 95222, USA",https://www.lahaciendaangelscamp.com/
Mexican,Rivera’s Taqueria & Market,"55 State Rte 26, Valley Springs, CA 95252, USA",
Mexican,Tacos Mi Charro,"82 N Main St, Angels Camp, CA 95222, USA",
Mexican,El Torero,"2869 W Hwy 12, Valley Springs, CA 95252, USA",https://eltorerojackson.com/
Mexican,Mi Tierra Restaurant,"1906 Vista Del Lago Dr, Valley Springs, CA 95252, USA",
Mexican,Mary's Taco Truck,"300 N Main St, Angels Camp, CA 95222, USA",https://sites.google.com/view/marystacos/home
Mexican,Las Minas Mexican Restaurant,"20220 CA-88, Pine Grove, CA 95665, USA",http://www.lasminasrestaurant.com.mx/
Mexican,La Esmeralda,"535 CA-49 Ste 5, Jackson, CA 95642, USA",https://laesmeraldaca.com/
Mexican,Tacos Campos,"33 State Rte 26, Valley Springs, CA 95252, USA",
Mexican,El Arroyo | Cantina & Méxican Kitchen,"126 S Washington St, Sonora, CA 95370, USA",
Mexican,La Esperanza Taco Truck,"281 E St Charles St, San Andreas, CA 95249, USA",http://laesperanzatacos.com/
Mexican,La Esperanza | Mexican Food,"460 CA-49, Sutter Creek, CA 95685, USA",
Mexican,Gabby's Cuisine,"260 Jones St, Murphys, CA 95247, USA",http://www.gabbyscuisinemurphys.net/
Mexican,El Torero Méxican Restaurant,"11968 CA-88 # 3002, Jackson, CA 95642, USA",https://eltorerojackson.com/
Swedish,"V Restaurant, Bistro & Bar","402 Main St Suite L, Murphys, CA 95247, USA",http://vrestaurantbistrobar.com/
Latvian,"V Restaurant, Bistro & Bar","402 Main St Suite L, Murphys, CA 95247, USA",http://vrestaurantbistrobar.com/
Italian,Crusco's,"1240 S Main St, Angels Camp, CA 95222, USA",
Italian,Sarafina's Italian Kitchen,"794 CA-4, Arnold, CA 95223, USA",http://www.sarafinasitaliankitchen.com/
Italian,toscano's restaurante,"380 Main St, Murphys, CA 95247, USA",
Italian,Pizza Factory,"373 W St Charles St, San Andreas, CA 95249, USA",http://san-andreas.pizzafactory.com/
Italian,De Vinci's Delicatessen & Catering,"40 CA-12, Valley Springs, CA 95252, USA",https://www.devincisdeli.com/valley-springs
Italian,Murphys Pizza Co.,"178 Big Trees Rd # B4, Murphys, CA 95247, USA",http://murphyspizzaco.com/
Italian,Round Table Pizza,"27 N Main St Ste B, Angels Camp, CA 95222, USA",https://ordering.roundtablepizza.com/site/glpangelscamp
Italian,Saluti's,"719 CA-49, Jackson, CA 95642, USA",
Italian,Pizza Factory,"1919 Vista Del Lago Dr, Valley Springs, CA 95252, USA",http://www.pizzafactory.com/locations/valley-springs
Italian,Strings Italian Cafe,"11976 CA-88, Jackson, CA 95642, USA",http://jacksonstrings.com/
Italian,Verona18,"1001 Saddle Creek Dr, Copperopolis, CA 95228, USA",http://www.coppervalleygolf.com/
Italian,Mike's Pizza,"294 S Main St, Angels Camp, CA 95222, USA",http://www.angelscampmikespizza.com/
Italian,Viney's Italian Kitchen,"83 S Stewart St, Sonora, CA 95370, USA",https://vineysitaliankitchen.com/
Italian,Round Table Pizza,"87 State Rte 26 Suite 2 2, Valley Springs, CA 95252, USA",https://ordering.roundtablepizza.com/site/glpvalley
Italian,Cascabel Restaurant,"1252 S Main St, Angels Camp, CA 95222, USA",http://www.facebook.com/CascabelAC
Italian,Pizza Factory,"2182 CA-4 C-250, Arnold, CA 95223, USA",http://www.pizzafactory.com/arnold
Italian,Pinocchio's,"736 Mono Way, Sonora, CA 95370, USA",http://www.pinocchiositalianrestaurant.com/
Italian,Teresa's Place,"1235 Jackson Gate Rd, Jackson, CA 95642, USA",http://www.teresasitalian.com/
Italian,Giannini's Italian Dinners,"19845 CA-88, Pine Grove, CA 95665, USA",
Spanish,Cascabel Restaurant,"1252 S Main St, Angels Camp, CA 95222, USA",http://www.facebook.com/CascabelAC
Spanish,Angels Méxican Kitchen,"206 N Main St, Angels Camp, CA 95222, USA",
Spanish,La Hacienda Restaurant,"51 N Main St suite d, Angels Camp, CA 95222, USA",https://www.lahaciendaangelscamp.com/
Spanish,El Mezcal Mexican Restaurant,"126 W St Charles St, San Andreas, CA 95249, USA",
Spanish,Mi Pueblo,"3505 Spangler Ln # 104, Copperopolis, CA 95228, USA",http://mipueblocopper.com/
