Cuisine Type,Name,Address,Website
Mexican,San Lucas Mexican Restaurant,"2600 Federal St, Camden, NJ 08105, USA",
Mexican,La Calpeña,"300 N 27th St, Camden, NJ 08105, USA",
Mexican,Taco Loco,"2311 Federal St, Camden, NJ 08105, USA",https://www.instagram.com/mytacoloco/?hl=en
Mexican,La Ingrata Camden,"1999 Federal St, Camden, NJ 08105, USA",http://laingratacamden.com/
Mexican,Las Cabañas Restaurant,"3038 Federal St, Camden, NJ 08105, USA",
Mexican,Lupitas Mexican Restaurant and Pizzeria,"2409 Federal St, Camden, NJ 08105, USA",
Mexican,Restaurant El Porton,"2309 Federal St, Camden, NJ 08105, USA",https://restaurantelportonnj.com/
Mexican,El Rincon Latino Restaurant,"1085 Haddon Ave, Camden, NJ 08103, USA",
Mexican,Taqueria el Popocatèpetl,"1286 Collings Rd, Camden, NJ 08104, USA",
Mexican,CASA PUEBLA MEXICAN RESTAURNT,"1206 Kings Hwy N, Cherry Hill, NJ 08034, USA",
Mexican,La Cita Authentic Mexican Restaurant,"911 Marlton Pike W, Cherry Hill, NJ 08002, USA",http://mylacita.com/
Mexican,San Pedro Mexican Restaurant,"115 S Black Horse Pike, Bellmawr, NJ 08031, USA",
Mexican,Los Jalapeños Bar & Grill,"900 White Horse Pike, Oaklyn, NJ 08107, USA",https://www.thejalapenosgrill.com/
Mexican,Parrilla La Nueva Fogata,"25-27 W White Horse Pike, Berlin, NJ 08009, USA",https://m.facebook.com/LaFogataBerlin/
Mexican,La Nova Mexican restaurant,"5245 Marlton Pike W Unit D, Pennsauken Township, NJ 08109, USA",http://lanovamex.com/
Mexican,Rio Bravo Restaurant,"2642 Federal St, Camden, NJ 08105, USA",
Mexican,El Tequila Mexican Restaurant,"801 N Black Horse Pike, Runnemede, NJ 08078, USA",
Mexican,El Castillo Restaurant,"1068 Kaighn Ave, Camden, NJ 08103, USA",
Mexican,Plaza Azteca Mexican Restaurant · Sicklerville,"611 Berlin - Cross Keys Rd, Sicklerville, NJ 08081, USA",https://plazaazteca.com/sicklerville/
Mexican,La Catrina Mexican Restaurant,"655 Haddon Ave, Collingswood, NJ 08108, USA",https://www.lacatrinacollingswood.com/
Latvian,Old San Juan Restaurant,"217 Marlton Ave, Camden, NJ 08105, USA",
