Cuisine Type,Name,Address,Website
Mexican,Las Brasas Del Volcan,"19953 Ballinger Way NE, Shoreline, WA 98155, USA",https://www.lasbrasasdelvolcan.com/
Latvian,AKA Latvian Cuisine,"Kalēju iela 37, Centra rajons, Rīga, LV-1050, Latvia",https://akariga.lv/
Italian,La Forchetta,"5601 Hastings St, Burnaby, BC V5B 1R5, Canada",http://www.laforchettaburnaby.com/
Spanish,Las Brasas Del Volcan,"19953 Ballinger Way NE, Shoreline, WA 98155, USA",https://www.lasbrasasdelvolcan.com/
American,La Forchetta,"5601 Hastings St, Burnaby, BC V5B 1R5, Canada",http://www.laforchettaburnaby.com/
British,La Forchetta,"5601 Hastings St, Burnaby, BC V5B 1R5, Canada",http://www.laforchettaburnaby.com/
Thai,Chad Thai Restaurant,"4010 Hastings St, Burnaby, BC V5C 2H9, Canada",http://chadthai.ca/
Thai,Lhy Thai Restaurant,"7357 Edmonds St, Burnaby, BC V3N 1A9, Canada",
Thai,Thai New West Restaurant,"424 E Columbia St, New Westminster, BC V3L 3W9, Canada",https://www.thainewwest.com/
Thai,Siam Le Bien Thai Cuisine,"Siam Le Bien Thai Cuisine, 4217 Hastings St, Burnaby, BC V5C 2J5, Canada",http://www.siamlebien.com/
Thai,Patsara Thai,"528 Carnarvon St, New Westminster, BC V3L 1C4, Canada",https://www.patsara.ca/
Thai,Chada Thai Fine Cuisine,"2991 Lougheed Hwy. #107, Coquitlam, BC V3B 6J6, Canada",http://www.chadathai.ca/
Thai,Rom Mai Thai Restaurant,"613 Broadway E, Seattle, WA 98102, USA",http://www.rommaithai.com/
Thai,Sisi Kay Thai Eatery and Bar,"1612 N 45th St, Seattle, WA 98103, USA",http://sisikaythai.com/
Thai,Thai Thani Kitchen,"201 Boren Ave N, Seattle, WA 98109, USA",http://www.thaithanikitchen.com/SouthLakeUnion.html
Thai,Mark Thai Food Box,"1313 NE 43rd St, Seattle, WA 98105, USA",http://www.markhomemadethai.com/
Thai,Pestle Rock,"2305 NW Market St, Seattle, WA 98107, USA",http://pestlerock.com/
Thai,Kati Vegan Thai,"1190 Thomas St, Seattle, WA 98109, USA",https://kativeganthai.com/
Thai,Fern Thai on Main,"10134 Main St, Bellevue, WA 98004, USA",https://www.fernthaionmain.com/
Thai,Ferry Noodle House,"93 Marion St, Seattle, WA 98104, USA",http://www.ferrynoodlehousethai.com/
Thai,Araya's Place,"5240 University Wy NE, Seattle, WA 98105, USA",http://www.arayasplace.com/
Thai,Sugar Hill,"414 E Pine St, Seattle, WA 98122, USA",http://www.sugarhillseattle.com/
Thai,SOI Thai Restaurant & Bar,"425 Urban Plz Ste 285, Kirkland, WA 98033, USA",https://www.soi-kirkland.com/?utm_source=gmb
Thai,Chili Basil Thai Grill (+ Hometaste Kitchen),"18505 Alderwood Mall Pkwy UNIT F, Lynnwood, WA 98037, USA",https://chilibasil.com/
Thai,City Thai,"6341 SW Capitol Hwy #1937, Portland, OR 97239, USA",http://www.citythaipdx.com/
Thai,Chef Liao Asian Fusion Cuisine,"6012 Phinney Ave N, Seattle, WA 98103, USA",http://chefliaoseattle.com/
Chinese,Grand Chinese Restaurant,"4461 Lougheed Hwy. #1, Burnaby, BC V5C 3Z2, Canada",https://grandrestaurant.zomi.menu/
Indian,Bollywood Dreams,"55 Mill St, Unionville, CT 06085, USA",https://bollywooddreamsct.com/
