Cuisine Type,Name,Address,Website
Mexican,La Parrilla Mexican Restaurant,"1810 Cumming Hwy Suite 1000, Canton, GA 30114, USA",http://laparrilla.com/
Mexican,Eclipse Azul Cantina & Taqueria,"6109 Hickory Flat Hwy Suite 100, Canton, GA 30115, USA",https://eclipsecantina.com/
Mexican,Las Palmas Mexican Restaurant – Macedonia,"8012 Cumming Hwy, Canton, GA 30115, USA",http://www.orderlaspalmas.com/
Mexican,Taqueria Oaxaquena,"491 Marietta Rd, Canton, GA 30114, USA",
Mexican,La Catrina Tacos & Margaritas Canton,"2247 Cumming Hwy suite 100, Canton, GA 30115, USA",http://lacatrinatacos.com/
Mexican,Puerta de Oro Taqueria & Cantina,"220 Marietta Hwy, Canton, GA 30114, USA",http://puertadeorotaqueriacantina.com/
Mexican,Tecali Grille,"132 Riverstone Pkwy, Canton, GA 30114, USA",
Mexican,Viva Pancho Cantina & Grill,"12424 Cumming Hwy, Canton, GA 30115, USA",http://www.vivapancho.com/
Mexican,7 Tequilas Mexican Restaurant,"1435 Riverstone Pkwy, Canton, GA 30114, USA",http://7tequilasmexicanrestaurant.com/
Mexican,Viva Mexico Mexican Restaurant,"130 Prominence Point Pkwy #180, Canton, GA 30114, USA",https://www.vivamexicorestaurantcanton.com/
Mexican,Taco Macho,"6124 Hickory Flat Hwy, Canton, GA 30115, USA",
Mexican,Taqueria Oaxaquena,"Riverplace Shopping Center, 180 Riverstone Pkwy, Canton, GA 30114, USA",http://www.facebook.com/pages/taqueria-oaxaquena/121957397815154?ref=br_rs
Mexican,El Mirador Mexican Restaurant,"370 b Marietta Rd, Canton, GA 30114, USA",
Mexican,Nuevos Amigos Cocina Mexicana,"3740 Sixes Rd, Canton, GA 30114, USA",http://nuevosamigoscocinamexicana.com/
Mexican,Luna Maya Mexican Restaurant Canton,"15 Laurel Canyon Village Cir Suite 132, Canton, GA 30114, USA",
Mexican,Las Palmas Mexican Restaurant – Bridge Mill,"3760 Sixes Rd #140, Canton, GA 30114, USA",https://www.eatlaspalmas.com/
Mexican,Dos Margaritas - Hickory Flat,"6774 Hickory Flat Hwy, Canton, GA 30115, USA",http://dosmargaritas.net/
Mexican,Dos Margaritas,"the River Pointe shopping center, 1558 Riverstone Pkwy Suite 100, Canton, GA 30114, USA",
Mexican,Los Bravos Mexican Restaurant Woodstock,"3342 Trickum Rd, Woodstock, GA 30188, USA",http://losbravosmexicanrestaurantwoodstock.com/
Mexican,Mi Casa Mexican Restaurant,"8265 Hwy 92, Woodstock, GA 30189, USA",
Swedish,Sweenz Kitchen,"225 Creekstone Ridge, Woodstock, GA 30188, USA",https://courtneys-taco-shop.popmenu.com/
Italian,Provino's,"1365 Riverstone Pkwy, Canton, GA 30114, USA",http://provinos.com/
Italian,Olive Garden Italian Restaurant,"2040 Cumming Hwy, Canton, GA 30115, USA",https://www.olivegarden.com/locations/ga/canton/canton-georgia/1798?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:canton-ga-1798_pl:locurl_rd:1645
Italian,Amicis Italian Kitchen,"3502 Sixes Rd #112, Canton, GA 30114, USA",https://amicisitaliankitchen.com/
Italian,Tuscany Italian Restaurant,"250 Cinema View, Woodstock, GA 30189, USA",http://www.mytuscanyrestaurant.com/
Italian,Mamma Onesta's Italian Restaurant,"250 E Main St, Canton, GA 30114, USA",http://www.mammaonesta.com/
Italian,Brooklyn Joe's,"2060 Cumming Hwy, Canton, GA 30114, USA",http://www.brooklynjoespizza.com/
Italian,Star Pizza & Italian Kitchen,"3753 Marietta Hwy #110, Canton, GA 30114, USA",https://starpizzapastamenu.com/?utm_source=gbp
Italian,Alessandro's Italian Cafe & Pizzeria,"10511 Bells Ferry Rd Suite 800, Canton, GA 30114, USA",http://alessandroscafe.com/
Italian,Magnolia Villa,"225 Reformation Pkwy suite 108, Canton, GA 30114, USA",http://www.magnoliavillaitalian.com/
Italian,Ipp's Pastaria & Bar,"8496 Main St, Woodstock, GA 30188, USA",https://www.ippspastaria.com/
Italian,Vespucci's Italian Kitchen,"4805 Canton Rd #100, Marietta, GA 30066, USA",https://www.vespuccisitaliankitchen.com/
Italian,I Love N.Y. Pizza & Pasta,"8012 Cumming Hwy, Canton, GA 30115, USA",http://www.ilovenypizzaandpasta.com/
Italian,Taste Of Italy,"6234 Old Hwy 5 d4, Woodstock, GA 30188, USA",http://tasteofitalywoodstock.com/?utm_source=gbp
Italian,Taste of Italy,"8265 Hwy 92, Woodstock, GA 30189, USA",http://www.tasteofitalyga.com/
Italian,Dina's Family Italian Restaurant,"10029 Hwy 92 #112, Woodstock, GA 30188, USA",https://dinasfamilyrestaurant.my.canva.site/
Italian,Vingenzo's,"105 East Main St #100, Woodstock, GA 30188, USA",http://www.vingenzos.com/
Italian,Saporitos Pizza,"2210 Holly Springs Pkwy #116, Canton, GA 30115, USA",https://saporitoshollysprings.com/
Italian,Padella Pizza,"5856 Yellow Creek Rd, Ball Ground, GA 30107, USA",http://padella.pizza/
Italian,Nina's Pizza Kitchen,"15 Laurel Canyon Village Cir Unit 104, Canton, GA 30114, USA",https://ninaspizzakitchen.com/
Italian,Frankie's Italian Ristorante and Pizzeria,"3085 Canton Rd, Marietta, GA 30066, USA",http://frankiesitalianga.com/
Spanish,Las Palmas Mexican Restaurant – Macedonia,"8012 Cumming Hwy, Canton, GA 30115, USA",http://www.orderlaspalmas.com/
Spanish,La Parrilla Mexican Restaurant,"1810 Cumming Hwy Suite 1000, Canton, GA 30114, USA",http://laparrilla.com/
Spanish,Puerta de Oro Taqueria & Cantina,"220 Marietta Hwy, Canton, GA 30114, USA",http://puertadeorotaqueriacantina.com/
Spanish,Eclipse Azul Cantina & Taqueria,"6109 Hickory Flat Hwy Suite 100, Canton, GA 30115, USA",https://eclipsecantina.com/
Spanish,Taqueria Oaxaquena,"491 Marietta Rd, Canton, GA 30114, USA",
