Cuisine Type,Name,Address,Website
Mexican,La Casita Mexican Restaurant,"20 N Orange Ave, Green Cove Springs, FL 32043, USA",https://lacasitamexicanfl.com/
Mexican,La Nopalera,"1571 County Rd 220, Fleming Island, FL 32003, USA",https://www.eatatlanopalera.com/
Mexican,Mariachi’s Mexican Restaurant & Bar,"1301 N Orange Ave, Green Cove Springs, FL 32043, USA",http://mariachismexicanrestaurantandbar.com/
Mexican,Salsas of 220,"2574 County Rd 220, Middleburg, FL 32068, USA",https://salsasof220.com/
Mexican,Salsas Cocina Blanding | Middleburg,"1803 Blanding Blvd, Middleburg, FL 32068, USA",http://salsascocinamexicana.com/
Mexican,"La Catrina Tacos & Tequila Bar, Middleburg","2710 Blanding Blvd #16, Middleburg, FL 32068, USA",http://www.lacatrinalovers.com/
Mexican,La Sabrosa Grocery & Restaurant Middleburg,"2590 County Rd 220, Middleburg, FL 32068, USA",http://lasabrosarestaurant.com/
Mexican,Tijuana Flats,"1647 County Rd 220 #103, Fleming Island, FL 32003, USA",https://www.tijuanaflats.com/locations/fleming-island?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,La Nopalera Mexican Restaurant,"2024 Kingsley Ave, Orange Park, FL 32073, USA",https://www.lanopalerakingsley.com/
Mexican,TEQUILA & ACORDEON MEXICAN RESTAURANT,"1635 Wells Rd, Orange Park, FL 32073, USA",https://www.tequilacordeon.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16392622539082048707
Mexican,Pepper's Cocina Mexicana,"1560 Business Center Dr # 14, Fleming Island, FL 32003, USA",
Mexican,Moe's Southwest Grill,"1544 County Rd 220, Orange Park, FL 32003, USA",https://locations.moes.com/fl/orange-park/1544-county-rd-220?utm_source=google&utm_medium=organic&utm_campaign=locations_partner
Mexican,Chipotle Mexican Grill,"1607 County Rd 220, Orange Park, FL 32003, USA",https://locations.chipotle.com/fl/orange-park/1607-county-road-220?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Mr. Gordo's Tacos and Cantina,"3535 Hwy 17 #8, Fleming Island, FL 32003, USA",https://mrgordostacosandcantina.com/
Mexican,La Nopalera Julington Creek,"111 Bartram Oaks Walk, Fruit Cove, FL 32259, USA",https://www.eatatlanopalera.com/
Mexican,La Nopalera,"9734 Crosshill Blvd, Jacksonville, FL 32222, USA",https://www.eatatlanopalera.com/
Mexican,No Manches Wey,"174 Blanding Blvd, Orange Park, FL 32073, USA",https://nomanchesmexicanrestaurant.com/
Mexican,Don Juan's Restaurant,"12373 San Jose Blvd, Jacksonville, FL 32223, USA",http://www.donjuansjax.com/
Mexican,Moe's Southwest Grill,"445 State Rd 13 N, Jacksonville, FL 32259, USA",https://locations.moes.com/fl/jacksonville/445-state-road-13?utm_source=google&utm_medium=organic&utm_campaign=locations_partner
Mexican,Salsas Mex Collins Rd,"7083 Collins Rd, Jacksonville, FL 32244, USA",http://www.salsasmexrestaurants.com/
Swedish,Broder Söder,"8800 SW Oleson Rd, Portland, OR 97223, USA",https://www.broderpdx.com/
Italian,Benitos Italian Restaurant & Pizzeria,"2219 County Rd 220 Ste 317, Middleburg, FL 32068, USA",http://benitos220.com/
Italian,Carrabba's Italian Grill,"8406 Blanding Blvd, Jacksonville, FL 32073, USA",https://locations.carrabbas.com/florida/jacksonville/8406-blanding-blvd?y_source=1_MTU1MDI5NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Vino's Pizza & Italian Cuisine (Fruit Cove),"605 State Rd 13 N, Jacksonville, FL 32259, USA",https://www.vinospizzajax.com/
Italian,Santioni's Italian Restaurant,"3535 Hwy 17, Fleming Island, FL 32003, USA",http://santionis.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13652486858438764999
Italian,Olive Garden Italian Restaurant,"6050 Youngerman Circle Orange Park, Jacksonville, FL 32244, USA",https://www.olivegarden.com/locations/fl/jacksonville/jacksonville-orange-park/1191?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:jacksonville-fl-1191_pl:locurl_rd:1141
Italian,Luca's Italian Restaurant (orange park),"1339 Blanding Blvd Suite 8, Orange Park, FL 32065, USA",
Italian,Aspendos Italian Cuisine and Pizza,"9542 Argyle Forest Blvd C19, Jacksonville, FL 32222, USA",https://www.aspendositaliancuisine.com/
Italian,Sorbellos Authentic Sicilian Food,"195 Blanding Blvd, Orange Park, FL 32073, USA",https://www.sorbellosrestaurantmenu.com/?utm_source=gbp
Italian,Valentina's Italian Bistro,"330 College Dr, Orange Park, FL 32065, USA",http://www.valentinasitalianbistro.com/
Italian,Vito's Pizzeria,"1101 Blanding Blvd # 112, Orange Park, FL 32065, USA",http://vitosorangepark.com/
Italian,Mandola's Italian Kitchen,"11112 San Jose Blvd, Jacksonville, FL 32223, USA",http://mandolas.com/
Italian,Vino’s Pizza and Italian Cuisine,"4268 Oldfield Crossing Dr Suite 101, Jacksonville, FL 32223, USA",https://vinosjax.com/
Italian,D'Fontana,"324 Ferris St, Green Cove Springs, FL 32043, USA",https://www.dfontanapizza.com/
Italian,Mellow Mushroom Fleming Island,"1800 Town Center Blvd, Fleming Island, FL 32003, USA",https://mellowmushroom.com/location/fl-fleming-island-1800-town-center-blvd-32003/?utm_source=gmb&utm_medium=organic&utm_campaign=FlemingIsland-FL&utm_content=41
Italian,Brick Oven Pizzeria & Gastropub,"1811 Town Center Blvd, Fleming Island, FL 32003, USA",http://www.brickovengastropub.com/
Italian,Bella Vista Italian Restaurant,"540 State Rd 13 N, Fruit Cove, FL 32259, USA",https://www.bellavistaitalian.com/
Italian,Vito's Italian Restaurant,"116 Bartram Oaks Walk, St Johns, FL 32259, USA",http://www.vitosoriginalitalian.com/
Italian,Renna's Pizza,"6001 Argyle Forest Blvd #16, Jacksonville, FL 32244, USA",http://www.rennaspizza.com/
Italian,Your Pie Pizza,"1545 County Rd 220 Ste. 125, Fleming Island, FL 32003, USA",https://yourpie.com/locations/fleming-island
Italian,Moon Dog Pie House,"116 Bartram Oaks Walk, Fruit Cove, FL 32259, USA",https://moondogpiehouse.com/
Spanish,Puerto Plata Restaurant,"2045 Bayview Rd, Jacksonville, FL 32210, USA",http://www.puertoplatarestaurant.com/
American,Cracker Barrel Old Country Store,"4272 Eldridge Loop, Orange Park, FL 32073, USA",https://www.crackerbarrel.com/Locations/States/fl/orange-park/157/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl
American,Ruby Tuesday,"1521 County Rd 220, Orange Park, FL 32003, USA",https://rubytuesday.com/
American,Huddle House,"4094 Co Rd 218, Middleburg, FL 32068, USA",https://huddlehouse.com/locations/fl/middleburg/4094-county-road-218
American,Talons Clubhouse Restaurant,"2217 Eagle Harbor Pkwy, Fleming Island, FL 32003, USA",https://www.eagleharborgc.com/talon-s-restaurant
American,Hurricane Grill & Wings-Fleming Island,"1810-1 Town Center Blvd, Fleming Island, FL 32003, USA",https://locations.hurricanewings.com/ll/US/FL/Fleming-Island/1810~1-Town-Center-Blvd_
American,The Loop Restaurant,"1960 E West Pkwy Ste 110, Fleming Island, FL 32003, USA",https://www.thelooprestaurant.com/
American,Country Cabin Restaurant,"4434 Blanding Blvd, Jacksonville, FL 32210, USA",http://countrycabinonline.com/
American,Ted's Montana Grill,"8635 Blanding Blvd, Jacksonville, FL 32244, USA",https://www.tedsmontanagrill.com/tmg034.html
American,LongHorn Steakhouse,"1605 County Rd 220, Fleming Island, FL 32003, USA",https://www.longhornsteakhouse.com/locations/fl/fleming-island/fleming-island/5188?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:fleming-island-fl-5188_pl:locurl_rd:1144
American,Roger That Wings & Things,"232 Walnut St, Green Cove Springs, FL 32043, USA",http://rogerthatgcs.com/
American,The Loop Restaurant,"State Rd 13 N Space 101, Jacksonville, FL 32259, USA",http://www.thelooprestaurant.com/
American,Dalton's Sports Grill,"2808 Henley Rd, Green Cove Springs, FL 32043, USA",https://www.daltonssportsgrill.com/
American,Nicole's On The River,"1101 Blanding Blvd #117, Orange Park, FL 32065, USA",https://www.facebook.com/pg/Nicoles-on-the-River-Cafe-Catering-143621989070024/about/?ref=page_internal
American,Waffle House,"704 Blanding Blvd, Orange Park, FL 32065, USA",https://locations.wafflehouse.com/orangepark-fl-2063
American,Texas Roadhouse,"550 Blanding Blvd, Orange Park, FL 32073, USA",https://www.texasroadhouse.com/locations/florida/orange-park?utm_source=listing&utm_medium=search
American,Corky Bell's Seafood & Steaks,"1049 Floyd St, Fleming Island, FL 32003, USA",http://www.corkybellsseafood.com/
American,Gator's Dockside Oakleaf,"8316 Merchants Way, Jacksonville, FL 32222, USA",http://www.gatorsdockside.com/
American,Thrilled Cheese,"315 Blanding Blvd, Orange Park, FL 32073, USA",
American,Culver’s,"1767 Blanding Blvd, Middleburg, FL 32068, USA",http://www.culvers.com/restaurants/middleburg-fl-blanding-blvd?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places
American,Metro Diner,"2034 Kingsley Ave, Orange Park, FL 32073, USA",https://metrodiner.com/locations/florida/orange-park/?utm_source=gmb-listing-map&utm_medium=organic&utm_campaign=google-my-business
Scottish,Hibernia Pub,"2260 Town Center Blvd, Fleming Island, FL 32003, USA",https://www.flemingislandgolfclub.com/hibernia-pub
Scottish,Corky Bell's Seafood & Steaks,"1049 Floyd St, Fleming Island, FL 32003, USA",http://www.corkybellsseafood.com/
Scottish,Corks & Barrels,"1824 Town Center Blvd Suite 101, Fleming Island, FL 32003, USA",https://www.facebook.com/CorksBarrels
Scottish,Roger That Wings & Things,"232 Walnut St, Green Cove Springs, FL 32043, USA",http://rogerthatgcs.com/
Scottish,"Mojo Smokehouse, BBQ & Blues","1810 Town Center Blvd, Fleming Island, FL 32003, USA",https://www.mojobbq.com/
Scottish,Santioni's Italian Restaurant,"3535 Hwy 17, Fleming Island, FL 32003, USA",http://santionis.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13652486858438764999
Scottish,Mellow Mushroom Fleming Island,"1800 Town Center Blvd, Fleming Island, FL 32003, USA",https://mellowmushroom.com/location/fl-fleming-island-1800-town-center-blvd-32003/?utm_source=gmb&utm_medium=organic&utm_campaign=FlemingIsland-FL&utm_content=41
Scottish,Irie Diner Caribbean Restaurant,"1177 Park Ave, Orange Park, FL 32073, USA",https://www.iriediner.com/
Scottish,Culhane's Irish Pub & Restaurant,"9720 Deer Lake Ct, Jacksonville, FL 32246, USA",https://www.culhanesirishpub.com/
Scottish,The Hilltop Restaurant,"2030 Wells Rd, Orange Park, FL 32073, USA",http://www.hilltop-club.com/
Scottish,The Turmeric Kitchen,"3075 Hwy 17, Green Cove Springs, FL 32043, USA",http://www.clayturmeric.com/
Scottish,The Sunset Tiki Bar,"3108 Hwy 17, Fleming Island, FL 32003, USA",
Scottish,Chef X,"1600 Idlewild Ave, Green Cove Springs, FL 32043, USA",
Scottish,Yianni’s Kitchen,"1831 Golden Eagle Way Suite 29, Fleming Island, FL 32003, USA",
British,Hibernia Pub,"2260 Town Center Blvd, Fleming Island, FL 32003, USA",https://www.flemingislandgolfclub.com/hibernia-pub
British,The Pub @ Magnolia Point GCC,"3670 Clubhouse Dr, Green Cove Springs, FL 32043, USA",http://www.magnoliapointgolfclub.com/
British,Kings Head British Pub,"6460 US-1, St. Augustine, FL 32095, USA",https://www.facebook.com/staugustinebritishpub
British,Corky Bell's Seafood & Steaks,"1049 Floyd St, Fleming Island, FL 32003, USA",http://www.corkybellsseafood.com/
British,Santioni's Italian Restaurant,"3535 Hwy 17, Fleming Island, FL 32003, USA",http://santionis.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13652486858438764999
Thai,Lanna Thai,"1605 County Rd 220 #180, Fleming Island, FL 32003, USA",https://www.lannathaifleming.com/
