Cuisine Type,Name,Address,Website
Mexican,Taquerí­a La Oaxaqueña,"605 Mt Zion Rd, Jonesboro, GA 30236, USA",http://www.taquerialaoaxaquena.com/
Mexican,Los Girasoles Mexican Restaurant,"335 Upper Riverdale Rd A5, Jonesboro, GA 30236, USA",https://losgirasolesmexicanrestaurantga.com/
Mexican,Maxy’s Mexican Restaurant,"192 Jonesboro Rd, Jonesboro, GA 30236, USA",https://www.maxysmexicanrestaurant.com/
Mexican,El Ranchero Mexican Restaurant,"7919 Tara Blvd, Jonesboro, GA 30236, USA",
Mexican,El Rio Grande Restaurant,"4035 Jonesboro Rd, Forest Park, GA 30297, USA",https://forest.elriograndemexrest.com/
Mexican,Guanajuato Mexican Grill,"6738 Tara Blvd, Jonesboro, GA 30236, USA",https://guanajuatomexicangrillga.com/
Mexican,Los Michoacanos Restaurant,"7170 Tara Blvd suit F, Jonesboro, GA 30236, USA",https://losmichoacanosrestaurantga.com/
Mexican,Las Trojas Cantina Mexican Restaurant,"1869 Mt Zion Rd, Morrow, GA 30260, USA",http://www.lastrojas.com/
Mexican,La Feria de Michoacán Mexican Food and Ice Cream,"10257 Tara Blvd, Jonesboro, GA 30236, USA",https://la-feria-de-michoacan.square.site/
Mexican,Los Broncos Mexican Restaurant,"4510 Jonesboro Rd, Forest Park, GA 30297, USA",http://orderlosbroncosmexicanrestaurant.com/
Mexican,Huarache Veloz JONESBORO,"4140 Jonesboro Rd # A6, Forest Park, GA 30297, USA",
Mexican,Las Lupitas,"1544 Tara Rd, Jonesboro, GA 30238, USA",
Mexican,Taqueria Gino's,"10159 Tara Blvd #A, Jonesboro, GA 30236, USA",http://www.tginos.com/
Mexican,El Primo Mexican Restaurant,"532 Flint River Rd, Jonesboro, GA 30238, USA",
Mexican,Ranchero,"11175 Tara Blvd, Hampton, GA 30228, USA",
Mexican,El Arroyito,"1131 Forest Pkwy, Forest Park, GA 30297, USA",
Mexican,Monterrey Mexican Restaurant,"6590 Tara Blvd, Jonesboro, GA 30236, USA",
Mexican,Rose's Taco Grill,"7978 GA-85, Riverdale, GA 30274, USA",https://rosestacogrillga.com/
Mexican,Mi Mexico Lindo Tienda Y Taqueria,"6777 Mt Zion Blvd, Morrow, GA 30260, USA",
Mexican,La Consentida,"2423 Lake Harbin Rd # E, Morrow, GA 30260, USA",
Swedish,The Hush Cuban kitchen & bar,"173 N Main St, Clayton, GA 30525, USA",https://www.hushcubancafe.com/menu
Latvian,Moreau’s Famous Macaroni,"10237 Tara Blvd, Jonesboro, GA 30236, USA",https://www.moreausfamousmacaroni.com/
Italian,Olive Garden Italian Restaurant,"1176 Mt Zion Rd, Morrow, GA 30260, USA",https://www.olivegarden.com/locations/ga/morrow/morrow-southlake-mall/1045?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:morrow-ga-1045_pl:locurl_rd:1023
Italian,Carrabba's Italian Grill,"1887 Mt Zion Rd, Morrow, GA 30260, USA",https://locations.carrabbas.com/georgia/morrow/1887-mt-zion-road?y_source=1_MTU1MDMxMDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Atlanta Philly Italian Pasta & Subs,"1510 Southlake Pkwy Suite 1e, Morrow, GA 30260, USA",http://atlphillyitalian.com/
Italian,ANTHONYS PIZZA & SPORTS BAR,"6518 GA-85, Riverdale, GA 30274, USA",http://anthonyspizzaandpasta.online/
Italian,Marco's Pizza,"10359 Tara Blvd Suite 9B, Jonesboro, GA 30236, USA",https://www.marcos.com/
Italian,Serafino's Italian Bistro,"909 Eagles Landing Pkwy Suite 120, Stockbridge, GA 30281, USA",https://www.serafinositalianrestaurant.com/
Italian,Moreau’s Famous Macaroni,"10237 Tara Blvd, Jonesboro, GA 30236, USA",https://www.moreausfamousmacaroni.com/
Italian,Olive Garden Italian Restaurant,"1380 GA-85, Fayetteville, GA 30214, USA",https://www.olivegarden.com/locations/ga/fayetteville/fayetteville-ga-hwy-85/4404?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:fayetteville-ga-4404_pl:locurl_rd:1748
Italian,Carrabba's Italian Grill - Airport,"6000 N Terminal Pkwy, 3 Suite TS3, Atlanta, GA 30320, USA",https://locations.carrabbas.com/georgia/atlanta/6000-n-terminal-pkwy?y_source=1_MjU4OTcyNTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Olive Garden Italian Restaurant,"1961 Jonesboro Rd, McDonough, GA 30253, USA",https://www.olivegarden.com/locations/ga/mcdonough/mcdonough/1744?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:mcdonough-ga-1744_pl:locurl_rd:1592
Italian,Villa Fresh Italian Kitchen,"Concourse E, 12700 Spine Rd, Atlanta, GA 30320, USA",https://locations.villaitaliankitchen.com/en-us/ga/atlanta/12700-spine-rd-concourse-e-f6/
Italian,Sbarro,"1000 Southlake Cir, Morrow, GA 30260, USA",https://sbarro.com/
Italian,Tony's at Brentwood,"1005 Brentwood Pkwy #113, Stockbridge, GA 30281, USA",http://www.tonysatbrentwood.com/
Italian,The Italian Oven,"938 Eagles Landing Pkwy, Stockbridge, GA 30281, USA",http://theitalianoven.com/
Italian,Johnny's New York Style Pizza,"834 Virginia Ave, Hapeville, GA 30354, USA",https://www.johnnyspizza.com/location/hapeville/
Italian,Dominican Restaurant and International Food,"847 GA-138 Spur, Jonesboro, GA 30236, USA",
Italian,Ecco Airport,"6000 N Terminal Pkwy, Atlanta, GA 30320, USA",https://airport.ecco-atlanta.com/
Italian,Snappers Fish & Chicken & Romeos pizza,"27 Lee St Unit A, Jonesboro, GA 30236, USA",https://www.snappersfishchickenmenu.com/
Italian,Taste Of Chi*Town,"6525 Tara Blvd F10, Jonesboro, GA 30236, USA",https://www.tasteofchi-town.com/
Italian,K. Bueno latin cafe,"847 GA-138, Jonesboro, GA 30236, USA",http://kbuenolatincafe.com/
Spanish,K. Bueno latin cafe,"847 GA-138, Jonesboro, GA 30236, USA",http://kbuenolatincafe.com/
Spanish,Los Amigos Latin Bar & Grill,"541 Forest Pkwy #1, Forest Park, GA 30297, USA",http://www.losamigosatl.com/
Spanish,Los Amigos Latin Bar & Grill,"286 GA-138 Suite I-J, Riverdale, GA 30274, USA",https://www.losamigosatl.com/
Spanish,La Feria de Michoacán Mexican Food and Ice Cream,"10257 Tara Blvd, Jonesboro, GA 30236, USA",https://la-feria-de-michoacan.square.site/
Spanish,Los Girasoles Mexican Restaurant,"335 Upper Riverdale Rd A5, Jonesboro, GA 30236, USA",https://losgirasolesmexicanrestaurantga.com/
Spanish,El Rio Grande Restaurant,"4035 Jonesboro Rd, Forest Park, GA 30297, USA",https://forest.elriograndemexrest.com/
Spanish,Guanajuato Mexican Grill,"6738 Tara Blvd, Jonesboro, GA 30236, USA",https://guanajuatomexicangrillga.com/
Spanish,Esco Restaurant & Tapas Southside,"1140 Mt Zion Rd, Morrow, GA 30260, USA",http://www.escobaratlanta.com/
Spanish,El Primo Mexican Restaurant,"532 Flint River Rd, Jonesboro, GA 30238, USA",
Spanish,Maxy’s Mexican Restaurant,"192 Jonesboro Rd, Jonesboro, GA 30236, USA",https://www.maxysmexicanrestaurant.com/
Spanish,Los Michoacanos Restaurant,"7170 Tara Blvd suit F, Jonesboro, GA 30236, USA",https://losmichoacanosrestaurantga.com/
Spanish,Taquerí­a La Oaxaqueña,"605 Mt Zion Rd, Jonesboro, GA 30236, USA",http://www.taquerialaoaxaquena.com/
Spanish,El Ranchero Mexican Restaurant,"7919 Tara Blvd, Jonesboro, GA 30236, USA",
Spanish,El Pulgarcito de Centro América,"6600 GA-85, Riverdale, GA 30274, USA",https://www.elpulgarcitoderiverdale.com/
Spanish,Los Broncos Mexican Restaurant,"4510 Jonesboro Rd, Forest Park, GA 30297, USA",http://orderlosbroncosmexicanrestaurant.com/
Spanish,Las Lupitas,"1544 Tara Rd, Jonesboro, GA 30238, USA",
Spanish,El Arroyito,"1131 Forest Pkwy, Forest Park, GA 30297, USA",
Spanish,La Potosina Supermarket,"10231 Tara Blvd, Jonesboro, GA 30236, USA",
Spanish,Las Delicias de la Tia Mexican Food,"7056 GA-85 Suite C, Riverdale, GA 30274, USA",
Spanish,Huarache Veloz JONESBORO,"4140 Jonesboro Rd # A6, Forest Park, GA 30297, USA",
American,THAT Burger Spot! #2,"10249 Tara Blvd, Jonesboro, GA 30236, USA",https://www.thatburgerspot.com/
American,Cracker Barrel Old Country Store,"1458 Southlake Plaza Dr, Morrow, GA 30260, USA",https://www.crackerbarrel.com/Locations/States/ga/morrow/38/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl
American,Clayton State Dining Services,"2000 Clayton State Blvd, Morrow, GA 30260, USA",
American,Lewis's Little This Little That,"788 GA-138, Jonesboro, GA 30236, USA",
American,Applebee's Grill + Bar,"6727 Tara Blvd, Jonesboro, GA 30236, USA",https://restaurants.applebees.com/en-us/ga/jonesboro/6727-tara-blvd-98092?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=98092&utm_content=website
American,Wings & Seafood Jonesboro,"188 Upper Riverdale Rd Suite A, Jonesboro, GA 30236, USA",http://www.wingsandseafoodga.com/
American,Esco Restaurant & Tapas Southside,"1140 Mt Zion Rd, Morrow, GA 30260, USA",http://www.escobaratlanta.com/
American,Southern Fusion Bistro,"1820 Noahs Ark Rd Ste. 101, Jonesboro, GA 30236, USA",https://www.southernfusionbistro.com/
American,THAT Burger Spot! #1,"723C GA-138, Riverdale, GA 30274, USA",https://www.thatburgerspot.com/
American,New York Buffalo Wings,"4645 Jonesboro Rd A, Forest Park, GA 30297, USA",
American,American Deli,"5656 Jonesboro Rd Ste 108, Morrow, GA 30260, USA",https://americandeli.com/
American,THAT Burger Spot! #3,"7420A Southlake Pkwy, Jonesboro, GA 30236, USA",https://www.thatburgerspot.com/
American,Nouveau at Broad Street,"103 W Mill St, Jonesboro, GA 30236, USA",https://barjonesboro.com/
American,Cook Out,"6273 Jonesboro Rd, Morrow, GA 30260, USA",http://cookout.com/
American,American Deli,"8033 Tara Blvd, Jonesboro, GA 30236, USA",https://americandeli.com/
American,Old Tyme Grill & Buffet,"8465 Tara Blvd, Jonesboro, GA 30236, USA",
American,Hooters,"6785 Tara Blvd, Jonesboro, GA 30236, USA",https://www.hooters.com/locations/1023-tara-blvd?utm_medium=organic&utm_source=google&utm_campaign=gmb-georgia-south&utm_content=jonesboro&utm_term=website-cta
American,American Wings & Hibachi,"1296 GA-138 #102, Riverdale, GA 30296, USA",
