Cuisine Type,Name,Address,Website
Mexican,Compadres Mexican Restaurant,"17345 Conneaut Lake Rd, Meadville, PA 16335, USA",https://www.compadresmexpa.com/
Mexican,Pueblo Real Mexican Restaurant,"348 W Main Rd, Conneaut, OH 44030, USA",https://pueblorealmexicanrestaurantoh.com/
Mexican,Pueblo Real,"61 E Jefferson St, Jefferson, OH 44047, USA",https://pueblorealjefferson.com/
Mexican,Cactus Bellevue Square,"535 Bellevue Square, Bellevue, WA 98004, USA",https://www.cactusrestaurants.com/location/locations-bellevue-square
Mexican,LOS Compadres Mexican Restaurant,"4700 West Ave, Ashtabula, OH 44004, USA",https://compadresgrillohio.com/
Mexican,Margarita King Meadville,"251 Chestnut St, Meadville, PA 16335, USA",https://www.kingofmargaritas.com/
Mexican,La Casa de Frida Mexican Restaurant,"3315 N Ridge Rd E, Ashtabula, OH 44004, USA",http://lacasadefridarestaurante.com/
Mexican,El Torero Mexican Restaurant,"105 S High St, Cortland, OH 44410, USA",
Mexican,Compadres Mexican Restaurant,"14 S Mercer St, Greenville, PA 16125, USA",https://www.compadresmexpa.com/
Mexican,Compadres Mexican Restaurant,"220 W Plum St, Edinboro, PA 16412, USA",https://www.compadresmexpa.com/
Mexican,El Toro Family Restaurant,"7060 US-322, Cranberry, PA 16319, USA",http://toromexican.com/
Mexican,Añejo Mexican Restaurant & Cantina,"5000 E Market St, Warren, OH 44484, USA",https://anejomexicanoh.com/
Mexican,Cozumel Mexican Restaurant & Cantina,"24 United Dr, Clarion, PA 16214, USA",http://www.facebook.com/cozumelclarion
Mexican,Pueblo Real,"9155 W Ridge Rd, Girard, PA 16417, USA",https://pueblorealgirard.com/
Mexican,El Vallarta Mexican Restaurant & Cantina,"3101 E State St, Hermitage, PA 16148, USA",https://elvallartamex.com/
Mexican,El Torero Mexican Restaurant,"3701 Elm Rd NE, Warren, OH 44483, USA",http://eltoreromexicanrestaurants.com/
Mexican,Margarita King Mexican Grill & Cantina,"835 Perry Hwy, Mercer, PA 16137, USA",https://www.kingofmargaritas.com/
Mexican,El Charro,"113 E Pike St, Crawfordsville, IN 47933, USA",https://www.facebook.com/elcharromexicanrestaurant
Mexican,Sr Jalapeno Warren,"1556 N River Rd NE, Warren, OH 44483, USA",
Mexican,Little Mexico,"211 E Main St, Crawfordsville, IN 47933, USA",http://www.eatlittlemexico.com/
Italian,Valenza Restaurant,"11105 Perry Hwy, Meadville, PA 16335, USA",https://www.facebook.com/ValenzaRestaurant/
Italian,Tuscano's Italian Kitchen,"14919 N Kelsey St, Monroe, WA 98272, USA",https://www.tuscanositalian.com/
Italian,Lucantino’s Trattoria,"321 Arch St #103, Meadville, PA 16335, USA",https://www.facebook.com/profile.php?id=100076272408425
Italian,Mannino Italian Garden,"283 Chestnut St, Meadville, PA 16335, USA",http://www.manninoitalian.com/
Italian,Italian Civic Club,"869 Water St, Meadville, PA 16335, USA",https://www.italiancivicclub.org/
