Cuisine Type,Name,Address,Website
Mexican,Palenque Mexican Bar & Grill,"210 S Spring St, Beaver Dam, WI 53916, USA",https://palenquemexicanbarandgrill.com/
Mexican,La Tapatia Mexican Grill,"1105 N Spring St, Beaver Dam, WI 53916, USA",https://www.latapatiamexicangrill.net/
Mexican,Don Ramon Mexican Restaurant,"39 S Main St, Mayville, WI 53050, USA",https://www.donramonrestaurants.com/
Mexican,El Guacamole Mexican Grill,"114 E Industrial Dr, Beaver Dam, WI 53916, USA",http://elguacamolemexicangrill.us/
Mexican,LOS RAMOS MEXICAN RESTAURANT,"405 E Main St, Waupun, WI 53963, USA",https://www.losramosmexicanrestaurant.com/
Mexican,El Mariachi Mexican Restaurant,"1694 S Church St, Watertown, WI 53094, USA",http://www.elmariachiwi.com/
Mexican,Tequilas Bar and Grill,"126 S Ludington St, Columbus, WI 53925, USA",https://tequilasbarandgrillcolumbus.com/
Mexican,Taqueria Maria's,"311 S 1st St, Watertown, WI 53094, USA",
Mexican,Taco Bell,"1739 N Spring St, Beaver Dam, WI 53916, USA",https://locations.tacobell.com/wi/beaver-dam/1739-north-spring-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=041416&utm_content=website&y_source=1_NjE0NTc3MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Taco Bell,"663 East Ave, Lomira, WI 53048, USA",https://locations.tacobell.com/wi/lomira/663-east-ave.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=041420&utm_content=website&y_source=1_NjE0MjU2Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Snapper Vick's Mexican Restaurant,"N5007 County Rd WS, Woodland, WI 53099, USA",
Mexican,Taco Bell,"114 Shaler Dr, Waupun, WI 53963, USA",https://locations.tacobell.com/wi/waupun/114-shaler.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=041415&utm_content=website&y_source=1_NjE0NjkzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Fiesta Las Margaritas,"1512 S Church St, Watertown, WI 53094, USA",https://fiestalasmargaritaswi.com/
Mexican,Amado Jr's,"403 E Main St, Watertown, WI 53094, USA",https://www.facebook.com/pages/category/Restaurant/AMADO-JRS-112084341129915/
Mexican,Taco Bell,"1729 S Church St, Watertown, WI 53094, USA",https://locations.tacobell.com/wi/watertown/1729-s-church-st.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=041417&utm_content=website&y_source=1_NjE0NTc4NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Taco Bell,"109 Dix St, Columbus, WI 53925, USA",https://www.tacobell.com/food?store=037378
Mexican,Casa Tequila,"3461 High Rd, Hartford, WI 53027, USA",http://mycasatequila.com/
Mexican,La Mexicana Minimart & Restaurant,"174 W Division St, Fond du Lac, WI 54935, USA",
Mexican,Mazatlan Mexican Restaruant,"385 Wright Rd, Johnson Creek, WI 53038, USA",http://mazatlanauthenticmexicanjohnsoncreek.com/
Mexican,El Patrón Mexican Bar & Grill,"306 Fourth St Way, Fond du Lac, WI 54937, USA",https://www.elpatronfdl.com/
Swedish,Village Garden Llc,"255 W Oak Grove St, Juneau, WI 53039, USA",https://www.facebook.com/Village-Garden-Restaurant-442555969134220/
Italian,Benvenuto's,"831 Park Ave, Beaver Dam, WI 53916, USA",http://www.benvenutos.com/
Italian,Rose Garden/Leonardo's Italian Bistro,"500 Bernard St, Watertown, WI 53094, USA",https://www.facebook.com/RoseGarden920
Italian,Old House Bar and Grill,"1002 W Main St, Watertown, WI 53098, USA",http://www.littleitalywisconsin.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8217233892278756286
Italian,Marco's Pizza,"112 W Maple Ave, Beaver Dam, WI 53916, USA",https://www.marcos.com/
Italian,Noodles and Company,"100 Frances Ln Ste. E, Beaver Dam, WI 53916, USA",https://locations.noodles.com/wi/beaver-dam/100-frances-ln.html?utm_campaign=yext&utm_medium=organic&utm_source=google
Italian,Tony's Pizza,"420 Fond du Lac St, Waupun, WI 53963, USA",https://www.tonyspizzawaupun.com/
Italian,Pizza Ranch,"1520 N Spring St, Beaver Dam, WI 53916, USA",https://pizzaranch.com/locations/wi/beaver-dam/1520-north-spring-street
Italian,Heine's Famous Pizza LLC,"N7115 Center St, Horicon, WI 53032, USA",https://www.facebook.com/heinesfamouspizza/
Italian,Benvenuto’s Italian Bar & Grill,"625 W Rolling Meadows Dr, Fond du Lac, WI 54937, USA",https://www.choicehotels.com/wisconsin/fond-du-lac/radisson-hotels/wi116/dining?mc=llgoxxpx
Italian,Marco's Pizza,"813 E Main St, Watertown, WI 53094, USA",https://www.marcos.com/
Italian,Mancino's Pizza & Grinders,"818 S Main St, Fond du Lac, WI 54935, USA",http://mancinosfonddulac.com/
Italian,Rosati's Pizza,"1907 Market Way, Watertown, WI 53094, USA",https://www.rosatispizzawatertown.com/
Italian,Bella Gusto Restaurant And Italian Market & Pizzeria,"29 S Main St, Oconomowoc, WI 53066, USA",http://www.bellagustomarket.com/
Italian,Phil's Pizza Palace,"112 S 2nd St, Watertown, WI 53094, USA",http://sites.google.com/view/philspizza
Italian,North Lake Inn,"W315N7707 WI-83, North Lake, WI 53029, USA",https://northlakeinn.com/
Italian,Zin - Uncommon California Italian,"629 Main St, Delafield, WI 53018, USA",http://www.zincredible.com/
Italian,Day One Pizza,"749 Park Ave, Columbus, WI 53925, USA",https://www.dayonepizzadelivery.com/
Italian,Ala Roma Pizzeria & Pub,"171 N Pioneer Rd, Fond du Lac, WI 54935, USA",https://www.alaromapizzeria.com/
Italian,Domino's Pizza,"711 N Spring St B, Beaver Dam, WI 53916, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps
Italian,Pizza Hut,"115 E Industrial Dr, Beaver Dam, WI 53916, USA",https://locations.pizzahut.com/wi/beaver-dam/115-e-industrial-drive?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=311556
Spanish,La Tapatia Mexican Grill,"1105 N Spring St, Beaver Dam, WI 53916, USA",https://www.latapatiamexicangrill.net/
Spanish,Palenque Mexican Bar & Grill,"210 S Spring St, Beaver Dam, WI 53916, USA",https://palenquemexicanbarandgrill.com/
Spanish,Don Ramon Mexican Restaurant,"39 S Main St, Mayville, WI 53050, USA",https://www.donramonrestaurants.com/
Spanish,LOS RAMOS MEXICAN RESTAURANT,"405 E Main St, Waupun, WI 53963, USA",https://www.losramosmexicanrestaurant.com/
Spanish,El Guacamole Mexican Grill,"114 E Industrial Dr, Beaver Dam, WI 53916, USA",http://elguacamolemexicangrill.us/
Spanish,El Mariachi Mexican Restaurant,"1694 S Church St, Watertown, WI 53094, USA",http://www.elmariachiwi.com/
Spanish,Taqueria Maria's,"311 S 1st St, Watertown, WI 53094, USA",
Spanish,Tequilas Bar and Grill,"126 S Ludington St, Columbus, WI 53925, USA",https://tequilasbarandgrillcolumbus.com/
Spanish,Amado Jr's,"403 E Main St, Watertown, WI 53094, USA",https://www.facebook.com/pages/category/Restaurant/AMADO-JRS-112084341129915/
Spanish,Snapper Vick's Mexican Restaurant,"N5007 County Rd WS, Woodland, WI 53099, USA",
Spanish,Red Moon Restaurant and Bar,"N3706 Co Rd P, Rubicon, WI 53078, USA",https://redmoonrestaurantandbar.com/
Spanish,Casa Tequila,"3461 High Rd, Hartford, WI 53027, USA",http://mycasatequila.com/
Spanish,El Sazon Jarocho Taco Truck,"810 N Monroe St, Waterloo, WI 53594, USA",https://m.facebook.com/El-Sazon-Jarocho-Taco-Truck-100703558841562/
Spanish,Mateo's Restaurant,"435 E Main St, Waupun, WI 53963, USA",
Spanish,Sherwood Family Restaurant,"1145 Horicon St, Mayville, WI 53050, USA",
Spanish,Rock River Tap,"110 W Lake St, Horicon, WI 53032, USA",http://rockrivertap.com/
Spanish,Puebla's Kitchen,"28 E Jackson St SPC A, Hartford, WI 53027, USA",https://pueblaskitchen.com/
Spanish,Mother's Day Restaurant,"417 E Lake St, Horicon, WI 53032, USA",
Spanish,Taco Bell,"1739 N Spring St, Beaver Dam, WI 53916, USA",https://locations.tacobell.com/wi/beaver-dam/1739-north-spring-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=041416&utm_content=website&y_source=1_NjE0NTc3MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Spanish,Marisol's Taste of Mexico Food Truck,"W359N5848 Brown St, Oconomowoc, WI 53066, USA",
