Cuisine Type,Name,Address,Website
Mexican,Margarita Island Mexican Kitchen & Bar,"422 Beach Village Dr, Flagler Beach, FL 32136, USA",https://margaritaislandfl.com/
Mexican,Tortugas Florida Kitchen & Bar,"608 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.tortugasflorida.com/
Mexican,Taqueria La Calentana 2,"604 E Moody Blvd, Bunnell, FL 32110, USA",https://www.facebook.com/profile.php?id=100090393256992&mibextid=ZbWKwL
Mexican,"Cantina Louie (Palm Coast, FL)","10 Palm Harbor Village Way W, Palm Coast, FL 32137, USA",https://cantinalouie.com/
Mexican,Dulce De Leche Cafe,"909 N Ocean Shore Blvd, Flagler Beach, FL 32136, USA",https://www.dulcelechecafe.com/
Mexican,A1A Burrito Works TACO SHOP,"109 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.burritoworks.com/
Mexican,Cinco de mayo Authentic Mexican Restaurant,"5615 State Rte 100, Palm Coast, FL 32164, USA",http://www.cincodemayomx.com/
Mexican,Los Dos Potrillos Mexican Restaurant,"614 N State St, Bunnell, FL 32110, USA",
Mexican,Salsas Mexican Restaurant,"250 Palm Coast Pkwy NE #401, Palm Coast, FL 32137, USA",http://www.salsasmexrestaurants.com/
Mexican,El Pollo Colorao Puerto Rican Eatery,"227 St Joe Plaza Dr, Palm Coast, FL 32164, USA",
Mexican,Break Awayz,"819 N Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.break-awayz.com/
Mexican,Monarca Mexican Cuisine & Tequila Bar,"1185 W Granada Blvd #5, Ormond Beach, FL 32174, USA",https://ormondbeachmexicanrestaurant.com/
Mexican,A1A Burrito Works Taco Shop,"1490 Palm Coast Pkwy NW, Palm Coast, FL 32137, USA",http://www.burritoworks.com/
Mexican,Fresh Guacamole Tequila & Bar,"1930 W Granada Blvd, Ormond Beach, FL 32174, USA",https://freshguacmex.com/
Mexican,Melina's Empanadas,"1403 E Moody Blvd, Bunnell, FL 32110, USA",https://melinasempanadas.wixsite.com/mysite
Mexican,Moe's Southwest Grill,"250 Palm Coast Pkwy NE, Palm Coast, FL 32137, USA",https://locations.moes.com/fl/palm-coast/250-palm-coast-parkway-ne?utm_source=google&utm_medium=organic&utm_campaign=locations_partner
Mexican,El Amigo Mexican Restaurant,"227 S Summit St, Crescent City, FL 32112, USA",
Mexican,Oceanside Beach Bar & Grill,"1848 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.oceansideflagler.com/
Mexican,Beach Front Grille,"2444 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",
Mexican,Chipotle Mexican Grill,"5860 State Rte 100 Unit 200, Palm Coast, FL 32164, USA",https://locations.chipotle.com/fl/palm-coast/5860-state-road-100-e?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Swedish,Finns Beachside Pub,"101 N Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.finnsflagler.com/
Swedish,Funky Pelican,"215 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.funkypelican.com/?utm_source=Google&utm_medium=GMB&utm_campaign=GMB%20organic%20Google%20Search
Swedish,Oceanside Beach Bar & Grill,"1848 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.oceansideflagler.com/
Swedish,Next Door Beach Bistro,"509 N Ocean Shore Blvd, Flagler Beach, FL 32136, USA",https://nextdoorbeachbistro.com/
Swedish,Java Joint Beachside Grill,"2201 N Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://javajointfb.com/
Swedish,SunBros Café,"301 Moody Blvd, Flagler Beach, FL 32136, USA",http://sunbroscafe.com/
Swedish,Break Awayz,"819 N Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.break-awayz.com/
Swedish,The Golden Lion Cafe,"501 N Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.goldenlioncafe.us/
Swedish,High Tides At Snack Jack,"2805 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.snackjacks.com/
Swedish,Crave's Coastal Kitchen & Cocktails,"2000 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",https://cravesflagler.com/
Swedish,Tortugas Florida Kitchen & Bar,"608 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://www.tortugasflorida.com/
Swedish,Back to Eden Vegan Vegetarian Cafe,"Flagler Beach, FL 32136, USA",https://www.facebook.com/backtoedencafe/
Swedish,Ohana Food Co,"107 N Central Ave, Flagler Beach, FL 32136, USA",https://ohanafoodco.square.site/
Swedish,Hi Tulip Cafe,"400 Beach Village Dr, Flagler Beach, FL 32136, USA",http://www.hitulipflagler.com/
Swedish,The Anchor,"500 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://theanchorflaglerbeach.com/
Swedish,Fusion 386 Dining at the Island,"1224 S Ocean Shore Blvd, Flagler Beach, FL 32136, USA",http://theislandgrille.com/
Swedish,VESSEL SANDWICH CO.,"213 S 2nd St #4, Flagler Beach, FL 32136, USA",http://www.vesselsandwichco.com/
Swedish,Schnitzel-Time,"Directly at the BP gas Station, 1755 Palm Harbor Pkwy, Palm Coast, FL 32137, USA",https://schnitzel-time.com/
Swedish,International Food,"300 S Central Ave #102, Flagler Beach, FL 32136, USA",
