Cuisine Type,Name,Address,Website
Mexican,Taqueria Miranda,"18870 Blue Star Hwy, Quincy, FL 32351, USA",
Italian,Domino's Pizza,"1990 Pat Thomas Pkwy, Quincy, FL 32351, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps
Italian,Mom & Dad's Italian Restaurant,"3421 Bannerman Rd Suite #104, Tallahassee, FL 32312, USA",http://www.momanddadstally.com/
Italian,Olive Garden Italian Restaurant,"835 Rainbow Dr, Gadsden, AL 35901, USA",https://www.olivegarden.com/locations/al/gadsden/gadsden-al-rainbow-dr/6474?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:gadsden-al-6474_pl:locurl_rd:1899
Spanish,Las Delicias,"1123 W Jefferson St, Quincy, FL 32351, USA",https://lasdeliciasfl.com/
Spanish,Taqueria Miranda,"18870 Blue Star Hwy, Quincy, FL 32351, USA",
Spanish,Laredo Grill,"Historic District, 6765 Ben Bostick Rd, Quincy, FL 32351, USA",
American,BIG PAPAS CHOPHOUSE,"18 N Adams St, Quincy, FL 32351, USA",http://www.bigpapaschophouse.com/
American,Carol's Country Cooking,"323 S Cleveland St, Quincy, FL 32351, USA",https://www.facebook.com/Carols-Country-Cookin-202839950310330/
American,Mama's House,"Historic District, 2004 W Jefferson St, Quincy, FL 32351, USA",
American,Country Boys,"38 Alma Yates St, Quincy, FL 32351, USA",
American,The Edison - Restaurant Tallahassee,"470 Suwannee St, Tallahassee, FL 32301, USA",http://www.edisontally.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button&utm_campaign=Tallahassee
American,Downtown Chief,"210 Locust St, Gadsden, AL 35901, USA",
American,Ted's Montana Grill,"1954 Village Green Way, Tallahassee, FL 32308, USA",https://www.tedsmontanagrill.com/tmg039.html
American,Hardee’s,"100 W Jefferson St, Quincy, FL 32351, USA",https://locations.hardees.com/fl/quincy/100-w-jefferson-st
Scottish,Country Boys,"38 Alma Yates St, Quincy, FL 32351, USA",
Scottish,Northside Seafood,"10 Main St, Chattahoochee, FL 32324, USA",
Scottish,"Harp & Clover, ""The Clover""","124 Court St, Gadsden, AL 35901, USA",
Scottish,Maryland Fried Chicken,"605 E Jefferson St, Quincy, FL 32351, USA",https://marylandfriedchickenfl.com/
Scottish,MaDukes Grab and Go,"6859 Florida Georgia Hwy, Havana, FL 32333, USA",https://www.ordermadukesgrabngo.com/
British,Best of British Pub,"150 California Blvd, Davenport, FL 33897, USA",http://www.bestofbritishpub.com/
Thai,Royal Thai Cuisine,"6212 E Hwy 98, Panama City, FL 32404, USA",https://www.royalthaicuisineorder.com/
Thai,Thai Chef Restaurant,"301 Cherry St, Panama City, FL 32401, USA",https://www.thaichefpanamacity.net/
Thai,Kati Thai Cuisine,"102 Eble St, Gadsden, AL 35904, USA",https://www.facebook.com/Kati-Thai-Cuisine-204237716274689/
Thai,Sue's Thai Cafe,"2727 Joan Ave, Panama City, FL 32408, USA",http://www.suesthaicafe.com/
Thai,Oishi Thai Restaurant and Sushi Bar,"16920 Front Beach Rd, Panama City Beach, FL 32413, USA",https://www.oishithaisushi.com/
Thai,A J Chicken & Things,"203 W Jefferson St, Quincy, FL 32351, USA",
Japanese,Sakura Japanese Cuisine Hibachi & Sushibar,"1704 E Meighan Blvd, Gadsden, AL 35903, USA",https://sakuraal.com/
Japanese,Kobe Japanese,"1001 Rainbow Dr #32, Gadsden, AL 35901, USA",https://kobesteakhouse.com/menu/
Japanese,Rock N Roll Sushi,"504 Broad St, Gadsden, AL 35901, USA",https://rocknrollsushi.com/locations/gadsden-al/
Japanese,Fuji Restaurant,"1419 Rainbow Dr, Gadsden, AL 35901, USA",https://fujirestaurantgadsden.com/
Japanese,Yamato Steak House of Japan,"105 Mountain St NW, Jacksonville, AL 36265, USA",http://jacksonvilleyamato.com/
Japanese,Super Hibachi Buffet & Grill,"127 River Rd, Gadsden, AL 35901, USA",http://www.superhibachi.com/?utm_source=gmb&utm_medium=website
Japanese,Gadsden County,"Gadsden County, FL, USA",
Japanese,Oishi Hibachi Express,"3506 Rainbow Dr, Rainbow City, AL 35906, USA",https://www.oishihibachirainbowcity.com/
Japanese,Top O' the River,"1606 Rainbow Dr, Gadsden, AL 35901, USA",http://www.topotheriverrestaurant.com/
Japanese,Chop Stix,"3741 Alford Bend Rd, Gadsden, AL 35903, USA",
Japanese,Shanghai Express,"118 E Broad St, Gadsden, AL 35903, USA",
Japanese,Kobe Japanese Steak House & Sushi Bar,"340 Inverness Cors, Birmingham, AL 35242, USA",https://www.ekobe.com/
Japanese,Chongwah Express,"1001 Rainbow Dr # 80, Gadsden, AL 35901, USA",
Japanese,Isshin,"815 Pelham Rd S, Jacksonville, AL 36265, USA",http://www.isshinjacksonville.com/
Chinese,Domino's Pizza,"1990 Pat Thomas Pkwy, Quincy, FL 32351, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps
Chinese,Carol's Country Cooking,"323 S Cleveland St, Quincy, FL 32351, USA",https://www.facebook.com/Carols-Country-Cookin-202839950310330/
Chinese,Chongwah Express,"1001 Rainbow Dr # 80, Gadsden, AL 35901, USA",
Chinese,Panda Express,"500 E Meighan Blvd, Gadsden, AL 35903, USA",https://www.pandaexpress.com/locations/al/gadsden/2465
Chinese,Super Hibachi Buffet & Grill,"127 River Rd, Gadsden, AL 35901, USA",http://www.superhibachi.com/?utm_source=gmb&utm_medium=website
Chinese,Golden China Restaurant,"957 W Meighan Blvd, Gadsden, AL 35901, USA",https://goldenchinaal.com/
Chinese,Shanghai Express,"118 E Broad St, Gadsden, AL 35903, USA",
Chinese,New China Restaurant,"110 Sutton Bridge Rd, Rainbow City, AL 35906, USA",
Chinese,Chop Stix,"3741 Alford Bend Rd, Gadsden, AL 35903, USA",
Chinese,No.1 China Buffet,"5624 McClellan Blvd, Anniston, AL 36206, USA",
Chinese,Hong Kong King Buffet,"866 Hwy 411, Etowah, TN 37331, USA",
Chinese,"KT Pho Asian restaurant - Jacksonville , AL","2 Public Square W, Jacksonville, AL 36265, USA",
Chinese,Fuji Restaurant,"1419 Rainbow Dr, Gadsden, AL 35901, USA",https://fujirestaurantgadsden.com/
Chinese,China Buffet,"2044 US-431, Boaz, AL 35957, USA",https://usmapz.me/china-buffet-825316-us
Chinese,China Buffet Talladega,"728 Battle St E, Talladega, AL 35160, USA",https://chinabuffettalladega.kwickmenu.com/index.php
Chinese,Mae Khan's Eggrolls,"2225 W Meighan Blvd, Gadsden, AL 35904, USA",
Chinese,Sakura Japanese Cuisine Hibachi & Sushibar,"1704 E Meighan Blvd, Gadsden, AL 35903, USA",https://sakuraal.com/
Chinese,Oishi Hibachi Express,"3506 Rainbow Dr, Rainbow City, AL 35906, USA",https://www.oishihibachirainbowcity.com/
Indian,Jessi's Indian Kitchen,"2319 Gillionville Rd, Albany, GA 31707, USA",https://jessisindiankitchen.com/
Jewish,Cafe Yerushalmi,"910 Lake Bradford Rd, Tallahassee, FL 32304, USA",
Polish,Salt & Sweet Restaurant,"3092 Lake Washington Rd, Melbourne, FL 32934, USA",http://www.saltandsweet.net/
Polish,Anna's Polish Restaurant,"3586 Aloma Ave #7, Winter Park, FL 32792, USA",
Polish,Cracovia Polish Restaurant - Deli & Bakery,"3007 Commercial Way, Spring Hill, FL 34606, USA",https://cracoviapolishspringhill.com/
Polish,Grace's Taste of Poland,"18513 Satsuma Ave, 19190 Cochran Blvd, Port Charlotte, FL 33948, USA",https://www.facebook.com/GracesTasteofPoland/
Polish,Rogie Pierogies,"1445 N Congress Ave Suite 11, Delray Beach, FL 33445, USA",http://www.rogiepierogies.com/
Polish,Old World Polish Deli,"1390 Federal Hwy, Pompano Beach, FL 33062, USA",http://www.oldworldpolishdeli.com/
Polish,Polish Delicatessen,"1322 W N Blvd, Leesburg, FL 34748, USA",
Polish,PL Market (Pierogis) Polish Deli,"6945 66th St N, Pinellas Park, FL 33781, USA",http://www.plmarketflorida.com/
Polish,Europol Polish Deli,"3090 Aloma Ave, Winter Park, FL 32792, USA",
German,Schnitzel & More,"4504 E Hwy 20, Niceville, FL 32578, USA",https://www.schnitzelandmore.com/
French,Little Paris Tallahassee,"1355 Market St a7, Tallahassee, FL 32312, USA",http://littleparistallahassee.com/
French,Taqueria Miranda,"18870 Blue Star Hwy, Quincy, FL 32351, USA",
French,Carol's Country Cooking,"323 S Cleveland St, Quincy, FL 32351, USA",https://www.facebook.com/Carols-Country-Cookin-202839950310330/
French,Off the Rails Irish Pub,"306 1st St NW, Havana, FL 32333, USA",https://facebook.com/offtherailsirishpub/
French,The Edison - Restaurant Tallahassee,"470 Suwannee St, Tallahassee, FL 32301, USA",http://www.edisontally.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button&utm_campaign=Tallahassee
French,Gulf Bistro,"15225 Gulf Blvd, Madeira Beach, FL 33708, USA",http://www.gulfbistro.com/
French,The Blu Halo,"3431 Bannerman Rd Suite #102, Tallahassee, FL 32312, USA",https://www.thebluhalo.com/
French,Hardee’s,"100 W Jefferson St, Quincy, FL 32351, USA",https://locations.hardees.com/fl/quincy/100-w-jefferson-st
French,A J Chicken & Things,"203 W Jefferson St, Quincy, FL 32351, USA",
French,Maryland Fried Chicken,"605 E Jefferson St, Quincy, FL 32351, USA",https://marylandfriedchickenfl.com/
French,Mimi's Table,"1311 Miccosukee Rd, Tallahassee, FL 32308, USA",https://www.mimistabletally.com/
Hawaiian,Island Fin Poke Co. - Tallahassee,"1415 Timberlane Rd Ste 407, Tallahassee, FL 32312, USA",https://www.islandfinpoke.com/location/tallahassee-fl/
Brazilian,Terra Gaucha Brazilian Steakhouse - Jacksonville,"4483 Southside Blvd, Jacksonville, FL 32216, USA",http://terragaucha.com/
Brazilian,Fogo de Chão Brazilian Steakhouse,"4784 Town Center Pkwy, Jacksonville, FL 32246, USA",https://fogodechao.com/location/jacksonville/
Brazilian,Ipanema Brazilian Steak House,"2023 S Pine Ave, Ocala, FL 34471, USA",https://www.ipanemaocala.com/
Brazilian,Porto Brasil Restaurant,"7887 Roswell Rd, Atlanta, GA 30350, USA",http://portobrasilrestaurant.com/
Brazilian,Passador Brazilian Steakhouse,"2355 Mansell Rd, Alpharetta, GA 30022, USA",http://www.passadorsteak.com/
Brazilian,Picanha Brazil,"22797 FL-7, Boca Raton, FL 33428, USA",http://www.picanhabrazil.net/
Brazilian,Picanha Brazil Steakhouse,"5650 W Sample Rd, Margate, FL 33073, USA",http://picanhabrazilsteakhouse.com/
Brazilian,Red & Green Brazilian Steak House,"5979 Buford Hwy NE suite b-1, Atlanta, GA 30340, USA",http://www.redandgreensteakhouse.com/
Brazilian,Fogo de Chão Brazilian Steakhouse,"3101 Piedmont Rd, Atlanta, GA 30305, USA",https://fogodechao.com/location/atlanta/
Brazilian,Fogo de Chão Brazilian Steakhouse,"4671 Ashford Dunwoody Rd, Dunwoody, GA 30346, USA",https://fogodechao.com/location/dunwoody/
Peruvian,Don Cha Peruvian Food,"100 Perry Ave SE, Fort Walton Beach, FL 32548, USA",http://donchaperuvianfood.com/
Peruvian,Taste of Peru,"9521 S Orange Blossom Trl ste. 117a, Orlando, FL 32837, USA",http://www.tasteofperu.net/
Peruvian,Pisco Peruvian Gastrobar Orlando,"9344 Narcoossee Rd, Orlando, FL 32827, USA",https://linktr.ee/piscogastrobarorlando
Peruvian,Pisco Restaurant and Bar,"7507 N Armenia Ave, Tampa, FL 33604, USA",http://piscorest.com/
Peruvian,Peruvian Food Blessing,"7249 NW 4th Blvd, Gainesville, FL 32607, USA",http://www.peruvianfoodblessing.com/
Peruvian,Pisco Express-Eagle Creek,"9717 Eagle Creek Center Blvd #100, Orlando, FL 32832, USA",
Peruvian,Pisco y Nazca Ceviche Gastrobar,"8551 NW 53rd St A101, Doral, FL 33166, USA",https://piscoynazca.com/doral
Peruvian,Gadsden Seafood Company llc,"1509a W Jefferson St, Quincy, FL 32351, USA",
Salvadorian,Taqueria Miranda,"18870 Blue Star Hwy, Quincy, FL 32351, USA",
Cuban,Habana's Boardwalk - Cuban Restaurant,"2819 Mahan Dr #126, Tallahassee, FL 32308, USA",http://habanasboardwalk.com/
Cuban,Gordos,"1907 W Pensacola St, Tallahassee, FL 32304, USA",http://gordoscubanfood.com/
Cuban,Off the Rails Irish Pub,"306 1st St NW, Havana, FL 32333, USA",https://facebook.com/offtherailsirishpub/
Cuban,Gordos Northside,"1460 Market St Suite #3-4, Tallahassee, FL 32312, USA",http://www.gordoscubanfood.com/
Tibetan,May Flower,"1986 Pat Thomas Pkwy, Quincy, FL 32351, USA",https://www.smorefood.com/order-online/may-flower-quincy-32351-dk4kxihz?utm_source=gmb&utm_medium=websitehttps://www.smorefood.com/order-online/may-flower-quincy-32351-dk4kxihz?utm_source=gmb&utm_medium=website
Egyptian,Gourmet 2 GO (The Egyptian Restaurant)‎,"3050 Alafaya Trail #1008, Oviedo, FL 32765, USA",https://gourmet2goovideo.kwickmenu.com/
Greek,Kairos Mediterranean,"1415 Timberlane Rd, Tallahassee, FL 32312, USA",https://www.eatkairos.com/
Greek,Taziki's Mediterranean Cafe - Tallahassee,"216 S Magnolia Dr, Tallahassee, FL 32301, USA",https://www.tazikis.com/location/tallahassee
Greek,Pitaria,"1935 Apalachee Pkwy, Tallahassee, FL 32301, USA",https://www.thepitariatallahassee.com/
Greek,Little Athens Gyro,"666 W Tennessee St #5, Tallahassee, FL 32304, USA",https://runinos.com/places/little-athens-gyro-tallahassee-fl/
Greek,Captain Pete's House of Gyros,"1184B Capital Cir NE, Tallahassee, FL 32301, USA",http://www.captainpetesgyros.com/
Greek,Sahara Cafe. Mediterranean Cuisine,"1135 Apalachee Pkwy, Tallahassee, FL 32301, USA",http://www.saharacafeone.com/
Greek,Domino's Pizza,"1990 Pat Thomas Pkwy, Quincy, FL 32351, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps
Greek,Locals Gon Greek - Food Truck,"6654 Caroline St, Milton, FL 32570, USA",https://linktr.ee/localsgongreek
Irish,Off the Rails Irish Pub,"306 1st St NW, Havana, FL 32333, USA",https://facebook.com/offtherailsirishpub/
Irish,Finnegan's Wake,"1122 Thomasville Rd # 2, Tallahassee, FL 32303, USA",http://finnspub.com/
Irish,"Harp & Clover, ""The Clover""","124 Court St, Gadsden, AL 35901, USA",
Cajun,Gadsden Seafood Company llc,"1509a W Jefferson St, Quincy, FL 32351, USA",
