Cuisine Type,Name,Address,Website
Mexican,Pueblo Viejo Mexican Restaurant,"13031 Cortez Blvd, Brooksville, FL 34613, USA",https://puebloviejomexican.com/
Mexican,Enchiladas Mexican Restaurant,"128 N Broad St, Brooksville, FL 34601, USA",https://m.facebook.com/EnchiladasMexicanRestaurant/?ref=bookmarks
Mexican,Tijuana Flats,"12320 Cortez Blvd, Brooksville, FL 34613, USA",https://www.tijuanaflats.com/locations/brooksville?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,El Ranchito,"7335 Spring Hill Dr, Spring Hill, FL 34606, USA",https://elranchitomexicanrestaurantfl.com/
Mexican,Moe's Southwest Grill,"12916 Cortez Blvd, Brooksville, FL 34613, USA",https://locations.moes.com/fl/brooksville/12916-cortez-blvd?utm_source=google&utm_medium=organic&utm_campaign=locations_partner
Mexican,Coyote Rojo #4,"5375 Spring Hill Dr, Spring Hill, FL 34606, USA",
Mexican,Plaza Mexico Spring Hill,"7285 Forest Oaks Blvd, Spring Hill, FL 34606, USA",https://plazamexicospringhill.com/
Mexican,Alejandro's,"7380 Broad St, Brooksville, FL 34601, USA",http://alejandrosmexicanrestaurant.com/
Mexican,Chipotle Mexican Grill,"13207 Cortez Blvd, Brooksville, FL 34613, USA",https://locations.chipotle.com/fl/brooksville/13207-cortez-blvd?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Taco Bell,"31001 Cortez Blvd, Brooksville, FL 34602, USA",https://locations.tacobell.com/fl/brooksville/31001-cortez-blvd.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=031006&utm_content=website&y_source=1_NjE0NDMyNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Chili's Grill & Bar,"12912 Cortez Blvd, Brooksville, FL 34613, USA",https://www.chilis.com/locations/us/florida/brooksville/brooksville?utm_source=google&utm_medium=local&utm_campaign=Chilis
Mexican,Taco Bell,"13390 Cortez Blvd, Brooksville, FL 34613, USA",https://locations.tacobell.com/fl/brooksville/13390-cortez-blvd.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=036142&utm_content=website&y_source=1_NjE0NjQ4Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,El Sol De Mexico bar and grill,"31079 State Rte 50, Brooksville, FL 34602, USA",https://elsoldemexicobarandgrill.com/
Mexican,Taco Bell,"7201 Broad St, Brooksville, FL 34601, USA",https://locations.tacobell.com/fl/brooksville/7201-broad-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=037356&utm_content=website&y_source=1_Mjk0NDA2NTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Mexican,Chulas Mexican Grill,"11061 Spring Hill Dr, Spring Hill, FL 34608, USA",http://chulasmexgrill.com/
Mexican,The Funky Monky,"19275 Cortez Blvd, Brooksville, FL 34601, USA",
Mexican,Taco Bell,"11140 Springhill Blvd, Spring Hill, FL 34609, USA",https://locations.tacobell.com/fl/spring-hill/11140-springhill-blvd.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=036135&utm_content=website&y_source=1_NjE0NzAxMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Cali Street Tacos,"11175 Spring Hill Dr, Spring Hill, FL 34609, USA",http://calistreettacos.com/
Mexican,Taco Bell,"10295 County Line Rd, Spring Hill, FL 34608, USA",https://locations.tacobell.com/fl/spring-hill/10295-county-line-rd.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=035226&utm_content=website&y_source=1_MTUwMzY0NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Mexican,Taco Bell,"2220 Commercial Way, Spring Hill, FL 34606, USA",https://locations.tacobell.com/fl/spring-hill/2220-commercial-way.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=036140&utm_content=website&y_source=1_NjE0NTExMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Swedish,Silver Dolphin Restaurant,"4036 Shoal Line Blvd, Hernando Beach, FL 34607, USA",https://www.silverdolphinrestaurant.com/
Latvian,Nouvelle Cuisine (The),"10531 Spring Hill Dr, Spring Hill, FL 34608, USA",http://www.thenouvellecuisine.com/
Italian,Carrabba's Italian Grill,"12957 Cortez Blvd, Brooksville, FL 34613, USA",https://locations.carrabbas.com/florida/brooksville/12957-cortez-blvd?y_source=1_MTU1MDMwODYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Papa Joes Italian Restaurant,"6244 Spring Lake Hwy, Brooksville, FL 34601, USA",http://papajoes.org/
Italian,Luigi's Pizza of Brooksville,"750 S Broad St, Brooksville, FL 34601, USA",http://www.luigisonline.com/
Italian,Pizza Villa and Restaurant,"7038 Coastal Blvd, Brooksville, FL 34613, USA",https://pizzavillaandrestaurant.com/
Italian,DeCristofaro's,"14277 Powell Rd, Spring Hill, FL 34609, USA",https://decristofaros.org/
