Cuisine Type,Name,Address,Website
Mexican,La Palma Mexican Grill,"60 W Jackson St, Millersburg, OH 44654, USA",http://lapalmamexicangrill.com/
Mexican,Mexican Grill,"5252 OH-39, Millersburg, OH 44654, USA",
Mexican,Habanero's Tacos and Margaritas,"2870 Winklepleck Rd NW, Sugarcreek, OH 44681, USA",https://habanerostacosmargaritas.com/
Mexican,Taco Bell,"1532 S Washington St, Millersburg, OH 44654, USA",https://locations.tacobell.com/oh/millersburg/1532-washington-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=029974&utm_content=website&y_source=1_MzkxNjc3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Brick Town Tavern,"980 W Main St, Sugarcreek, OH 44681, USA",https://www.facebook.com/pages/The-Brick-Towne-Tavern/157805370928485
Swedish,Des Dutch Essenhaus,"176 N Market St, Shreve, OH 44676, USA",https://desdutchessenhaus.com/
Swedish,Tarragon at The Inn at Honey Run,"6920 Co Rd 203, Millersburg, OH 44654, USA",http://www.innathoneyrun.com/dining
Swedish,Berlin Farmstead,"4757 Township Rd 366, Berlin, OH 44610, USA",http://www.dhgroup.com/
Swedish,Rebecca's Bistro,"4986 Walnut St, Walnut Creek, OH 44687, USA",http://www.rebeccasbistro.com/
Swedish,Mrs Yoders Kitchen,"8101 OH-241, Mt Hope, OH 44660, USA",https://mrsyoderskitchen.com/
Swedish,Boyd & Wurthmann Restaurant,"4819 E Main St, Berlin, OH 44610, USA",http://boydandwurthmann.com/
Swedish,Amish Door Restaurant,"1210 Winesburg St, Wilmot, OH 44689, USA",http://amishdoor.com/
Swedish,Der Dutchman,"4967 Walnut St, Walnut Creek, OH 44687, USA",http://www.dhgroup.com/
Swedish,East Main Kitchen & Coffee,"108 E Main St, Baltic, OH 43804, USA",http://eastmainkitchen.com/
Swedish,Plain & Simple Diner,"4774 US-62, Berlin, OH 44610, USA",http://www.plainsimplemag.com/
Swedish,East of Chicago,"4925 W Main St, Berlin, OH 44610, USA",https://eastofchicago-berlin.foodtecsolutions.com/
Swedish,Dutch Valley Restaurant,"1343 Old Rte 39 NE, Sugarcreek, OH 44681, USA",http://www.dutch-valley.com/
Swedish,Chalet In The Valley Restaurant,"5060 OH-557, Millersburg, OH 44654, USA",
Latvian,Tarragon at The Inn at Honey Run,"6920 Co Rd 203, Millersburg, OH 44654, USA",http://www.innathoneyrun.com/dining
Latvian,Berlin Farmstead,"4757 Township Rd 366, Berlin, OH 44610, USA",http://www.dhgroup.com/
Latvian,Der Dutchman,"4967 Walnut St, Walnut Creek, OH 44687, USA",http://www.dhgroup.com/
Latvian,East Main Kitchen & Coffee,"108 E Main St, Baltic, OH 43804, USA",http://eastmainkitchen.com/
Latvian,Rebecca's Bistro,"4986 Walnut St, Walnut Creek, OH 44687, USA",http://www.rebeccasbistro.com/
Latvian,Des Dutch Essenhaus,"176 N Market St, Shreve, OH 44676, USA",https://desdutchessenhaus.com/
Latvian,Mrs Yoders Kitchen,"8101 OH-241, Mt Hope, OH 44660, USA",https://mrsyoderskitchen.com/
Latvian,Plain & Simple Diner,"4774 US-62, Berlin, OH 44610, USA",http://www.plainsimplemag.com/
Latvian,Boyd & Wurthmann Restaurant,"4819 E Main St, Berlin, OH 44610, USA",http://boydandwurthmann.com/
Latvian,Amish Door Restaurant,"1210 Winesburg St, Wilmot, OH 44689, USA",http://amishdoor.com/
Latvian,La Palma Mexican Grill,"60 W Jackson St, Millersburg, OH 44654, USA",http://lapalmamexicangrill.com/
Latvian,East of Chicago,"4925 W Main St, Berlin, OH 44610, USA",https://eastofchicago-berlin.foodtecsolutions.com/
Latvian,Dutch Valley Restaurant,"1343 Old Rte 39 NE, Sugarcreek, OH 44681, USA",http://www.dutch-valley.com/
Latvian,Mudd Valley Cafe & Creamery,"2641 OH-39, Walnut Creek, OH 44687, USA",http://walnutcreekcheese.com/
Latvian,Chalet In The Valley Restaurant,"5060 OH-557, Millersburg, OH 44654, USA",
Italian,Tarragon at The Inn at Honey Run,"6920 Co Rd 203, Millersburg, OH 44654, USA",http://www.innathoneyrun.com/dining
Italian,Park Street Pizza,"215 R, Dover Rd NW, Sugarcreek, OH 44681, USA",http://www.parkstreetpizza.com/
Italian,East of Chicago,"960 S Washington St, Millersburg, OH 44654, USA",https://eoc-millersburg.foodtecsolutions.com/
Italian,Romeo's Pizza,"987 S Washington St, Millersburg, OH 44654, USA",https://locations.romeospizza.com/romeos-pizza-c8101e2ed901
Italian,Winesburg Pizza,"2105 Main St, Winesburg, OH 44690, USA",https://www.whitmerspizza.com/
Italian,The Colorful Cookery,"4829 E Main St, Berlin, OH 44610, USA",http://thecolorfulcookery.godaddysites.com/
Italian,Table Rock Pizza,"4799 E Main St, Millersburg, OH 44654, USA",https://millersburgpizzadelivery.com/
Italian,Main Street Pizza & Subs,"102 W Main St, Holmesville, OH 44633, USA",http://www.mainstreetpizzaandsubs.com/
Italian,Pizza Hut,"1681 S Washington St Ste Sr 83, Millersburg, OH 44654, USA",https://locations.pizzahut.com/oh/millersburg/1681-s-washington?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=295275
Italian,East of Chicago,"4925 W Main St, Berlin, OH 44610, USA",https://eastofchicago-berlin.foodtecsolutions.com/
Italian,Berlin Farmstead,"4757 Township Rd 366, Berlin, OH 44610, USA",http://www.dhgroup.com/
Italian,Mrs Yoders Kitchen,"8101 OH-241, Mt Hope, OH 44660, USA",https://mrsyoderskitchen.com/
Italian,Rebecca's Bistro,"4986 Walnut St, Walnut Creek, OH 44687, USA",http://www.rebeccasbistro.com/
Italian,Lem's Pizza,"110 N Mill St, Fredericksburg, OH 44627, USA",http://www.lemspizza.com/
Italian,East of Chicago,"149 Dover Rd NW, Sugarcreek, OH 44681, USA",http://www.eastofchicago.com/
Italian,Mexican Grill,"5252 OH-39, Millersburg, OH 44654, USA",
Italian,East of Chicago,"275 N Market St, Shreve, OH 44676, USA",http://www.eastofchicago.com/
Italian,Pizza Shop By Country Mart,"7813 Co Rd 77, Mt Hope, OH 44660, USA",
Italian,Mariola Italian,"365 E Liberty St #100, Wooster, OH 44691, USA",http://www.mariolaitalian.com/
Italian,Mazza's,"11587 Upper Gilchrist Rd, Mt Vernon, OH 43050, USA",https://mazzas.com/
Spanish,La Palma Mexican Grill,"60 W Jackson St, Millersburg, OH 44654, USA",http://lapalmamexicangrill.com/
Spanish,Mexican Grill,"5252 OH-39, Millersburg, OH 44654, USA",
Spanish,Tarragon at The Inn at Honey Run,"6920 Co Rd 203, Millersburg, OH 44654, USA",http://www.innathoneyrun.com/dining
Spanish,Brick Town Tavern,"980 W Main St, Sugarcreek, OH 44681, USA",https://www.facebook.com/pages/The-Brick-Towne-Tavern/157805370928485
Spanish,Rebecca's Bistro,"4986 Walnut St, Walnut Creek, OH 44687, USA",http://www.rebeccasbistro.com/
Spanish,Dutch Valley Restaurant,"1343 Old Rte 39 NE, Sugarcreek, OH 44681, USA",http://www.dutch-valley.com/
Spanish,Berlin Farmstead,"4757 Township Rd 366, Berlin, OH 44610, USA",http://www.dhgroup.com/
Spanish,Der Dutchman,"4967 Walnut St, Walnut Creek, OH 44687, USA",http://www.dhgroup.com/
Spanish,Olde World Bistro-Berlin,"4363 OH-39, Berlin, OH 44610, USA",http://oldeworldbistroandbakery.com/
Spanish,Blue Moon Bistro,"7501 OH-83, Holmesville, OH 44633, USA",http://bluemoonbistro.com/
Spanish,Des Dutch Essenhaus,"176 N Market St, Shreve, OH 44676, USA",https://desdutchessenhaus.com/
