Cuisine Type,Name,Address,Website
Mexican,Corine's Mexican Food,"822 Main St, Walsenburg, CO 81089, USA",http://www.corinesrestaurant.com/
Mexican,Taco Bell,"457-A US-85 #87, Walsenburg, CO 81089, USA",https://locations.tacobell.com/co/walsenburg/457-a-us-highway-85-87.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=J188004&utm_content=website&y_source=1_NjE0MzQyNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Swedish,Walsenburg Mercantile,"408 Russell St, Walsenburg, CO 81089, USA",http://walsenburgmercantile.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7276112689772109252
Latvian,Alys' Restaurant,"604 S Oak St, La Veta, CO 81055, USA",https://www.alysrestaurant.com/
Italian,Viktorios Pizzeria and Full Service Bar,"4490 Bent Brothers Blvd, Colorado City, CO 81019, USA",
Italian,Stiano,"103 W Ryus Ave, La Veta, CO 81055, USA",https://www.stianoitalian.com/
Italian,Gub Gub's,"408 Russell St, Walsenburg, CO 81089, USA",http://gubgubs.com/
Italian,Alys' Restaurant,"604 S Oak St, La Veta, CO 81055, USA",https://www.alysrestaurant.com/
Italian,Corine's Mexican Food,"822 Main St, Walsenburg, CO 81089, USA",http://www.corinesrestaurant.com/
Italian,Tina's Family Cafe,"501 Walsen Ave, Walsenburg, CO 81089, USA",
Italian,Legends On Main,"305 S Main St, La Veta, CO 81055, USA",
Italian,RegalBurg Coffee and Deli,"408 Russell St, Walsenburg, CO 81089, USA",
Italian,Subway,"228 Main St, Walsenburg, CO 81089, USA",https://restaurants.subway.com/united-states/co/walsenburg/228-n-main-st?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=16847&utm_campaign=evergreen-2020&y_source=1_MTQ5MTU2NDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Subway,"99800 I-25, Walsenburg, CO 81089, USA",https://restaurants.subway.com/united-states/co/walsenburg/99800-interstate-25?y_source=1_MjQyNzc0ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Rino's Italian Restaurant,"400 E Main St, Trinidad, CO 81082, USA",http://www.rinostrinidad.com/
