Cuisine Type,Name,Address,Website
Mexican,Esmeralda's 2.0 The Best Mexican Restaurant In Eureka,"328 Grotto St, Eureka, CA 95501, USA",https://www.eurekasbestmexicanfood.net/
Mexican,El Paisano Mexican Taqueria,"1095 S Fortuna Blvd, Fortuna, CA 95540, USA",
Mexican,Valley Azteca Restaurant,"5000 Valley W Blvd #4646, Arcata, CA 95521, USA",
Mexican,Cocina Oaxaqueña,"3943 Walnut Dr, Eureka, CA 95503, USA",
Mexican,Luis's,"946 West Ave, Eureka, CA 95501, USA",http://luissrestaurant.com/
Mexican,Patino's Mexican Food,"4050 Broadway St, Eureka, CA 95503, USA",
Mexican,Oaxaca Grill,"508 Henderson St F, Eureka, CA 95501, USA",
Mexican,Amigas Burritos Mexican Restaurant,"317 5th St, Eureka, CA 95501, USA",
Mexican,Alma's Mexican Food,"1225 Giuntoli Ln, Arcata, CA 95521, USA",
Mexican,Taco Loco,"955 Main St, Fortuna, CA 95540, USA",
Mexican,Fiesta Cafe,"823 Broadway St, Eureka, CA 95501, USA",
Mexican,Fogón Costeño,"518 Henderson St, Eureka, CA 95501, USA",https://food.orders.co/elfogoncosteno
Mexican,Cocina Mariposa,"4750 Fairway Dr, Eureka, CA 95503, USA",https://www.cocinamariposaca.com/
Mexican,Lonchería mí Pueblito,"163 S Fortuna Blvd, Fortuna, CA 95540, USA",
Mexican,Tacos El Pueblo,"301 W Washington St, Eureka, CA 95501, USA",
Mexican,Esteban,"860 10th St, Arcata, CA 95521, USA",
Mexican,Tacos La Bonita,"1499 Spear Ave, Arcata, CA 95521, USA",
Mexican,Tres Chiles Picosos,"3502 Broadway St, Eureka, CA 95503, USA",https://treschilespicosos.com/
Mexican,El Chipotle Mexican & American Food,"850 Crescent Way, Arcata, CA 95521, USA",http://lnkh.co/elchipotle
Mexican,Pachanga Mexicana,"1802 5th St, Eureka, CA 95501, USA",https://www.pachangamexicana.com/
Swedish,Kristina's Restaurant,"250 W 5th St, Eureka, CA 95501, USA",
Swedish,Kebab Cafe,"5000 Valley W Blvd Ste 19, Arcata, CA 95521, USA",https://www.kebabcafearcata.com/
Swedish,Adel's Restaurant,"1724 Broadway St, Eureka, CA 95501, USA",
Swedish,Humboldt Bay Provisions,"205 G St, Eureka, CA 95501, USA",http://www.humboldtbayprovisions.us/
Swedish,Café Marina & Woodley's Bar,"601 Startare Dr, Eureka, CA 95501, USA",http://www.cafemarina.net/
Swedish,Café Waterfront,"102 F St, Eureka, CA 95501, USA",http://www.cafewaterfronteureka.com/
Swedish,Eureka Village Pantry,"1912 Broadway St, Eureka, CA 95501, USA",
Swedish,Bayfront Restaurant,"1 F St, Eureka, CA 95501, USA",https://bayfrontone.com/
Swedish,Tomo | Japanese Restaurant,"708 9th St, Arcata, CA 95521, USA",http://www.tomoarcata.com
Swedish,Humboldt Soup Company,"1019 Myrtle Avenue, Eureka, CA 95501, USA",
Swedish,SALT Fish House,"935 I St, Arcata, CA 95521, USA",http://www.saltfishhouse.com/
Swedish,Los Bagels,"1061 I St, Arcata, CA 95521, USA",http://losbagels.com/
Swedish,Humboldt Bay Bistro,"1436 2nd St, Eureka, CA 95501, USA",http://www.humboldtbaybistro.com/
Swedish,Curry Leaf,"2335 US-101, Eureka, CA 95501, USA",https://order.online/business/curry-leaf-11412991
