Cuisine Type,Name,Address,Website
Mexican,El Zarape Restaurant Inc,"139 S Imperial Ave, Imperial, CA 92251, USA",
Mexican,Ma Lupe's Restaurant,"390 W Aten Rd, Imperial, CA 92251, USA",https://riny.top/ma-lupe-s-restaurant-2
Mexican,Letty's Casita,"705 S 4th St, El Centro, CA 92243, USA",https://www.facebook.com/Lettyscasita/
Mexican,Nana’s Kitchen,"502 W Aten Rd #103, Imperial, CA 92251, USA",
Mexican,Antojitos Como En Casa,"425 Desert Gardens Dr # C, El Centro, CA 92243, USA",https://www.antojitoscomoencasa.com/
Mexican,Antojitos Como en Casa,"841 Main St, El Centro, CA 92243, USA",http://antojitoscomoencasa.com/
Mexican,El Merendero,"1702 N Imperial Ave Ste A, El Centro, CA 92243, USA",https://elmerenderomexican.com/
Mexican,La Fonda Bar & Grill,"1950 S 4th St #1, El Centro, CA 92243, USA",https://bit.ly/LaFondaBarGrill
Mexican,Jalisco's Bar And Grill,"844 N Imperial Ave, El Centro, CA 92243, USA",
Mexican,The Burrito Factory,"130 S Imperial Ave, El Centro, CA 92243, USA",http://www.theburritofactory.shop/
Mexican,Sobe's,"1151 S 4th St, El Centro, CA 92243, USA",http://sobesrestaurant.com/
Mexican,Mami's Flavor Mexican Cuisine,"3451 Dogwood Rd, El Centro, CA 92243, USA",
Mexican,Chiliberto's Taco & Breakfast,"717 Imperial Ave, Calexico, CA 92231, USA",https://www.facebook.com/profile.php?id=100073040659612&mibextid=ZbWKwL
Mexican,Johnny's Burritos of Imperial,"105 S Imperial Ave, Imperial, CA 92251, USA",https://www.toasttab.com/johnny's-burritos-imperial
Mexican,Puerto Nuevo Patio and Grill,"395 Broadway, El Centro, CA 92243, USA",https://puertonuevoelcentro.com/
Mexican,Celia's Restaurant,"1530 Adams Ave, El Centro, CA 92243, USA",
Mexican,Flautas & Sopes (Food 4 Less Shopping Center),"1531 Ford Dr, El Centro, CA 92243, USA",https://flautassopesca.com/
Mexican,Cilantros La Taqueria,"643 S 4th St Ste 1, El Centro, CA 92243, USA",
Mexican,"D'Poly Taco, Grill & Beer","1573 Main St, El Centro, CA 92243, USA",
Mexican,Las Tias Comida Mexicana,"2334 S Marina Dr, Thermal, CA 92274, USA",
Swedish,Famous Dave's Bar-B-Que,"3103 S Dogwood Rd, El Centro, CA 92243, USA",https://www.famousdaves.com/El-Centro
Latvian,Maranatha Steakhouse,"612 S J St, Imperial, CA 92251, USA",http://maranathasteakhouse.wixsite.com/eatsteak
