Cuisine Type,Name,Address,Website
Mexican,El Molcajete,"1380 S State St, Ukiah, CA 95482, USA",https://elmolcajeteca.com/
Mexican,El Mexicano,"166 S Main St, Willits, CA 95490, USA",
Mexican,Taqueria Bravo,"235 S Main St, Willits, CA 95490, USA",
Mexican,Lalo's Mexican Food,"1200 N State St, Ukiah, CA 95482, USA",
Mexican,La Playa | Mexican Restaurant,"760 S Main St, Fort Bragg, CA 95437, USA",http://www.laplayamex.com/
Mexican,Villa Del Mar,"111 S State St, Ukiah, CA 95482, USA",
Mexican,Taqueria Jalos,"1130 S State St, Ukiah, CA 95482, USA",
Mexican,Taco Loco Restaurant,"Ukiah, CA 95482, USA",https://m.facebook.com/pages/category/Family-Style-Restaurant/Taco-Loco-119839918061843/
Mexican,La Casona Del Cielo,"44400 US-101, Laytonville, CA 95454, USA",
Mexican,Super Taco,"506 E Perkins St, Ukiah, CA 95482, USA",
Mexican,Eddie's Cocina Authentic Mexican,"109 S School St, Ukiah, CA 95482, USA",
Mexican,El Azteca,"1631 S State St, Ukiah, CA 95482, USA",
Mexican,"""Best Mexican Food in Town""","1130 S State St, Ukiah, CA 95482, USA",
Mexican,Taqueria Jalos,"898 S Main St, Willits, CA 95490, USA",
Mexican,Taqueria Michoacan,"2200 N State St, Ukiah, CA 95482, USA",
Mexican,Mi Mexico Restaurant,"144 North Main St, Willits, CA 95490, USA",
Mexican,Super Taco,"1726 S Main St, Willits, CA 95490, USA",https://supertacoca.com/
Mexican,Taqueria Maria,"1661 S Main St, Willits, CA 95490, USA",
Mexican,Paco's tacos,"44911 US-101, Laytonville, CA 95454, USA",
Mexican,Los Gallitos,"230 N Franklin St, Fort Bragg, CA 95437, USA",
Swedish,Flow | Restaurant & Lounge,"45040 Main St, Mendocino, CA 95460, USA",http://www.mendocinoflow.com/
Swedish,Stanford Inn's Ravens Restaurant,"44850 Comptche Ukiah Rd, Mendocino, CA 95460, USA",https://stanfordinn.com/ravens-restaurant-mendocino-about-us/
Swedish,Fog Eater Cafe,"45104 Main St, Mendocino, CA 95460, USA",https://fogeatercafe.com/
Swedish,Gnar Bar,"10450 Lansing St, Mendocino, CA 95460, USA",http://gnarbar707.com/
Swedish,Trillium Cafe & Inn,"10390 Kasten St, Mendocino, CA 95460, USA",http://trilliummendocino.com/
Swedish,Mendocino Cafe,"10451 Lansing St, Mendocino, CA 95460, USA",http://www.mendocinocafe.com/
Swedish,Patterson's Pub,"10485 Lansing St, Mendocino, CA 95460, USA",http://www.pattersonspub.com/
Swedish,Cafe Beaujolais,"961 Ukiah St, Mendocino, CA 95460, USA",http://cafebeaujolais.com/
Swedish,The Brickery,"961 Ukiah St, Mendocino, CA 95460, USA",https://www.cafebeaujolais.com/the-brickery
Swedish,MacCallum House,"45020 Albion St, Mendocino, CA 95460, USA",https://www.maccallumhouse.com/dining/
Swedish,Luna Trattoria,"955 Ukiah St, Mendocino, CA 95460, USA",http://www.lunatrattoria.com/
Swedish,Frankie's,"44951 Ukiah St, Mendocino, CA 95460, USA",http://www.frankiesmendocino.com/
Swedish,Ledford House,"3000 CA-1, Albion, CA 95410, USA",http://www.ledfordhouse.com/
Latvian,Trillium Cafe & Inn,"10390 Kasten St, Mendocino, CA 95460, USA",http://trilliummendocino.com/
Latvian,Fog Eater Cafe,"45104 Main St, Mendocino, CA 95460, USA",https://fogeatercafe.com/
Latvian,Cafe Beaujolais,"961 Ukiah St, Mendocino, CA 95460, USA",http://cafebeaujolais.com/
Latvian,MacCallum House,"45020 Albion St, Mendocino, CA 95460, USA",https://www.maccallumhouse.com/dining/
Latvian,Ledford House,"3000 CA-1, Albion, CA 95410, USA",http://www.ledfordhouse.com/
Latvian,Luna Trattoria,"955 Ukiah St, Mendocino, CA 95460, USA",http://www.lunatrattoria.com/
Latvian,Flow | Restaurant & Lounge,"45040 Main St, Mendocino, CA 95460, USA",http://www.mendocinoflow.com/
Latvian,Stanford Inn's Ravens Restaurant,"44850 Comptche Ukiah Rd, Mendocino, CA 95460, USA",https://stanfordinn.com/ravens-restaurant-mendocino-about-us/
Latvian,Mendocino Cafe,"10451 Lansing St, Mendocino, CA 95460, USA",http://www.mendocinocafe.com/
Latvian,Patterson's Pub,"10485 Lansing St, Mendocino, CA 95460, USA",http://www.pattersonspub.com/
Latvian,The Brickery,"961 Ukiah St, Mendocino, CA 95460, USA",https://www.cafebeaujolais.com/the-brickery
Italian,Luna Trattoria,"955 Ukiah St, Mendocino, CA 95460, USA",http://www.lunatrattoria.com/
Spanish,Mayan Fusion,"418 N Main St, Fort Bragg, CA 95437, USA",https://www.mayanfusion.com/
Spanish,Patterson's Pub,"10485 Lansing St, Mendocino, CA 95460, USA",http://www.pattersonspub.com/
Spanish,Mi Mexico Restaurant,"144 North Main St, Willits, CA 95490, USA",
Spanish,Ledford House,"3000 CA-1, Albion, CA 95410, USA",http://www.ledfordhouse.com/
Spanish,El Chicano Restaurant,"1551 S Main St, Willits, CA 95490, USA",
Spanish,MacCallum House,"45020 Albion St, Mendocino, CA 95460, USA",https://www.maccallumhouse.com/dining/
Spanish,Cafe Beaujolais,"961 Ukiah St, Mendocino, CA 95460, USA",http://cafebeaujolais.com/
Spanish,Luna Trattoria,"955 Ukiah St, Mendocino, CA 95460, USA",http://www.lunatrattoria.com/
Spanish,Gnar Bar,"10450 Lansing St, Mendocino, CA 95460, USA",http://gnarbar707.com/
Spanish,Taqueria Bravo,"235 S Main St, Willits, CA 95490, USA",
Spanish,Villa Del Mar,"111 S State St, Ukiah, CA 95482, USA",
Spanish,Johnny's,"816 N State St, Ukiah, CA 95482, USA",
Spanish,Fog Eater Cafe,"45104 Main St, Mendocino, CA 95460, USA",https://fogeatercafe.com/
Spanish,La Estrella,"250 N Main St, Fort Bragg, CA 95437, USA",https://www.fortbraggrestaurants.com/estrella-mexican
Spanish,Casa Del Sol,"32351 N Harbor Dr, Fort Bragg, CA 95437, USA",http://www.facebook.com/casadelsol2019
Spanish,El Mexicano,"166 S Main St, Willits, CA 95490, USA",
Spanish,La Palapa,"647 E Oak St, Fort Bragg, CA 95437, USA",
Spanish,Flow | Restaurant & Lounge,"45040 Main St, Mendocino, CA 95460, USA",http://www.mendocinoflow.com/
Spanish,The Black Door,"38411 Robinson Reef Dr, Gualala, CA 95445, USA",https://www.facebook.com/TheBlackdoorMexicanCuisine/
Spanish,GoodLife Cafe & Bakery,"10483 Lansing St, Mendocino, CA 95460, USA",http://www.goodlifecafemendo.com/
American,Patterson's Pub,"10485 Lansing St, Mendocino, CA 95460, USA",http://www.pattersonspub.com/
American,Flow | Restaurant & Lounge,"45040 Main St, Mendocino, CA 95460, USA",http://www.mendocinoflow.com/
American,Gnar Bar,"10450 Lansing St, Mendocino, CA 95460, USA",http://gnarbar707.com/
American,Noyo River Grill,"1011 S Main St, Fort Bragg, CA 95437, USA",https://www.noyorivergrill.com/
American,Egghead's Restaurant,"326 N Main St, Fort Bragg, CA 95437, USA",
American,Trillium Cafe & Inn,"10390 Kasten St, Mendocino, CA 95460, USA",http://trilliummendocino.com/
American,Mendocino Cafe,"10451 Lansing St, Mendocino, CA 95460, USA",http://www.mendocinocafe.com/
American,David's,"163 Boatyard Dr, Fort Bragg, CA 95437, USA",
American,Dick's Place,"45070 Main St, Mendocino, CA 95460, USA",
American,Fog Eater Cafe,"45104 Main St, Mendocino, CA 95460, USA",https://fogeatercafe.com/
American,Stanford Inn's Ravens Restaurant,"44850 Comptche Ukiah Rd, Mendocino, CA 95460, USA",https://stanfordinn.com/ravens-restaurant-mendocino-about-us/
American,The Golden Pig,"13380 US-101, Hopland, CA 95449, USA",https://thegoldenpig.com/?y_source=1_NTQzMjU3NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
American,Albion River Inn Restaurant,"3790 CA-1, Albion, CA 95410, USA",https://scphotel.com/mendocino-coast/food-drink/albion-river-inn-restaurant/
American,Denny's,"901 N Main St, Fort Bragg, CA 95437, USA",https://locations.dennys.com/CA/FORT-BRAGG/246703?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing&y_source=1_MjIyOTE5Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
American,Cafe Beaujolais,"961 Ukiah St, Mendocino, CA 95460, USA",http://cafebeaujolais.com/
American,Home Style Cafe,"790 S Main St, Fort Bragg, CA 95437, USA",http://www.homestylecafe.com/
American,Jenny's Giant Burger,"940 N Main St, Fort Bragg, CA 95437, USA",
American,MacCallum House,"45020 Albion St, Mendocino, CA 95460, USA",https://www.maccallumhouse.com/dining/
American,Club Calpella Restaurant,"6175 N State St, Ukiah, CA 95482, USA",
American,The Wharf,"32260 N Harbor Dr, Fort Bragg, CA 95437, USA",http://www.thewharffortbragg.com/
Scottish,Patterson's Pub,"10485 Lansing St, Mendocino, CA 95460, USA",http://www.pattersonspub.com/
Scottish,Flow | Restaurant & Lounge,"45040 Main St, Mendocino, CA 95460, USA",http://www.mendocinoflow.com/
Scottish,Cafe Beaujolais,"961 Ukiah St, Mendocino, CA 95460, USA",http://cafebeaujolais.com/
Scottish,Stanford Inn's Ravens Restaurant,"44850 Comptche Ukiah Rd, Mendocino, CA 95460, USA",https://stanfordinn.com/ravens-restaurant-mendocino-about-us/
