Cuisine Type,Name,Address,Website
Mexican,Neno's Gourmet Mexican Street Food,"642 Monroe Ave, Rochester, NY 14607, USA",https://nenosmexican.com/
Mexican,Adelita's Mexican Cocina & Tequila,"3349 Monroe Ave, Rochester, NY 14618, USA",https://www.adelitascocina.com/
Mexican,Aguilera's Authentic Mexican Food,"521 Monroe Ave, Rochester, NY 14607, USA",
Mexican,Mecate Mexican Restaurant,"1166 NY-31, Macedon, NY 14502, USA",http://www.mecatemexicanrestaurantny.com/
Mexican,Rancho Viejo Gates,"2336 Lyell Ave, Rochester, NY 14606, USA",https://ranchoviejo-gates.com/
Mexican,Mi Rancho Alegre,"300 Center Pl Dr, Rochester, NY 14615, USA",http://www.miranchoalegre.us/
Mexican,Moe's Southwest Grill,"3246 Monroe Ave, Rochester, NY 14618, USA",https://locations.moes.com/ny/rochester/3246-monroe-ave?utm_source=google&utm_medium=organic&utm_campaign=locations_partner
Mexican,Los Gallos Mexican Grill,"2700 W Ridge Rd, Rochester, NY 14626, USA",https://losgallosmexicangrill.com/
Mexican,Monte Alban,"2160 Penfield Rd, Penfield, NY 14526, USA",http://www.montealbangrill.com/
Mexican,Mecate Mexican Restaurant & Bar,"200 Park Point Dr, Henrietta, NY 14623, USA",http://mecatemexicanrestaurantny.com/
Mexican,Chipotle Mexican Grill,"3349 Monroe Ave, Rochester, NY 14618, USA",https://locations.chipotle.com/ny/rochester/3349-monroe-ave?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Corona's II Authentic Mexican Restaurant,"6515 Brockport Spencerport Rd Suite 19, Brockport, NY 14420, USA",http://coronasii.hrpos.heartland.us/
Mexican,Monte Alban,"845 East Ridge Road, Rochester, NY 14621, USA",http://www.montealbangrill.com/
Mexican,Chipotle Mexican Grill,"2735 Monroe Ave, Rochester, NY 14618, USA",https://locations.chipotle.com/ny/rochester/2735-monroe-ave?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Monte Alban,"2245 Empire Blvd, Webster, NY 14580, USA",http://www.montealbangrill.com/
Mexican,La Casa Restaurant,"93 Alexander St, Rochester, NY 14620, USA",https://www.rochesterlacasa.com/
Mexican,Margarita's Mexican Cantina,"2525 W Ridge Rd, Rochester, NY 14626, USA",https://www.margaritasmexcantina.com/
Mexican,Pura Vida Ville,"2115 Buffalo RD Westmar plaza , Next UPS Store, Rochester, NY 14624, USA",
Mexican,Bitter Honey,"127 Railroad St #110, Rochester, NY 14609, USA",http://www.bitterhoneyroc.com/
Mexican,Mesquite Grill,"910 Elmgrove Rd, Rochester, NY 14624, USA",http://mesquitemexgrill.com/
Swedish,Swedish Inn,"12678 Lake Blvd, Lindstrom, MN 55045, USA",http://www.theswedishinn.com/
Italian,Benucci's,"3349 Monroe Ave, Rochester, NY 14618, USA",http://www.benuccis.com/
Italian,Rocco,"165 Monroe Ave, Rochester, NY 14607, USA",https://www.osteriarocco.com/
Italian,Bella Pasta Restaurant and Catering,"2500 Ridgeway Ave, Rochester, NY 14626, USA",http://bellapastagreece.com/
Italian,Pane Vino on the Avenue,"3400 Monroe Ave, Rochester, NY 14618, USA",http://www.panevinorochester.com/
Italian,Monroes Restaurant,"3001 Monroe Ave, Rochester, NY 14618, USA",http://www.monroes3001.com/
Italian,Lemoncello Italian Restaurant & Bar,"137 W Commercial St, East Rochester, NY 14445, USA",http://www.lemoncello137.com/
Italian,Bocaccini's Italian Bistro,"6720 Pittsford Palmyra Rd, Fairport, NY 14450, USA",http://www.bocaccinis.com/
Italian,Perlo's Restaurant,"202 N Washington St, East Rochester, NY 14445, USA",https://www.perlosrestaurant.com/
Italian,Grappa Italian Nouveau,"30 Celebration Dr, Rochester, NY 14620, USA",http://grapparoc.com/
Italian,Pane Vino On The River,"175 N Water St, Rochester, NY 14604, USA",https://panevinorochester.com/
Italian,The Pasta Villa,"1313 East Ridge Road, Rochester, NY 14621, USA",http://www.thepastavilla.com/
Italian,Olive Garden Italian Restaurant,"100 Paddy Creek Cir, Rochester, NY 14615, USA",https://www.olivegarden.com/locations/ny/rochester/rochester-greece-ny-paddy-creek-circle/1420?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:rochester-ny-1420_pl:locurl_rd:1312
Italian,Mangia Mangia,"2273 S Union St, Spencerport, NY 14559, USA",http://mangia-foods.com/
Italian,Carrabba's Italian Grill,"3340 W Henrietta Rd, Rochester, NY 14623, USA",https://locations.carrabbas.com/new-york/rochester/3340-west-henrietta-road?y_source=1_MTU1MDMxMTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Veneto Wood Fired Pizza & Pasta,"318 East Ave, Rochester, NY 14604, USA",http://www.venetorestaurant.com/
Italian,Piccolo Fazools Bistro,"73 Main St, Brockport, NY 14420, USA",http://www.pfbistro.com/
Italian,Agatina's Restaurant,"2967 Buffalo Rd, Rochester, NY 14624, USA",https://agatinas.com/?utm_source=Website&utm_medium=GMB
Italian,La Bella Vita,"2126 Empire Blvd, Webster, NY 14580, USA",http://labellavitabistro.com/
Italian,Davinci of Greece,"1558 W Ridge Rd, Rochester, NY 14615, USA",http://davincisrestaurant.com/
Italian,Amore Italian Restaurant & Lounge,"1750 East Ave, Rochester, NY 14610, USA",https://www.wegmansamore.com/
Spanish,Mi Tierra,"19480 US-2, Monroe, WA 98272, USA",http://restaurantmitierra.com/
American,Blue Ridge Grill,"3400 W Ridge Rd, Rochester, NY 14626, USA",http://www.theblueridgegrill.com/
American,Erie Grill,"41 N Main St, Pittsford, NY 14534, USA",http://www.eriegrill.com/
American,Monroes Restaurant,"3001 Monroe Ave, Rochester, NY 14618, USA",http://www.monroes3001.com/
American,Mark's Texas Hots,"487 Monroe Ave, Rochester, NY 14607, USA",https://www.facebook.com/markstxhots/
American,Cracker Barrel Old Country Store,"2075 Hylan Dr, Rochester, NY 14623, USA",https://www.crackerbarrel.com/Locations/States/ny/rochester/387/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl
American,Rooney's Restaurant,"90 Henrietta St, Rochester, NY 14620, USA",https://www.rooneysrestaurant.com/
American,TRATA: The Restaurant At The Armory,"145 Culver Rd, Rochester, NY 14620, USA",http://www.tratarochester.com/
American,Fairport Hots,"1226 Fairport Rd, Fairport, NY 14450, USA",http://fairporthots.com/
American,Redd,"24 Winthrop St, Rochester, NY 14607, USA",http://www.reddrochester.com/
American,black & blue,"3349 Monroe Ave, Rochester, NY 14618, USA",https://blackandbluesteakandcrab.com/rochester/
American,Good Luck,"50 Anderson Ave, Rochester, NY 14607, USA",http://www.restaurantgoodluck.com/
American,Spencerport Hots,"500 S Union St, Spencerport, NY 14559, USA",http://www.spencerporthots.com/
American,The Retreat,"512 Long Pond Rd, Rochester, NY 14612, USA",http://www.theretreatgreece.com/
American,CRISP Rochester,"819 S Clinton Ave, Rochester, NY 14620, USA",https://crisprochester.com/
American,AVVINO,"2541 Monroe Ave, Rochester, NY 14618, USA",https://www.avvinorochester.com/
American,Char Broil Family Restaurant,"2450 Monroe Ave, Rochester, NY 14618, USA",http://www.charbroilrestaurant.com/
American,Hose 22 Firehouse Grill,"56 Stutson St, Rochester, NY 14612, USA",http://www.hose22.com/
American,Dogtown,"691 Monroe Ave, Rochester, NY 14607, USA",http://www.dogtownhots.com/
American,Silk O'Loughlins,"5980 St Paul Blvd, Rochester, NY 14617, USA",http://www.silkoloughlins.com/
American,Jim’s At The Mall,"Mall, 362 Greece Ridge Center Dr, Rochester, NY 14626, USA",http://www.jimsatthemall.com/
British,The Old Toad,"277 Alexander St, Rochester, NY 14607, USA",http://www.theoldtoad.com/
Thai,Thai On Main Street,"115 W Main St, Monroe, WA 98272, USA",https://thaionmainstreet.com/
Thai,Benjarong Thai Restaurant,"whitfield building, 19480 US-2 D1, Monroe, WA 98272, USA",https://benjarongmonroe.com/
Thai,Thai and Taps Restaurant Snohomish,"115 Ave A, Snohomish, WA 98290, USA",http://www.thaiandtapssnohomish.com/
Thai,ThaiYada Restaurant,"315 Alexander St, Rochester, NY 14604, USA",https://www.thaiyadarestaurant.com/
Thai,The KING AND I Cuisine of Thailand,"1455 E Henrietta Rd, Rochester, NY 14623, USA",http://www.thekingandithaicuisine.com/
Thai,Patsara Thai,"528 Carnarvon St, New Westminster, BC V3L 1C4, Canada",https://www.patsara.ca/
Thai,Siri Thai Cuisine,"315 S Telegraph Rd, Monroe, MI 48161, USA",http://www.sirithaicuisinemonroe.com/
Thai,Lakewood Thai Cuisine,"17020 Twin Lakes Ave, Marysville, WA 98271, USA",http://www.lakewoodthai.com/
Thai,Khong Thai Cuisine,"260 Winton Rd N, Rochester, NY 14610, USA",http://www.khongthaicuisine.com/
Thai,Saks Thai Cuisine Inc,"7374 Pittsford Palmyra Rd, Fairport, NY 14450, USA",http://www.saksthaicuisine.com/
Thai,Pattaya Thai Restaurant,"1843 Penfield Rd, Penfield, NY 14526, USA",http://pattayathairochesterny.com/
Japanese,Tokyo Teriyaki & Wok,"14650 N Kelsey St, Monroe, WA 98272, USA",http://tokyoteriyakimonroe.menu11.com/
Japanese,Plum Garden Japanese Restaurant,"3349 Monroe Ave, Rochester, NY 14618, USA",https://www.plumgarden.com/
Japanese,Tokyo Japanese Restaurant,"1000 Hylan Dr, Rochester, NY 14623, USA",https://www.tokyojapaneserestaurantny.com/
Japanese,Sakura Home,"2775 Monroe Ave, Rochester, NY 14618, USA",https://sakurahometogo.com/
Japanese,Plum House,"686 Monroe Ave, Rochester, NY 14607, USA",https://www.plumhouse686.com/
Japanese,Fish Face,"400 Bakers Park, Rochester, NY 14617, USA",https://www.isquaresushi.com/
Japanese,Umai Revolving Sushi,"2833 Monroe Ave, Rochester, NY 14618, USA",https://umairoc.com/
Japanese,Taisho Bistro Japanese Izakaya Rochester,"100 Marketplace Dr Suite 350, Henrietta, NY 14623, USA",http://www.taisho-bistro.com/
Japanese,Taste Of Japan,"3047 W Henrietta Rd, Rochester, NY 14623, USA",
Japanese,Youkoso Sushi,"1455 E Henrietta Rd Suite A, Rochester, NY 14623, USA",http://www.youkososushi.com/
Japanese,Shiki,"1054 S Clinton Ave, Rochester, NY 14620, USA",https://www.shikirestaurantrochester.com/
Japanese,Kobe Japanese Steakhouse & Sushi Bar,"2496 W Ridge Rd, Rochester, NY 14626, USA",http://www.kobesushisteak.com/
Japanese,Sushi585,"381 Gregory St, Rochester, NY 14620, USA",https://sushi585.com/
Japanese,Sogo Sushi & Hibachi,"326 Greece Ridge Center Dr, Rochester, NY 14626, USA",https://greece.sogoroc.com/
Japanese,Tokyo Restaurant,"1946 W Spring St, Monroe, GA 30655, USA",https://www.tokyomonroega.com/
Japanese,Taka House Restaurant,"809 Ridge Rd, Webster, NY 14580, USA",http://www.takahouse.com/
Japanese,Plum House Japanese Restaurant,"12 Lake St, Monroe, NY 10950, USA",http://www.nyplumhouse.com/
Japanese,Osaka sushi,"3685 W Henrietta Rd, Rochester, NY 14623, USA",http://www.osakasushirochester.com/
Japanese,Maru Izakaya,"274 N Goodman St, Rochester, NY 14607, USA",http://www.marusushiramenbar.com/
Japanese,Sakura Garden,"6720 Pittsford Palmyra Rd, Fairport, NY 14450, USA",http://www.sakuragardenfairportny.com/
Chinese,Chen Garden,"1750 Monroe Ave #1843, Rochester, NY 14618, USA",
Chinese,New Ming,"1132 Monroe Ave, Rochester, NY 14620, USA",https://www.newmingny.com/
Chinese,Red Sun Chinese Cuisine,"Behind Sakura Home, 2775 Monroe Ave, Rochester, NY 14618, USA",https://redsunchinesetogo.com/
Chinese,Han Noodle Bar,"600 Monroe Ave, Rochester, NY 14607, USA",http://hannoodlebar.com/
Chinese,New Yu House Chinese Restaurant,"1100 Long Pond Rd Suite 105, Rochester, NY 14626, USA",https://www.newyuhousechineserestaurant.com/?utm_source=gmb&utm_medium=website
Chinese,Tsingtao House,"2831 W Henrietta Rd, Rochester, NY 14623, USA",https://www.tsingtaohouseny.com/
Chinese,New Greece China,"2538 Ridgeway Ave, Rochester, NY 14626, USA",https://www.beyondmenu.com/31357/rochester/new-greece-china-rochester-14626.aspx
Chinese,New China,"3118 E Henrietta Rd #9701, Henrietta, NY 14467, USA",http://www.newchinahenrietta.com/?utm_source=gmb&utm_medium=website
Chinese,Bamboo House Restaurant,"2185 Monroe Ave, Rochester, NY 14618, USA",http://www.bamboohouseny.com/menu
Chinese,New East Star,"115 Pattonwood Dr #1409, Rochester, NY 14617, USA",http://www.neweaststarny.com/
