Cuisine Type,Name,Address,Website
Mexican,El Torito,"600 Cannery Row, Monterey, CA 93940, USA",https://www.eltorito.com/
Mexican,El Cantaro,"791 Foam St, Monterey, CA 93940, USA",https://www.orderelcantaro.com/
Mexican,Mando's Restaurant,"570 Lighthouse Ave, Monterey, CA 93940, USA",https://mandosrestaurant.com/
Mexican,La Bahia Mexican Restaurant,"675 Lighthouse Ave, Monterey, CA 93940, USA",https://la-bahia-mexican-restaurant.club/
Mexican,Taqueria Del Mar,"530 Lighthouse Ave, Monterey, CA 93940, USA",
Mexican,Peppers Mexicali Cafe,"170 Forest Ave, Pacific Grove, CA 93950, USA",http://www.pepperspg.com/
Mexican,Baja Cantina & Grill,"7166 Carmel Valley Rd, Carmel-By-The-Sea, CA 93923, USA",http://www.carmelcantina.com/
Mexican,La Tortuga,"1257 Fremont Blvd, Seaside, CA 93955, USA",https://www.latortugaseaside.com/
Mexican,alejandro's,"474 Alvarado St, Monterey, CA 93940, USA",http://alejandros.co/
Mexican,Dos Victorias Mexican Food,"299 Cannery Row #B, Monterey, CA 93940, USA",https://dosvictorias.com/
Mexican,Mission 19 Taqueria,"598 Lighthouse Ave, Monterey, CA 93940, USA",https://mission19taqueriaca.netlify.app/
Mexican,Sarita's Mexican Grill Restaurant,"21 Soledad Dr, Monterey, CA 93940, USA",https://saritasmexicangrill.com/locations/monterey/
Mexican,Los Amigos Restaurante,"1184 Forest Ave H, Pacific Grove, CA 93950, USA",
Mexican,El Charrito Express,"483 Calle Principal, Monterey, CA 93940, USA",http://www.elcharrito.com/
Mexican,La Casa del Sazón 3,"431 Tyler St, Monterey, CA 93940, USA",https://www.lacasadelsazon.com/
Mexican,Lalla Grill Del Monte,"1400 Del Monte Center, Monterey, CA 93940, USA",http://www.lallagrill.com/
Mexican,El Chilacatazo,"337 Monterey St, Salinas, CA 93901, USA",
Mexican,Hay’s Place,"3253 Stevenson Dr, Pebble Beach, CA 93953, USA",https://www.pebblebeach.com/dining/hays-place/
Mexican,Lopez Taqueria & Liquor,"500 Del Monte Ave, Monterey, CA 93940, USA",http://www.lopezfinewinesliqour.com/
Mexican,Papa Chano's,"462 Alvarado St, Monterey, CA 93940, USA",http://www.papachanostaqueria.com/
Swedish,First Awakenings,"300 David Ave, Monterey, CA 93940, USA",http://firstawakenings.net/
Swedish,German Restaurant Stammtisch,"1204 Echo Ave, Seaside, CA 93955, USA",http://www.stammtisch-seaside.com/
Swedish,Grandma’s Kitchen,"2310 N Fremont St, Monterey, CA 93940, USA",
Swedish,Rosine's Restaurant,"434 Alvarado St, Monterey, CA 93940, USA",http://www.rosinesmonterey.com/
Swedish,Stokes Adobe Restaurant,"500 Hartnell St, Monterey, CA 93940, USA",http://stokesadobe.com/
Swedish,Schooners Monterey,"400 Cannery Row, Monterey, CA 93940, USA",https://schoonersmonterey.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing
Swedish,Café Fina,"47 Fishermans Wharf #1, Monterey, CA 93940, USA",https://www.cafefina.com/
Swedish,Googie Grill,"1520 Del Monte Blvd, Seaside, CA 93955, USA",http://googiegrill.com/
Swedish,Woody’s At The Airport,"200 Fred Kane Dr #201, Monterey, CA 93940, USA",https://woodysmontereyairport.com/
Swedish,"Estéban Restaurant, Local's Favorite, Open for Weekend Brunch & Dinner, NOW Patio Dining!","700 Munras Ave, Monterey, CA 93940, USA",http://estebanrestaurant.com/
Swedish,Fin + Field Restaurant and Bar,"350 Calle Principal, Monterey, CA 93940, USA",https://www.marriott.com/hotel-restaurants/mryca-monterey-marriott/fin-+-field-restaurant-and-bar/5897870/home-page.mi/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_OTU4MDY1Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ==
Swedish,Mission Ranch Restaurant,"26270 Dolores St, Carmel-By-The-Sea, CA 93923, USA",http://www.missionranchcarmel.com/restaurant.html
Swedish,Village Gem Restaurant,"Mission Street At 5th Ave Just North of, 5th Ave, Carmel-By-The-Sea, CA 93921, USA",
Swedish,Louie Linguini's,"660 Cannery Row, Monterey, CA 93940, USA",https://www.louielinguinis.com/
Swedish,The Sardine Factory,"701 Wave St, Monterey, CA 93940, USA",http://www.sardinefactory.com/
Swedish,Wave Street Cafe,"550 Wave St, Monterey, CA 93940, USA",http://wavestreetcafe.com/
Swedish,Kona Steak and Seafood,"1200 Del Monte Center, Monterey, CA 93940, USA",https://www.konamonterey.com/
Swedish,Bistro Moulin,"867 Wave St, Monterey, CA 93940, USA",http://www.bistromoulin.com/
Swedish,Tarpy's Roadhouse,"2999 Monterey Salinas Hwy, Monterey, CA 93940, USA",http://www.tarpys.com/
Swedish,Abalonetti Bar and Grill,"57 Fishermans Wharf, Monterey, CA 93940, USA",https://abalonetti.com/
Latvian,Paprika Cafe,"309 Lighthouse Ave A, Monterey, CA 93940, USA",http://www.paprikacafe-monterey.com/
Latvian,Rosine's Restaurant,"434 Alvarado St, Monterey, CA 93940, USA",http://www.rosinesmonterey.com/
Latvian,EPSILON,"422 Tyler St, Monterey, CA 93940, USA",http://epsilonrestaurant.com/
Latvian,Cella Restaurant & Bar,"525 Polk St, Monterey, CA 93940, USA",http://cellarestaurant.com/
Latvian,Jacks Monterey,"Two Portola Plaza, Monterey, CA 93940, USA",https://www.portolahotel.com/dining/jacks-monterey?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing
Latvian,Bistro Moulin,"867 Wave St, Monterey, CA 93940, USA",http://www.bistromoulin.com/
Latvian,Dametra Fresh Mediterranean,"630 Del Monte Center, Monterey, CA 93940, USA",https://dametra.com/
Latvian,Paluca Trattoria,"6 Fishermans Wharf Suite D, Monterey, CA 93940, USA",http://palucatrattoria.com/
Latvian,Stokes Adobe Restaurant,"500 Hartnell St, Monterey, CA 93940, USA",http://stokesadobe.com/
Latvian,"Estéban Restaurant, Local's Favorite, Open for Weekend Brunch & Dinner, NOW Patio Dining!","700 Munras Ave, Monterey, CA 93940, USA",http://estebanrestaurant.com/
Latvian,Louie Linguini's,"660 Cannery Row, Monterey, CA 93940, USA",https://www.louielinguinis.com/
Latvian,Taste Cafe & Bistro,"1199 Forest Ave Unit 5, Pacific Grove, CA 93950, USA",http://www.tastecafebistro.com/
Latvian,Lalla Grill Oceanside,"654 Cannery Row, Monterey, CA 93940, USA",https://www.lallagrill.com/location/oceanside/
Latvian,The Sardine Factory,"701 Wave St, Monterey, CA 93940, USA",http://www.sardinefactory.com/
Latvian,Coastal Kitchen,"400 Cannery Row, Monterey, CA 93940, USA",https://www.coastalkitchenmonterey.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing
Latvian,Montrio,"414 Calle Principal, Monterey, CA 93940, USA",https://www.montrio.com/
Italian,Paluca Trattoria,"6 Fishermans Wharf Suite D, Monterey, CA 93940, USA",http://palucatrattoria.com/
Italian,Louie Linguini's,"660 Cannery Row, Monterey, CA 93940, USA",https://www.louielinguinis.com/
Italian,Rosine's Restaurant,"434 Alvarado St, Monterey, CA 93940, USA",http://www.rosinesmonterey.com/
Italian,Café Fina,"47 Fishermans Wharf #1, Monterey, CA 93940, USA",https://www.cafefina.com/
Italian,Domenico's on the Wharf,"50 Fishermans Wharf Pier 1, Monterey, CA 93940, USA",http://www.domenicosmonterey.com/
Italian,Osteria Al Mare,"32 Cannery Row STE G, Monterey, CA 93940, USA",http://www.osteriaalmare.com/
Italian,Il Fornaio Carmel,"Ocean Avenue at, Monte Verde St, Carmel-By-The-Sea, CA 93921, USA",https://www.ilfornaio.com/location/il-fornaio-carmel/
Italian,Abalonetti Bar and Grill,"57 Fishermans Wharf, Monterey, CA 93940, USA",https://abalonetti.com/
Italian,Cibo,"301 Alvarado St, Monterey, CA 93940, USA",http://www.cibo.com/
Italian,International Cuisine,"620 Lighthouse Ave # 220, Pacific Grove, CA 93950, USA",https://bestinternationalcuisine.com/
Italian,Enzo,"6315 San Carlos St, Carmel-By-The-Sea, CA 93921, USA",http://www.enzocarmel.com/
Italian,Mezzaluna Pasteria & Mozzarella Bar,"Mezzaluna Pasteria & Mozzarella Bar, 1188 Forest Ave, Pacific Grove, CA 93950, USA",https://www.mezzalunapasteria.com/
Italian,il vecchio,"110 Central Ave, Pacific Grove, CA 93950, USA",https://www.ilvecchiorestaurant.com/
Italian,Portabella,"Ocean Ave, Carmel-By-The-Sea, CA 93921, USA",https://www.portabellacarmel.com/
Italian,La Mia Cucina,"208 17th St, Pacific Grove, CA 93950, USA",http://lamiacucinaristorante.com/
Italian,Gusto Handcrafted Pasta & Pizza,"1901 Fremont Blvd, Seaside, CA 93955, USA",https://www.gusto1901.com/
Italian,Gianni's Pizza,"725 Lighthouse Ave, Monterey, CA 93940, USA",http://giannispizzamonterey.com/
Italian,Aliotti's Victorian Corner Restaurant,"541 Lighthouse Ave, Pacific Grove, CA 93950, USA",http://www.victoriancornerpg.com/
Italian,La Bicyclette Restaurant,"Dolores St &, 7th Ave, Carmel-By-The-Sea, CA 93921, USA",http://www.labicycletterestaurant.com/
Italian,Little Napoli,"Dolores St, Carmel-By-The-Sea, CA 93921, USA",http://chefpepe.com/restaurants/little-napoli/
