Cuisine Type,Name,Address,Website
Mexican,La Mariposa Mexican Restaurant,"202 NE 2nd St SUITE 10, Okeechobee, FL 34972, USA",https://www.facebook.com/La-Mariposa-Mexican-Restaurant-102105437896443/
Mexican,Pueblo Viejo,"3415 US-441, Okeechobee, FL 34974, USA",http://www.puebloviejofl.com/
Mexican,Rio Bravo Mexican Restaurant,"151 NW 36th St, Okeechobee, FL 34972, USA",
Mexican,Santa Fe,"207 SW 5th Ave, Okeechobee, FL 34974, USA",
Mexican,Fiesta,"3691 US-441, Okeechobee, FL 34972, USA",
Mexican,La Esperanza Tacos,"1416 FL-70, Okeechobee, FL 34974, USA",https://www.facebook.com/laesperaza.jimenezort
Mexican,Tacos y Amigos,"1661 FL-70, Okeechobee, FL 34972, USA",
Mexican,Los Cocos Mexican Restaurant,"107 NW 6th Ave, Okeechobee, FL 34972, USA",http://eatloscocos.com/
Mexican,ElPrimo,"675 NE Park St, Okeechobee, FL 34972, USA",
Mexican,La Cabaña Taqueria Restaurant,"1100 S, 1100 S Parrott Ave, Okeechobee, FL 34974, USA",http://lacabanataqueria.com/
Mexican,Taco Bell,"501 NE Park St, Okeechobee, FL 34972, USA",https://locations.tacobell.com/fl/okeechobee/501-ne-park-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=032337&utm_content=website&y_source=1_NjE0MzIzNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Taqueria Yanez llc,"310 US-98, Okeechobee, FL 34972, USA",
Mexican,Taqueria Victoria,"2054 FL-70, Okeechobee, FL 34974, USA",
Mexican,La Queretana Supermarket,"625 NE Park St, Okeechobee, FL 34972, USA",
Mexican,Taquería Sahuayo,"1600 FL-70, Okeechobee, FL 34974, USA",
Mexican,Mom' Kitchen,"Okeechobee, FL 34974, USA",
Mexican,Gladys' Restaurant,"511 SW Park St, Okeechobee, FL 34972, USA",
Swedish,Ding A Ling Deli,"2107 SE, US-441, Okeechobee, FL 34974, USA",
Swedish,Lightsey’s Seafood Restaurant & Fish Co.,"1506 S Parrott Ave, Okeechobee, FL 34974, USA",
Swedish,Landing Strip Cafe,"2800 NW 20th Trail, Okeechobee, FL 34972, USA",https://cafethelandingstrip.com/
Swedish,Mable’s Place Southern Cooking,"204 NE 7th Ave, Okeechobee, FL 34972, USA",https://www.facebook.com/MablesPlaceSouthernCooking
Swedish,Omino,"307 N Parrott Ave, Okeechobee, FL 34972, USA",https://www.ominojapanese.com/
Swedish,Parrott Island,"1001 S Parrott Ave, Okeechobee, FL 34974, USA",
Swedish,Speckled Perch Steakhouse,"105 US-98, Okeechobee, FL 34972, USA",https://www.facebook.com/Speckled-Perch-Steakhouse-120924891932869/
Swedish,Lakeside Grill,"1111 S Parrott Ave, Okeechobee, FL 34974, USA",https://lakesidegrillokeechobee.com/
Swedish,Nutmegs Cafe,"515 SW Park St, Okeechobee, FL 34972, USA",http://www.nutmegscafe.net/
