Cuisine Type,Name,Address,Website
Mexican,Torero's Mexican Cuisine,"911 Village Blvd #801, West Palm Beach, FL 33409, USA",https://www.torerosmexicancuisine.com/
Mexican,El Mariachi Mexican Restaurant WPB,"1937 N Military Trl suite f, West Palm Beach, FL 33409, USA",http://elmariachimexicanrestaurantwpb.com/
Mexican,Amigos Mexican Spanish Restaurant,"4720 Okeechobee Blvd, West Palm Beach, FL 33417, USA",http://amigosmexspanish.com/
Mexican,Los Agaves,"1179 Royal Palm Beach Blvd, Royal Palm Beach, FL 33411, USA",https://losagavesmexicancuisine.com/
Mexican,La Bamba Mexican & Spanish Restaurant,"730 US-1, North Palm Beach, FL 33408, USA",http://www.labamba123.com/
Mexican,Avocado Cantina,"11701 Lake Victoria Gardens Ave, Palm Beach Gardens, FL 33410, USA",http://www.avocadocantina.com/
Mexican,La Placita Mexican Food,"3231 S Dixie Hwy, West Palm Beach, FL 33405, USA",
Mexican,Montezuma Mexican Restaurant,"5607 S Dixie Hwy, West Palm Beach, FL 33405, USA",
Mexican,Rocco's Tacos & Tequila Bar,"5090 PGA Boulevard, Palm Beach Gardens, FL 33418, USA",https://www.roccostacos.com/?utm_source=google&utm_medium=organic&utm_campaign=google-business-profile&utm_content=main-link-palm-beach-gardens
Mexican,Chelas Mexican Food & Bar,"11150 Okeechobee Blvd St H, Royal Palm Beach, FL 33411, USA",https://www.chelasmxfood.com/
Mexican,Guakamole's,"1281 Plaza Cir, West Palm Beach, FL 33404, USA",
Mexican,Guadalajara Restaurant,"905 Federal Hwy, Lake Park, FL 33403, USA",http://guadalajararest.com/
Mexican,Tacos Al Carbon Bar & Grill,"2161 Palm Beach Lakes Blvd, West Palm Beach, FL 33409, USA",https://www.tacosalcarbonpalmbeach.com/
Mexican,Anita's Mexican Grill,"2118 Okeechobee Blvd, West Palm Beach, FL 33409, USA",http://www.anitasmexicangrill.com/
Mexican,El Paso Taco Restaurant,"108 N Military Trl, West Palm Beach, FL 33415, USA",https://elpasotacorestaurant.net/
Mexican,Taqueria Guerrero,"628 Belvedere Rd, West Palm Beach, FL 33405, USA",http://lataqueriaguerrero.com/menu/
Mexican,La Fogata,"924 Northlake Blvd, North Palm Beach, FL 33408, USA",https://lafogatamenu.com/
Mexican,Rivales Taqueria & Craft Bar,"106 N Olive Ave, West Palm Beach, FL 33401, USA",http://rivalestaqueria.com/
