Cuisine Type,Name,Address,Website
Mexican,Salon Mexico,"500b Main St, Fairplay, CO 80440, USA",
Mexican,Casa Sanchez,"706 Main St, Fairplay, CO 80440, USA",https://www.casasanchez-mexicanrestaurant.com/locations
Mexican,Los 3 Garcias,"25567 Conifer Rd, Conifer, CO 80433, USA",https://www.los3garciasrestaurants.com/
Mexican,3 Victoria Conifer,"10903 US Hwy 285 E204, Conifer, CO 80433, USA",http://3victoriasconifer.com/
Mexican,Mi Casa Mexican Restaurant and Cantina,"600 South Park Avenue, Breckenridge, CO 80424, USA",http://www.micasabreck.com/
Mexican,Casa Tequilas,"1204 Bergen Pkwy, Evergreen, CO 80439, USA",http://casatequilasrestaurant.com/
Mexican,Fiesta Jalisco,"Reliance Place Shopping Center, 224 S Main St, Breckenridge, CO 80424, USA",https://www.breckenridge.fiestajaliscoco.com/
Mexican,Salado,"456 Front St Suite B, Fairplay, CO 80440, USA",http://saladorestaurant.com/
Mexican,Coa Cantina,"1900 Airport Rd # A4, Breckenridge, CO 80424, USA",http://www.coacantinabreck.com/
Mexican,Oaxacan bites,"327 N Main St, Breckenridge, CO 80424, USA",
Mexican,Tu Casa Mexican Restaurant,"11757 W Ken Caryl Ave A, Littleton, CO 80127, USA",http://tucasamexican.com/
Mexican,Quandary Tequila Bistro,"505 S Main St C1, Breckenridge, CO 80424, USA",https://quandarytequilabistro.com/?utm_source=Google%20My%20Business&utm_medium=organic
Mexican,Sancho Tacos & Tequilas,"520 S Main St, Breckenridge, CO 80424, USA",http://www.sanchotaco.com/
Mexican,Las Fuentes Restaurant,"13161 W Alameda Pkwy, Lakewood, CO 80228, USA",
Mexican,Rita's • Agave Y Tacos,"301 S Main St, Breckenridge, CO 80424, USA",http://ritasbreck.com/
Mexican,Fuego Azteca Mexican Restaurant & Cantina,"5 County Rd 72, Fraser, CO 80442, USA",https://fuegoaztecas.com/
Mexican,Casa Grande Mexican Restaurant,"220 E Elkhorn Ave, Estes Park, CO 80517, USA",http://www.casagrandemexicanaofep.com/
Mexican,Las Potrancas Mexican Restaurant Arvada,"11651 W 64th Ave, Arvada, CO 80004, USA",https://www.laspotrancasmexicanrestaurant.com/arvada/index.html
Mexican,Hacienda Colorado,"10500 Bierstadt Way, Lone Tree, CO 80112, USA",https://haciendacolorado.com/locations/lone-tree/
