Cuisine Type,Name,Address,Website
Mexican,Casa Grande Mexican Restaurant Co,"210 S Byron Butler Pkwy, Perry, FL 32347, USA",https://www.facebook.com/pages/category/Tex-Mex-Restaurant/Casa-Grande-Mexican-Restaurant-503607366483181/
Mexican,Casa De Oro,"1211 2nd St, Perry, IA 50220, USA",https://casadeoroperry.com/
Mexican,"Old Mexico, mexican restaurant ,","2241 S Byron Butler Pkwy, Perry, FL 32348, USA",https://m.facebook.com/Old-Mexico-129766210435518/
Mexican,Mariachi Mexican Grill,"2714 Fir St, Perry, OK 73077, USA",
Mexican,Jalisco Mexican Restaurant,"273 Perry Pkwy A, Perry, GA 31069, USA",
Mexican,Mex to U,"1114 1st Ave, Perry, IA 50220, USA",
Mexican,Jalisco Grill,"1023 St Patricks Dr, Perry, GA 31069, USA",https://jaliscogrillperry.com/
Mexican,Tania's Mexican Restaurant,"2180 Carlisle Rd, Aspers, PA 17304, USA",http://ordertaniasmexicanrestaurant.com/
Mexican,Mojo Taco,"Cove Mountain Farmer's Market, 1600 State Rd, Duncannon, PA 17020, USA",
Mexican,Agave Azul Mexican Grill,"308 Perry Plaza, Perryville, MO 63775, USA",https://agaveazulmex.com/
Mexican,El Mariachi Mexican Restaurant,"18 Ship Shopping Center, Shippensburg, PA 17257, USA",https://www.elmariachishippensburg.com/
Mexican,Hidalgo’s Mexican Restaurant,"215 W Main St, Perryville, AR 72126, USA",
Mexican,Mi Rancho Mexican Grill & Pizzeria,"223 1 E 2nd St, Perryville, KY 40468, USA",
Mexican,Casa Mariachi,"5206 Simpson Ferry Rd, Mechanicsburg, PA 17055, USA",
Mexican,El Salto Mexican Restaurant,"4335 Ebenezer Rd, Nottingham, MD 21236, USA",http://elsaltomexicanrestaurant.com/
Mexican,El Paso Mexican Restaurant,"603 Perry Pkwy, Gaithersburg, MD 20877, USA",http://www.taqueriaelpaso.com/
Mexican,El Sol Cantina,"3721 Market St, Camp Hill, PA 17011, USA",http://www.elsolcantina.com/
Mexican,El Rodeo,"4956 Carlisle Pike, Mechanicsburg, PA 17050, USA",https://www.elrodeopa.com/
