Cuisine Type,Name,Address,Website
Mexican,El Rio Lindo,"641 Oakland Ave, Helena, AR 72342, USA",https://www.facebook.com/ElRio641Oak/
Mexican,PaTio Mexican Restaurant,"1012 US 49, West Helena, AR 72390, USA",
Mexican,Pasquales Tamales,"1005 Highway #49 West, West Helena, AR 72390, USA",http://www.sucktheshuck.com/
Mexican,Ameca Mexican Restaurant,"362 W Chestnut St, Marianna, AR 72360, USA",
Mexican,El Jovenaso 3 Mexican Restaurant,"138 S Lake Ave, Phillips, WI 54555, USA",https://eljovenaso3wi.com/
Mexican,Guadalajara,"937 Commerce Plaza, Clarksdale, MS 38614, USA",
Mexican,El Amigo Feliz,"1304 E Mammoth Rd, Hazen, AR 72064, USA",
Mexican,Southland Road Store and Diner,"23 Phillips Rd 230, Lexa, AR 72355, USA",
Mexican,Atzimba Mexican Restaurant,"706 S State St, Clarksdale, MS 38614, USA",
Mexican,Downtown Bar & Grill,"520B Walnut St, Helena, AR 72342, USA",
Mexican,Taco Bell,"761 N Sebastian, West Helena, AR 72390, USA",https://locations.tacobell.com/ar/west-helena/761-north-sebastian-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=032034&utm_content=website&y_source=1_NjE0MjIyNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,El Acapulco,"2800 N State Hwy 7, Hot Springs, AR 71909, USA",https://www.facebook.com/El.acapulco.hsv/
Mexican,Cypress Corner Bar-B-Q,"8298 AR-1, Marianna, AR 72360, USA",
Mexican,La Casa Del Sol,"1967 Old Hwy 7 S, Dardanelle, AR 72834, USA",
Mexican,EL BARRIO MEXICAN RESTAURANT,"45 Camp St, Dover, AR 72837, USA",
Mexican,El Palenque Mexican Cuisine,"412 US-62, Ash Flat, AR 72513, USA",https://usmapz.me/el-palenque-mexican-cuisine-303404-us
Mexican,El Parralito,"327 US-70 E, Glenwood, AR 71943, USA",
Mexican,La Mesa,"1314 E Walnut St, Paris, AR 72855, USA",https://www.facebook.com/profile.php?id=100087273219301&mibextid=ZbWKwL
Mexican,Señor José Grill,"1490 US-67, Pocahontas, AR 72455, USA",https://www.facebook.com/senorjosegrill
Mexican,Rolando's,"210 Central Ave, Hot Springs National Park, AR 71901, USA",https://rolandosrestaurant.com/
Swedish,Ingrid's Scandinavian Food,"209 7th St, Oregon City, OR 97045, USA",http://ingridsscandinavianfood.com/
Italian,Roma Italian Restaurant,"2126 N 1st St, Jacksonville, AR 72076, USA",
Italian,Tavolo Italian Ristorante,"3000 Jennings Ln, Batesville, AR 72501, USA",https://www.tavoloisthebest.com/
Italian,Verona Italian Restaurant,"190 Skyline Dr, Conway, AR 72032, USA",http://veronasitalianrestaurantconway.com/?y_source=1_MTI2NTk3OTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Olive Garden Italian Restaurant,"554 Museum Rd, Conway, AR 72032, USA",https://www.olivegarden.com/locations/ar/conway/conway-museum-rd/6497?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:conway-ar-6497_pl:locurl_rd:1912
Italian,Pasta J,"1314 Green, Benton, AR 72015, USA",http://www.pastajitalian.com/
Italian,La Piazza Italian Restaurant,"104 E Cedar St, El Dorado, AR 71730, USA",https://www.facebook.com/LaPiazzaRistoranteItaliano/#
Italian,J&S Italian Villa,"4332 Central Ave B, Hot Springs, AR 71913, USA",https://jandsitalian.com/
Italian,Italian Bistro of Magnolia,"426 E Main St, Magnolia, AR 71753, USA",
Italian,Olive Garden Italian Restaurant,"16732 I-30, Benton, AR 72019, USA",https://www.olivegarden.com/locations/ar/benton/benton/6471?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:benton-ar-6471_pl:locurl_rd:1888
Italian,Subway,"770 N Sebastian, West Helena, AR 72390, USA",https://restaurants.subway.com/united-states/ar/west-helena/770-n-sebastion-st?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=13623&utm_campaign=evergreen-2020&y_source=1_MTQ5MDU2NjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
