Cuisine Type,Name,Address,Website
Mexican,Compadres Mexican Restaurant,"1106 E Main St, Pulaski, VA 24301, USA",https://www.facebook.com/people/Compadres-of-Pulaski/100063475513263/
Mexican,La Fuente Pulaski,"1653 W College St, Pulaski, TN 38478, USA",http://www.lafuenterestaurants.com/
Mexican,Los Magueyes,"203 S St Augustine St, Pulaski, WI 54162, USA",https://www.losmagueyesgb.com/
Mexican,El Mesquite Mexican Grill,"1674 W College St, Pulaski, TN 38478, USA",https://elmesquitemexicangrill.com/
Mexican,Senor Lopez Mexican Grill,"1030 W College St, Pulaski, TN 38478, USA",https://senorlopezpulaski.takeout7.com/
Mexican,los hermanos mexican grill #5,"701 N 1st St, Pulaski, TN 38478, USA",
Mexican,La Familia Mexican Restaurant,"1018 Missouri Ave, St Robert, MO 65584, USA",https://lafamiliamexicanrestaurantmomo.com/
Mexican,El Jimador Mexican Restaurant,"220 Marshall Dr #6, St Robert, MO 65584, USA",https://order.online/business/el-jimador-mexican-restaurant-11354500
Mexican,Mi lindo Michoacan Mexican Food,"1747 Elkton Pike, Pulaski, TN 38478, USA",
Mexican,Taco Bell,"1991 Memorial Dr, Pulaski, VA 24301, USA",https://locations.tacobell.com/va/pulaski/1991-memorial-drive.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=G135929&utm_content=website&y_source=1_NjE0NTQ1Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Casa Cancun Mexican Steakhouse,"68 1st St NW, Pulaski, VA 24301, USA",http://ordercasacancunmexicansteakhouse.com/
Swedish,Swedish Inn,"12678 Lake Blvd, Lindstrom, MN 55045, USA",http://www.theswedishinn.com/
Italian,Gustos Italian Eatery & Pub,"110 W Pulaski St, Pulaski, WI 54162, USA",http://www.facebook.com/gustosinpulaski
Italian,Roma Italian & Greek restaurant,"914 E Main St, Pulaski, VA 24301, USA",https://romaitaliangreekrestaurant.com/
Italian,Tuscano Pizza,"313 N Washington Ave, Pulaski, VA 24301, USA",
Italian,Trattoria di Napoli Restaurant,"1222 Pulaski Hwy, Bear, DE 19701, USA",https://www.trattoriadinapolirestaurant.com/?utm_source=gbp
Italian,Stefano's Pulaski,"3852 NY-13, Pulaski, NY 13142, USA",http://www.stefanospizzeria.com/
Spanish,La Fuente Pulaski,"1653 W College St, Pulaski, TN 38478, USA",http://www.lafuenterestaurants.com/
American,The Lakeside Restaurant,"7116 State Rte 3, Pulaski, NY 13142, USA",http://www.lakesiderestaurantny.com/
British,Little Taste of Britain,"768 W 1425 N, Layton, UT 84041, USA",http://www.littletasteofbritain.net/
Thai,Patsara Thai,"528 Carnarvon St, New Westminster, BC V3L 1C4, Canada",https://www.patsara.ca/
Japanese,YAMATO JAPANESE STYLE,"818 W College St, Pulaski, TN 38478, USA",
Japanese,Ginza Asian Fusion,"1075 E Main St, Pulaski, VA 24301, USA",https://www.ginzaasianfusionva.com/
Chinese,Chang Hua Chinese Restaurant,"Memorial Square Shopping Center, 1040 Memorial Dr, Pulaski, VA 24301, USA",
Chinese,Golden Buffet,"929 W College St, Pulaski, TN 38478, USA",
Chinese,Dragon Garden,"4849 Jefferson St, Pulaski, NY 13142, USA",
Chinese,China Wok Chinese Restaurant,"1170 Mountain Bay Dr, Pulaski, WI 54162, USA",https://chinawokpulaski.wixsite.com/mysite
Chinese,China Wok,"1200 E Main St, Pulaski, VA 24301, USA",
Chinese,Szechuan Hot Wok,"1711 1725 Pulaski Hwy, Bear, DE 19701, USA",http://www.szechuanhotwokbear.com/
Chinese,China Kitchen,"1020 Pulaski Hwy, Havre De Grace, MD 21078, USA",
Chinese,Great Wall,"991 E Pulaski Hwy, Elkton, MD 21921, USA",http://greatwallelkton.com/
Chinese,Ginza Asian Fusion,"1075 E Main St, Pulaski, VA 24301, USA",https://www.ginzaasianfusionva.com/
Indian,Bawarchi Biryanis - Indian Cuisine - Little Rock,"11121 N Rodney Parham Rd STE 36B, Little Rock, AR 72212, USA",https://bawarchilittlerock.com/
Russian,Alyonka Russian Cuisine,"2870 W State St, Boise, ID 83702, USA",http://alyonkarussiancuisine.com/
Jewish,Royal Kosher Restaurant,"7002 Reisterstown Rd, Baltimore, MD 21215, USA",https://kosherroyal.com/
Polish,U Gazdy Polish Restaurant,"270 Irving Park Rd, Wood Dale, IL 60191, USA",http://u-gazdy.com/
German,The Hub German Restaurant & Lounge,"777 VFW Memorial Dr, St Robert, MO 65584, USA",https://the-hub-restaurant-german-lounge.business.site/
French,La Voûte Bistro,"2034 Ridge Rd, Homewood, IL 60430, USA",https://www.lavoutebistro.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing
Hawaiian,Local Boyz Hawaiian Cafe,"1425 NW Monroe Ave, Corvallis, OR 97330, USA",https://www.localboyzhawaiiancafe.com/
Brazilian,Rio Brazilian Steakhouse,"880 Main St # 170, Logan, UT 84321, USA",https://riobraziliansteakhouse.com/
Peruvian,Puro Peru Peruvian Grill,"8475 State St, Sandy, UT 84070, USA",https://www.facebook.com/puro.peru.37/
Salvadorian,Salvadorean Bakery and Restaurant Inc.,"1719 SW Roxbury St, Seattle, WA 98106, USA",http://www.thesalvadoreanbakery.com/
Cuban,El Cubanito Restaurant,"2555 N Pulaski Rd, Chicago, IL 60639, USA",
Tibetan,Tibetan Kitchen Cafe,"680 Broughton St, Victoria, BC V8W 2C1, Canada",https://tibetankitchencafe.com/
Egyptian,Al-Masri Egyptian Restaurant,"4031 Balboa St, San Francisco, CA 94121, USA",http://www.almasrisfca.com/
Greek,Roma Italian & Greek restaurant,"914 E Main St, Pulaski, VA 24301, USA",https://romaitaliangreekrestaurant.com/
Belgian,Taste of Belgium - The Banks,"16 West Freedom Way, Cincinnati, OH 45202, USA",https://authenticwaffle.com/
Irish,Magee’s Irish Pub & Eatery,"1610 SW Main St, Ankeny, IA 50023, USA",http://www.mageesirishpub.com/
Welsh,The Welsh House,"5 Croft Rd, Neath SA11 1RW, UK",https://www.thewelsh-house.co.uk/
Cajun,Lirette's cajun seafood,"1777 Columbia Hwy, Pulaski, TN 38478, USA",https://www.facebook.com/LirettesCajunSeafood/
Portuguese,Bacalhau Grill - Portuguese Restaurant & Market,"1555 Alum Rock Ave, San Jose, CA 95116, USA",https://www.bacalhaugrillsj.com/
Turkish,Istanbul Grill,"1 Chesmar Plaza, Newark, DE 19713, USA",https://istanbulgrillde.com/
