Cuisine Type,Name,Address,Website
Mexican,Puesto Santa Clara,"2752 Augustine Dr #110, Santa Clara, CA 95054, USA",https://www.eatpuesto.com/location/santa-clara/
Mexican,Pedro's Restaurant & Cantina,"3935 Freedom Cir, Santa Clara, CA 95054, USA",https://www.pedrosrestaurants.com/location/pedros-restaurants-santa-clara/
Mexican,La Veracruzana Restaurant,"1510 Jackson St, Santa Clara, CA 95050, USA",https://www.laveracruzanarestaurant.com/
Mexican,El Amigo Burrito,"4485 Stevens Creek Blvd, Santa Clara, CA 95051, USA",http://www.elamigoburrito.com/
Mexican,Lupita's Taqueria,"2341 El Camino Real, Santa Clara, CA 95050, USA",http://lupitastaqueria.com/
Mexican,Freedom Burrito,"5239 Stevens Creek Blvd, Santa Clara, CA 95051, USA",
Mexican,Cocina Doña Maria Santa Clara,"2215 Tasman Dr, Santa Clara, CA 95054, USA",
Mexican,Taqueria Cazadores,"3763 Lafayette St, Santa Clara, CA 95054, USA",https://smorefood.com/order-online/taqueria-cazadores-santa-clara-95054-5hmxiulg?utm_source=gmb&utm_medium=website
Mexican,Taqueria Vallarta,"2525 Scott Blvd, Santa Clara, CA 95050, USA",https://sctaqueriavallarta.wixsite.com/taqueriavallarta
Mexican,Iguanas Burritozilla,"4300 Great America Pkwy #116, Santa Clara, CA 95054, USA",http://burritozilla.com/
Mexican,Una Mas,"2376 El Camino Real, Santa Clara, CA 95050, USA",https://www.unamas.com/
Mexican,MAR Y SOL RESTAURANT,"1179 E Santa Clara St, San Jose, CA 95116, USA",https://marysolrestaurantca.com/
Mexican,Market Cocina,"2732 Augustine Dr Ste 1600, Santa Clara, CA 95054, USA",http://www.wholefoodsmarket.com/stores/santaclara?utm_source=google&utm_medium=organic&utm_campaign=listings
Mexican,Chipotle Mexican Grill,"2002 El Camino Real c, Santa Clara, CA 95050, USA",https://locations.chipotle.com/ca/santa-clara/2002-el-camino-real?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Las Cazuelas Restaurant,"55 Race St, San Jose, CA 95126, USA",http://lascazuelasrestaurants.com/
Mexican,"Adelita's Taquería, Restaurant & Bar","1896 Curtner Ave, San Jose, CA 95124, USA",https://adelitastaqueria.com/
Mexican,El Pollo Loco,"2505 El Camino Real, Santa Clara, CA 95051, USA",https://restaurants.elpolloloco.com/ca/santa-clara/2505-el-camino-real?utm_source=gmb&utm_medium=yext
Mexican,Olla Cocina,"17 N San Pedro St, San Jose, CA 95110, USA",https://www.ollacocina.com/
Mexican,La Victoria Taqueria,"131 W Santa Clara St, San Jose, CA 95113, USA",http://www.lavicsj.com/
Mexican,Agua Salada (Contemporary Mexican Seafood),"3911 Stevens Creek Blvd, Santa Clara, CA 95051, USA",https://www.instagram.com/AguaSaladaSeafood
Swedish,IKEA Restaurant,"1700 E Bayshore Rd, East Palo Alto, CA 94303, USA",https://www.ikea.com/us/en/stores/east-palo-alto/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=east-palo-alto
Latvian,Euro Grill,"980 El Camino Real #100, Santa Clara, CA 95050, USA",https://www.facebook.com/Euro-Grill-152317978145420/
Latvian,Holyland Restaurant and Catering,"807 Aldo Ave #105, Santa Clara, CA 95054, USA",http://www.holylandfoods.com/
Latvian,Restaurant Gish,"1998 Homestead Rd Suite 113, Santa Clara, CA 95050, USA",http://restaurantgish.com/
Latvian,Emelina's 2,"2325 El Camino Real, Santa Clara, CA 95050, USA",http://emelinasrestaurant.com/
Latvian,Tomatina,"3127 Mission College Blvd, Santa Clara, CA 95054, USA",http://tomatina.com/
Latvian,Pedro's Restaurant & Cantina,"3935 Freedom Cir, Santa Clara, CA 95054, USA",https://www.pedrosrestaurants.com/location/pedros-restaurants-santa-clara/
Latvian,Il Fornaio Santa Clara,"2752 Augustine Dr #120, Santa Clara, CA 95054, USA",https://www.ilfornaio.com/location/il-fornaio-santa-clara/
Latvian,Puesto Santa Clara,"2752 Augustine Dr #110, Santa Clara, CA 95054, USA",https://www.eatpuesto.com/location/santa-clara/
Latvian,Plumed Horse,"14555 Big Basin Wy, Saratoga, CA 95070, USA",http://www.plumedhorse.com/
Latvian,Tostadas Prime,"3149 Mission College Blvd, Santa Clara, CA 95054, USA",http://www.tostadasprime.com/
Latvian,La Fontana,"4949 Great America Pkwy, Santa Clara, CA 95054, USA",https://hiltonsantaclara.com/dining/
Latvian,Inka’s restaurant,"700 S Winchester Blvd, San Jose, CA 95128, USA",
Latvian,Rantei Japanese Cuisine,"1271 Franklin Mall, Santa Clara, CA 95050, USA",https://ranteijapanesecuisine.com/
