Cuisine Type,Name,Address,Website
Mexican,Wicked Cantina Sarasota,"1603 N Tamiami Trail, Sarasota, FL 34236, USA",http://www.wickedcantina.com/
Mexican,Jalisco Mexican Grill,"8389 S Tamiami Trail, Sarasota, FL 34238, USA",https://www.jaliscomexicangrill.com/
Mexican,Mr. Tequila Authentic Mexican Restaurant,"3969 Cattlemen Rd #140, Sarasota, FL 34233, USA",https://www.mrtequilas.com/
Mexican,The Grasshopper Mexican Restaurant & Bar,"7253 S Tamiami Trail, Sarasota, FL 34231, USA",https://www.thegrasshoppertexmex.com/
Mexican,Reyna's Taqueria (Main Location),"Commons Plaza, 935 N Beneva Rd Suite 701, Sarasota, FL 34232, USA",https://reynastaqueria.com/
Mexican,El Melvin Cocina Mexicana,"1355 Main St, Sarasota, FL 34236, USA",http://elmelvin.com/
Mexican,Guadalupana,"1620 N Washington Blvd, Sarasota, FL 34236, USA",
Mexican,Mi Pueblo El Restaurante Mexicano & Cantina - University,"8405 Tuttle Ave, Sarasota, FL 34243, USA",http://www.mipueblomexican.com/
Mexican,El Toro Bravo Restaurant,"3218 Clark Rd, Sarasota, FL 34231, USA",https://eltorobravosarasota.com/
Mexican,Guerrero's Bakery and Mexican Restaurant,"3557 Webber St, Sarasota, FL 34239, USA",https://www.orderguerrerosbakery.com/
Mexican,Mi Pueblo El Restaurante Mexicano - Bee Ridge,"Palm Plaza, 4436 Bee Ridge Rd, Sarasota, FL 34233, USA",http://www.mipueblomexican.com/
Mexican,Tijuana Flats,"1635 S Tamiami Trail, Sarasota, FL 34239, USA",https://www.tijuanaflats.com/locations/sarasota?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,Mariscos Azteca Mexican Seafood Restaurant,"1100 N Tuttle Ave #8, Sarasota, FL 34237, USA",https://www.mariscosazteca.com/
Mexican,Rincon Tolteca Mexican restaurant corp,"4607 S Tamiami Trail, Sarasota, FL 34231, USA",
Mexican,Circo,"1435 2nd St, Sarasota, FL 34236, USA",https://www.circosrq.com/
Mexican,Plaza Mexico Restaurant Bar & Grill,"1894 Stickney Point Rd, Sarasota, FL 34231, USA",http://plazamexicosarasota.com/
Mexican,Kolucan Mexican Bar and Grill,"6644 Gateway Ave, Sarasota, FL 34231, USA",https://www.kolucan.com/
Mexican,The Hub Baja Grill,"5148 Ocean Blvd, Sarasota, FL 34242, USA",http://www.thehubsiestakey.com/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB1
Mexican,Screaming Goat Taqueria,"6566 Gateway Ave, Sarasota, FL 34231, USA",http://www.screaming-goat.com/
Mexican,Rocco's Tacos & Tequila Bar,"243 N Cattlemen Rd, Sarasota, FL 34243, USA",https://www.roccostacos.com/?utm_source=google&utm_medium=organic&utm_campaign=google-business-profile&utm_content=main-link-sarasota
Swedish,Heidi’s Schnitzel Kitchen,"6521 Superior Ave, Sarasota, FL 34231, USA",https://schnitzelkitchen.godaddysites.com/
Swedish,Siegfried's Restaurant and German Biergarten,"1869 Fruitville Rd, Sarasota, FL 34236, USA",http://siegfrieds-sarasota.com/
Swedish,Der Dutchman,"3713 Bahia Vista St, Sarasota, FL 34232, USA",http://www.dhgroup.com/
Swedish,Yoder's Restaurant & Amish Village,"3434 Bahia Vista St, Sarasota, FL 34239, USA",http://www.yodersrestaurant.com/
Swedish,Sophie’s Sarasota,"120 University Town Center Dr 2nd floor, Sarasota, FL 34243, USA",http://www.sophies.com/
Swedish,Scandinavian Gifts Baked Goods & Grocery,"2166 Gulf Gate Dr, Sarasota, FL 34231, USA",http://www.scandinavian-south.com/
Swedish,Indigenous Restaurant,"239 S Links Ave, Sarasota, FL 34236, USA",http://www.indigenoussarasota.com/
Swedish,Ophelia's on the Bay,"9105 Midnight Pass Rd, Sarasota, FL 34242, USA",http://www.opheliasonthebay.net/
Swedish,Athens Family Restaurant,"The Colannade Plaza, 2300 Bee Ridge Rd # 301, Sarasota, FL 34239, USA",https://www.athenssarasota.com/
Swedish,Blu Kouzina,"25 N Boulevard of the Presidents, Sarasota, FL 34236, USA",https://blukouzina.com/us/
Swedish,Original Word of Mouth,"6604 Gateway Ave, Sarasota, FL 34231, USA",https://www.originalwordofmouth.com/
Swedish,Bacres,"3333 N Tamiami Trail #100, Sarasota, FL 34234, USA",http://www.bacres.eu/
Swedish,Tzeva,"1255 N Palm Ave, Sarasota, FL 34236, USA",https://www.tzevasarasota.com/
Swedish,State Street Eating House + Cocktails,"1533 State St, Sarasota, FL 34236, USA",http://www.statestreetsrq.com/
Swedish,Gulf Breeze Cafe,"6000 Airport Cir, Sarasota, FL 34243, USA",
Swedish,Beso,"30 S Lemon Ave, Sarasota, FL 34236, USA",http://www.besosrq.com/
Swedish,Dewar's Clubhouse,"6000 Airport Cir, Sarasota, FL 34243, USA",
Swedish,Francesco's NY Pizzeria & Ristorante,"3662 Webber St, Sarasota, FL 34232, USA",http://www.francescospizzasarasota.com/
Swedish,La Violetta,"4837 Swift Rd, Sarasota, FL 34231, USA",http://www.laviolettasrq.com/
Swedish,Antoine's Restaurant,"1100 N Tuttle Ave, Sarasota, FL 34237, USA",http://antoinessarasota.com/
Latvian,Heidi’s Schnitzel Kitchen,"6521 Superior Ave, Sarasota, FL 34231, USA",https://schnitzelkitchen.godaddysites.com/
Latvian,Lila,"1576 Main St, Sarasota, FL 34236, USA",http://lilasrq.com/
Latvian,Tzeva,"1255 N Palm Ave, Sarasota, FL 34236, USA",https://www.tzevasarasota.com/
Latvian,Indigenous Restaurant,"239 S Links Ave, Sarasota, FL 34236, USA",http://www.indigenoussarasota.com/
Latvian,Siegfried's Restaurant and German Biergarten,"1869 Fruitville Rd, Sarasota, FL 34236, USA",http://siegfrieds-sarasota.com/
Latvian,Rick's Restaurant,"2177 Siesta Dr, Sarasota, FL 34239, USA",http://www.ricksfrenchbistro.com/
Latvian,Selva Downtown Sarasota,"1345 Main St f4, Sarasota, FL 34236, USA",http://www.selvagrill.com/
Latvian,Darwin Evolutionary Cuisine-Almazonica Cerveceria.,"Next to Orange Octopus Ice Cream Store, 4141 S Tamiami Trail suite 16, Sarasota, FL 34231, USA",http://almazonicacerveceria.com/
Latvian,Divan Turkish cuisine,"6525 Superior Ave, Sarasota, FL 34231, USA",http://divanturkishcuisine.com/
Latvian,Yoder's Restaurant & Amish Village,"3434 Bahia Vista St, Sarasota, FL 34239, USA",http://www.yodersrestaurant.com/
Latvian,Miguel's Restaurant,"6631 Midnight Pass Rd, Sarasota, FL 34242, USA",https://www.miguelsrestaurant.net/
Latvian,Athens Family Restaurant,"The Colannade Plaza, 2300 Bee Ridge Rd # 301, Sarasota, FL 34239, USA",https://www.athenssarasota.com/
Latvian,Antoine's Restaurant,"1100 N Tuttle Ave, Sarasota, FL 34237, USA",http://antoinessarasota.com/
Latvian,La Violetta,"4837 Swift Rd, Sarasota, FL 34231, USA",http://www.laviolettasrq.com/
Latvian,Latin Quarters,"935 N Beneva Rd, Sarasota, FL 34232, USA",
Latvian,Al Forno Mediterranean Grill & Subs - UTC,"83 N Cattlemen Rd, Sarasota, FL 34243, USA",https://order.toasttab.com/online/al-forno
Latvian,Apollonia Grill - Landings Sarasota,"4956 S Tamiami Trail, Sarasota, FL 34231, USA",http://www.apolloniagrill.com/
Latvian,Djonisi‘s Restaurant,"4940 Fruitville Rd, Sarasota, FL 34232, USA",http://djonisis.com/
