Cuisine Type,Name,Address,Website
Mexican,Cocina Maya Mexican Grill & Mezcaleria,"3590 Hwy 17 Suite 1026, Lake Mary, FL 32746, USA",http://cocinamayamez.com/
Mexican,El Zocalo Mexican Restaurant - Sanford,"406 Sanford Ave, Sanford, FL 32771, USA",http://elzocalosanford.com/
Mexican,El Sol Mexican Grill,"4520 FL-46, Sanford, FL 32771, USA",
Mexican,Santa Rosa Mexican Restaurant and Bar,"1436 FL-436 #1064, Casselberry, FL 32707, USA",http://www.eatsantarosamex.com/
Mexican,Chilangos Mexican Food,"162 FL-434, Winter Springs, FL 32708, USA",http://chilangoswintersprings.com/
Mexican,Señor Tequila Mexican Grill Winter Springs,"855 E State Rd 434, Winter Springs, FL 32708, USA",http://www.thesenortequila.com/
Mexican,COYOACÁN Mexican Cocina & Tequila Bar,"7025 Co Rd 46A #1011, Lake Mary, FL 32746, USA",https://www.coyoacancocinatequila.com/
Mexican,La Fonda Mexican Kitchen,"1155 W State Rd 434, Longwood, FL 32750, USA",https://www.toasttab.com/la-fonda-mexican-kitchen/v3
Mexican,"Fiesta Cancún Mexican Restaurant, family owned the true feeling of Mexico when you walk through our doors","260 Douglas Ave, Altamonte Springs, FL 32714, USA",http://www.fiestacancunaltamonte.com/
Mexican,Tortilleria La Mexicana,"2715 S Orlando Dr #5311, Sanford, FL 32773, USA",http://ordertortillerialamexicana.com/
Mexican,Rookies Cantina,"140 S US Hwy 17 92, Longwood, FL 32750, USA",http://www.rookiescantina.com/
Mexican,Jalisco Town Mexican Restaurant,"601 Weldon Blvd #117, Lake Mary, FL 32746, USA",https://jaliscotownmex.com/
Mexican,Tijuana Flats,"5030 W State Rd 46 #1036, Sanford, FL 32771, USA",https://www.tijuanaflats.com/locations/sanford?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,Agave Azul Winter Springs,"5248 Red Bug Lake Rd, Winter Springs, FL 32708, USA",http://agaveazulcocinamex.com/
Mexican,Don Julio Mexican Kitchen Lake Mary,"4275 W Lake Mary Blvd, Lake Mary, FL 32746, USA",https://www.donjuliomexicankitchen.com/
Mexican,La Hacienda,"3090 Aloma Ave #145, Winter Park, FL 32792, USA",http://orderlahaciendamexicanrestaurantfl.com/
Mexican,Tijuana Flats,"Publix Shopping Center, 2401 W State Rd 434 #117, Longwood, FL 32779, USA",https://www.tijuanaflats.com/locations/longwood?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,Tijuana Flats,"3005 W Lake Mary Blvd STE 109, Lake Mary, FL 32746, USA",https://www.tijuanaflats.com/locations/lake-mary?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,Tijuana Flats,"991 East Semoran Blvd, Casselberry, FL 32707, USA",https://www.tijuanaflats.com/locations/casselberry?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,Fridas’s Mexican Grill,"220 Wekiva Springs Rd, Longwood, FL 32779, USA",
Swedish,SwedeDish Food Truck,"1300 Alden Rd, Orlando, FL 32803, USA",https://swededishtruck.com/
Latvian,Ukrainian Traditional Food,"343 N Ronald Reagan Blvd, Longwood, FL 32750, USA",
Italian,Terramia Brick Oven Pizza & Trattoria,"7025 Co Rd 46A, Lake Mary, FL 32746, USA",http://terramialakemary.com/
Italian,Stefano's Trattoria,"1425 Tuskawilla Rd, Winter Springs, FL 32708, USA",http://www.stefanos-trattoria.com/
Italian,Terramia Ristorante,"1150 Douglas Ave #1050, Altamonte Springs, FL 32714, USA",http://www.terramiaaltamonte.com/
Italian,Chianti's Pizza & Pasta,"685 Towne Center Blvd, Sanford, FL 32771, USA",http://www.chiantispizza.com/
Italian,Cafe Paisano,"182 W State Rd 434 #1000, Longwood, FL 32750, USA",http://www.cafepaisano.com/
Italian,Giovanni's Pizzeria & Kitchen,"875 Rinehart Rd, Lake Mary, FL 32746, USA",http://www.giovannisrestaurant.com/
Italian,Olive Garden Italian Restaurant,"10 Towne Center Cir, Sanford, FL 32771, USA",https://www.olivegarden.com/locations/fl/sanford/sanford-town-center/1526?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:sanford-fl-1526_pl:locurl_rd:1397
Italian,Napolis,"122 W State Rd 434, Winter Springs, FL 32708, USA",http://napolispizzaws.wordpress.com/
Italian,Olive Garden Italian Restaurant,"300 FL-436, Altamonte Springs, FL 32714, USA",https://www.olivegarden.com/locations/fl/altamonte-springs/altamonte-springs/1702?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:altamonte-springs-fl-1702_pl:locurl_rd:1551
Italian,Chianti's Pizza & Pasta,"1819 W State Rd 434, Longwood, FL 32750, USA",https://www.chiantispizza.com/
Italian,Carrabba's Italian Grill,"5820 Red Bug Lake Rd, Winter Springs, FL 32708, USA",https://locations.carrabbas.com/florida/winter-springs/5820-red-bug-lake-road?y_source=1_MTU1MDMwMTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Victorio's II Winter Springs,"200 FL-434, Winter Springs, FL 32708, USA",https://www.victorioswintersprings.com/?utm_source=gbp
Italian,Vinzo's Italian Grill & Pizzeria,"1006 FL-436, Casselberry, FL 32707, USA",https://www.vinzos.com/
Italian,Papa Joe's Pizza & Italian Restaurant,"960 Colonial Grand Ln, Lake Mary, FL 32746, USA",https://www.papajoesfl.com/
Italian,Tomasino's Pizza,"920 International Pkwy #1016, Lake Mary, FL 32746, USA",http://www.tomasinospizza.com/
Italian,Café Panuzzo's,"1003 Lockwood Blvd, Oviedo, FL 32765, USA",http://www.cafepanuzzos.com/
Italian,Carrabba's Italian Grill,"931 N State Rd 434, Altamonte Springs, FL 32714, USA",https://locations.carrabbas.com/florida/altamonte-springs/931-n-state-road-434?y_source=1_MTU1MDMwNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Carrabba's Italian Grill,"4675 St Johns Pkwy, Sanford, FL 32771, USA",https://locations.carrabbas.com/florida/sanford/4675-st.-john's-pkwy?y_source=1_MTU1MDMwODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Enzo's on the Lake,"1130 S US Hwy 17 92, Longwood, FL 32750, USA",http://www.enzos.com/
Italian,Dalli's Pizzeria,"101 N Country Club Rd, Lake Mary, FL 32746, USA",https://order.toasttab.com/online/dallis-pizzeria
Spanish,Los Munchies,"2009 Chase Ave, Sanford, FL 32771, USA",http://www.facebook.com/losmunchies
Spanish,"Pa'lla Voy Restaurant, LLC","1732 Rinehart Rd, Sanford, FL 32771, USA",https://pallavoyrestaurant.com/?utm_campaign=gmb
Spanish,Santiago's Bodega,"1185 Spring Centre S Blvd #1080, Altamonte Springs, FL 32714, USA",http://santiagosbodega.com/
Spanish,Mi Casa Kitchen,"2520 N Ronald Reagan Blvd #148, Longwood, FL 32750, USA",http://www.micasakitchen.com/
Spanish,La Antioquena Restaurant,"3861 Lake Emma Rd, Lake Mary, FL 32746, USA",http://www.colombianfoodlakemary.com/
Spanish,Pal Campo Restaurant Lake Mary,"1120 Townpark Ave Ste 1002, Lake Mary, FL 32746, USA",https://palcamporestaurant.com/
Spanish,Cocina Maya Mexican Grill & Mezcaleria,"3590 Hwy 17 Suite 1026, Lake Mary, FL 32746, USA",http://cocinamayamez.com/
Spanish,Sabrosito Criollo Chinchorreo,"3810 S Orlando Dr, Sanford, FL 32773, USA",
Spanish,Coqui Restaurant,"4004 S Orlando Dr, Sanford, FL 32773, USA",https://www.coquirestaurant.getsauce.com/?utm_source=GMB&utm_medium=Website%20button&utm_id=Coqui%20Restaurant
Spanish,El Sol Mexican Grill,"4520 FL-46, Sanford, FL 32771, USA",
Spanish,Mi Raza Restaurant,"1810 FL-436, Winter Park, FL 32792, USA",https://www.mirazarestaurant.getsauce.com/
Spanish,El Zocalo Mexican Restaurant - Sanford,"406 Sanford Ave, Sanford, FL 32771, USA",http://elzocalosanford.com/
Spanish,Lechonera Latina,"11229 E Colonial Dr Ste 110, Orlando, FL 32817, USA",http://www.lechoneralatina.net/
Spanish,Lechonera Latina,"1803 E Semoran Blvd, Apopka, FL 32703, USA",
Spanish,Bulla Gastrobar,"110 S Orlando Ave #7, Winter Park, FL 32789, USA",https://bullagastrobar.com/locations/winter-park
Spanish,Morenas Latin Bar & Grill,"2300 E Semoran Blvd unit a, Apopka, FL 32703, USA",https://www.morenaslatinbargrill.com/s/order?location=11ecb374edf7afd89d9aac1f6bbbcc9c
Spanish,La Fortuna’s Mini Market,"1949 County Rd 419, Oviedo, FL 32766, USA",
Spanish,"Pupusas & Burrito Grill, LLC","2477 S Park Ave, Sanford, FL 32771, USA",https://www.pupusasburritosgrilllatinfood.com/?utm_source=gbp
Spanish,El Chinchorreo De My Friends,"929 N Semoran Blvd, Orlando, FL 32807, USA",https://www.facebook.com/elchinchorreodemyfriends/
Spanish,Vida Cocina & Tequila,"275 W State Rd 436, Altamonte Springs, FL 32714, USA",https://www.vidacocinatequila.com/
American,State Market Restaurant,"1300 S French Ave # 3C, Sanford, FL 32771, USA",
American,The District Eatery Tap & Barrel,"112 W 2nd St, Sanford, FL 32771, USA",http://districtsanford.com/
American,Cheddar's Scratch Kitchen,"1650 Rinehart Rd, Sanford, FL 32771, USA",https://www.cheddars.com/locations/fl/sanford/sanford/2085?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:sanford-fl-2085_pl:locurl_rd:1071
American,Cattle Ranch,"2700 Sanford Ave, Sanford, FL 32773, USA",http://cattleranchsteakhouse.com/
American,Seasons 52,"463 E Altamonte Dr, Altamonte Springs, FL 32701, USA",https://www.seasons52.com/locations/fl/altamonte-springs/altamonte-springs/4503?cmpid=br:s52_ag:ie_ch:dry_ca:S52GMB_sn:gmb_gt:altamonte-springs-fl-4503_pl:locurl_rd:1003
American,Tibby's New Orleans Kitchen,"494 FL-436, Altamonte Springs, FL 32714, USA",http://tibbys.com/
American,F&D Prime Modern Steakhouse,"1541 International Pkwy, Lake Mary, FL 32746, USA",https://www.fdprimelakemary.com/
American,"Pa'lla Voy Restaurant, LLC","1732 Rinehart Rd, Sanford, FL 32771, USA",https://pallavoyrestaurant.com/?utm_campaign=gmb
American,Shantell's Just Until Restaurant & Lounge,"503 Sanford Ave, Sanford, FL 32771, USA",https://shantellsinsanford.com/
American,The Original Christo's,"107 W 1st St, Sanford, FL 32771, USA",http://www.christossanford.com/
American,Gator's Dockside Winter Springs,"5275 Red Bug Lake Rd, Winter Springs, FL 32708, USA",http://www.gatorsdockside.com/
American,The Local Hen,"The Local Hen, 888 City Walk Ln #1012, Oviedo, FL 32765, USA",https://www.thelocalhenoviedo.com/
