Cuisine Type,Name,Address,Website
Mexican,El Faro,"315 N Broadway St, Truth or Consequences, NM 87901, USA",http://www.elfaro.kitchen/
Mexican,Tony's Mexican Restaurant,"1990 S Broadway St, Truth or Consequences, NM 87901, USA",
Mexican,La Cocina,"1 Lk Wy Dr, Truth or Consequences, NM 87901, USA",
Mexican,Casa Taco,"704 NM-195, Elephant Butte, NM 87935, USA",
Mexican,Sunset Grill,"1301 N Date St, Truth or Consequences, NM 87901, USA",
Mexican,Pepper Pot,"250 W Hall St, Hatch, NM 87937, USA",https://www.facebook.com/PepperPotRestaurant/
Mexican,El Camino Nuevo,"1025 Mechem Dr, Ruidoso, NM 88345, USA",https://www.facebook.com/El-Camino-Nuevo-Mexican-Restaurant-181643308517580/
Mexican,El Camino Real,"900 W Pine St, Deming, NM 88030, USA",
Mexican,Del Taco,"1908 N Date St, Truth or Consequences, NM 87901, USA",https://locations.deltaco.com/us/nm/truth-or-consequences/1908-n-date?utm_source=G&utm_medium=local&utm_campaign=google-local
Mexican,La Posta De Mesilla,"2410 Calle De San Albino, Mesilla, NM 88046, USA",http://www.lapostademesilla.com/
Mexican,Pepe's Cocina,"1015-1 NM-26, Hatch, NM 87937, USA",
Mexican,Chilitos Restaurant,"2405 S Valley Dr, Las Cruces, NM 88005, USA",http://chilitos.net/
Mexican,La Cocina Restaurant,"201 W College Ave, Silver City, NM 88061, USA",
Mexican,B & E Burritos,"303 N, Franklin St, Hatch, NM 87937, USA",https://m.facebook.com/CHILEWILLIESALSA/
Mexican,Irma's Restaurant,"123 S Silver Ave, Deming, NM 88030, USA",
Mexican,Mi Mexico viejo,"202 E Broadway St, Silver City, NM 88061, USA",
Mexican,Johnny B's Restaurant,"2260 N Date St, Truth or Consequences, NM 87901, USA",https://www.johnnybsrestaurant.net/?y_source=1_MTgzNTI0MDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Mexican,Si Señor Restaurant,"1551 E Amador Ave, Las Cruces, NM 88001, USA",https://sisenor.com/
Mexican,Desert Diamond Restaurant,"602 S. Hwy 85, Socorro, NM 87801, USA",
Mexican,Valley Cafe,"360 W Hall St, Hatch, NM 87937, USA",
Swedish,Copenhagen Corner,"31161 Niguel Rd, Laguna Niguel, CA 92677, USA",http://copenhagencorneroc.com/
Italian,Outer Edge Pizzeria,"719 Main Ave, Truth or Consequences, NM 87901, USA",http://www.outeredgepizzeria.com/
Italian,Olive Garden Italian Restaurant,"380 AZ-90, Sierra Vista, AZ 85635, USA",https://www.olivegarden.com/locations/az/sierra-vista/sierra-vista/1871?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:sierra-vista-az-1871_pl:locurl_rd:1713
Italian,Michael J's Italian-American Restaurant,"601 Mechem Dr, Ruidoso, NM 88345, USA",http://www.michaeljsrestaurant.com/
Italian,Pizzeria Mimosa,"4755 E. Neapolitan Way, Hereford, AZ 85615, USA",http://www.pizzeriamimosa.com/
Italian,Vinny's New York Pizza,"1977 S Frontage Rd, Sierra Vista, AZ 85635, USA",
Italian,Pizza Hut,"1934 N Date St, Truth or Consequences, NM 87901, USA",https://locations.pizzahut.com/nm/truth-or-consequences/1934-n-date-st?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=282146
Italian,The Italian Kitchen,"2923 Pershing Dr, El Paso, TX 79903, USA",https://theoriginalitaliankitchen.com/
Italian,La Posta De Mesilla,"2410 Calle De San Albino, Mesilla, NM 88046, USA",http://www.lapostademesilla.com/
Italian,Subway,"1900 N Date St, Truth or Consequences, NM 87901, USA",https://restaurants.subway.com/united-states/nm/truth-or-consequences/1900-north-date-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=14799&utm_campaign=evergreen-2020&y_source=1_MTQ5MTUwMTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Sidekixx,"820 Cedar St, Truth or Consequences, NM 87901, USA",http://sidekixxnm.com/
Italian,El Faro,"315 N Broadway St, Truth or Consequences, NM 87901, USA",http://www.elfaro.kitchen/
Italian,Sunset Grill,"1301 N Date St, Truth or Consequences, NM 87901, USA",
Italian,Papa's Italian Restaurant,"129 1/2 N Cortez St, Prescott, AZ 86301, USA",http://papasitalianrestaurant.com/
Italian,Pacific Grill,"800 N Date St, Truth or Consequences, NM 87901, USA",https://robunz.com/pacific-grill-685504-web
Italian,Mici Italian,"11290 Twenty Mile Rd, Parker, CO 80134, USA",https://miciitalian.com/
Italian,Juliano's Italian Restaurant,"12052 Hesperia Rd #9, Hesperia, CA 92345, USA",http://www.julianositalianrestaurant.com/
Italian,Assaggio Ristorante Italiano,"538 E St, Brawley, CA 92227, USA",https://qrco.de/Assaggio
Italian,Bella Sera Trattoria,"422 S Myrtle Ave, Monrovia, CA 91016, USA",
Italian,D. H. LESCOMBES WINERY & BISTRO,"1720 Avenida de Mesilla, Las Cruces, NM 88005, USA",https://lescombeswinery.com/locations/las-cruces/
Italian,The Giddy up Cafe,"313 N Broadway St, Truth or Consequences, NM 87901, USA",https://www.thegiddyupcafe.com/
Spanish,La Posta De Mesilla,"2410 Calle De San Albino, Mesilla, NM 88046, USA",http://www.lapostademesilla.com/
Spanish,El Faro,"315 N Broadway St, Truth or Consequences, NM 87901, USA",http://www.elfaro.kitchen/
Spanish,La Cocina,"1 Lk Wy Dr, Truth or Consequences, NM 87901, USA",
Spanish,El Camino Restaurant & Lounge,"707 N California St, Socorro, NM 87801, USA",
Spanish,Casa Córdoba - Spanish Restaurant Los Angeles CA,"2331 Honolulu Ave, Montrose, CA 91020, USA",https://casacordoba.com/
Spanish,Sunset Grill,"1301 N Date St, Truth or Consequences, NM 87901, USA",
Spanish,Johnny B's Restaurant,"2260 N Date St, Truth or Consequences, NM 87901, USA",https://www.johnnybsrestaurant.net/?y_source=1_MTgzNTI0MDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Spanish,Desert Diamond Restaurant,"602 S. Hwy 85, Socorro, NM 87801, USA",
Spanish,El Camino Real,"900 W Pine St, Deming, NM 88030, USA",
Spanish,Bravas Bar de Tapas,"420 Center St, Healdsburg, CA 95448, USA",http://www.starkrestaurants.com/
Spanish,Tony's Mexican Restaurant,"1990 S Broadway St, Truth or Consequences, NM 87901, USA",
Spanish,La Cocina Restaurant,"201 W College Ave, Silver City, NM 88061, USA",
Spanish,Pepper Pot,"250 W Hall St, Hatch, NM 87937, USA",https://www.facebook.com/PepperPotRestaurant/
Spanish,Casa Taco,"704 NM-195, Elephant Butte, NM 87935, USA",
Spanish,Irma's Restaurant,"123 S Silver Ave, Deming, NM 88030, USA",
Spanish,Valley Cafe,"360 W Hall St, Hatch, NM 87937, USA",
Spanish,Arrey Cafe,"NM-187, Arrey, NM 87930, USA",
Spanish,El Camino Nuevo,"1025 Mechem Dr, Ruidoso, NM 88345, USA",https://www.facebook.com/El-Camino-Nuevo-Mexican-Restaurant-181643308517580/
Spanish,Molcajete's hatch,"251 W Hall St, Hatch, NM 87937, USA",
Spanish,Pepe's Cocina,"1015-1 NM-26, Hatch, NM 87937, USA",
American,Johnny B's Restaurant,"2260 N Date St, Truth or Consequences, NM 87901, USA",https://www.johnnybsrestaurant.net/?y_source=1_MTgzNTI0MDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
American,The Giddy up Cafe,"313 N Broadway St, Truth or Consequences, NM 87901, USA",https://www.thegiddyupcafe.com/
American,Sierra County,"Sierra County, NM, USA",
American,Bigfoot Restaurant,"212 Warm Springs Blvd, Elephant Butte, NM 87935, USA",https://www.bigfoot.restaurant/
American,The Only Place In Town,"110 W Sierra Madre Blvd, Sierra Madre, CA 91024, USA",http://www.theonlyplaceintown.com/
American,Sparkys,"115 Franklin St, Hatch, NM 87937, USA",http://sparkysburgers.com/
American,Los Arcos Steak & Lobster,"1400 N Date St, Truth or Consequences, NM 87901, USA",http://www.losarcossteakhouse.com/
American,Sierra House,"1051 CA-4, Arnold, CA 95223, USA",http://www.sierrahouseofarnold.com/
American,Pacific Grill,"800 N Date St, Truth or Consequences, NM 87901, USA",https://robunz.com/pacific-grill-685504-web
American,A & B Drive In,"211 N Broadway St, Truth or Consequences, NM 87901, USA",
American,Sidekixx,"820 Cedar St, Truth or Consequences, NM 87901, USA",http://sidekixxnm.com/
American,The Ranchers Steak and Seafood Restaraunt,"2823 Sudderth Dr, Ruidoso, NM 88345, USA",
American,Red Moose Cafe & Inn,"224 Main St, Sierra City, CA 96125, USA",http://redmoosecafe.com/
American,Yo Mama's Grill,"913 N California St, Socorro, NM 87801, USA",http://www.yomamasgrill.com/
American,Angry German,"355 W Wilcox Dr, Sierra Vista, AZ 85635, USA",http://www.angrygerman.com/
American,Corner Kitchen,"300 S Bullard St, Silver City, NM 88061, USA",
American,My Place American • Mexican • Asian Restaurant,"1081 E Fry Blvd, Sierra Vista, AZ 85635, USA",
American,Pepper Pot,"250 W Hall St, Hatch, NM 87937, USA",https://www.facebook.com/PepperPotRestaurant/
American,Red Lion,"304 Bridge St St.1, Vail, CO 81657, USA",http://www.theredlion.com/
American,Arrey Cafe,"NM-187, Arrey, NM 87930, USA",
Scottish,A & B Drive In,"211 N Broadway St, Truth or Consequences, NM 87901, USA",
British,Turtleback Taphouse and Grill,"101 Clubhouse Dr, Elephant Butte, NM 87935, USA",http://www.sdrgolf.com/
Thai,Thai Garden,"3030 Sierra Hwy, Rosamond, CA 93560, USA",
Thai,The Thai T Exotic Thai Cuisine,"11275 Sierra Ave. Ste 3D, Fontana, CA 92337, USA",http://www.thaitfontana.com/
Thai,The Thai Restaurant,"44759 Sierra Hwy, Lancaster, CA 93534, USA",http://www.thethaiav.com/
Thai,Linh's Rice and Noodles,"823 N Date St, Truth or Consequences, NM 87901, USA",
Thai,Chang Noi Thai Cuisine,"18366 Lincoln Ave Unit 109, Parker, CO 80134, USA",http://www.changnoithaiparker.com/
Thai,Thai Thai Restaurant,"703 Airport Rd, Bishop, CA 93514, USA",
Thai,Sea Thai House,"200 W Hwy 12 Ste E4, Valley Springs, CA 95252, USA",https://seathaihouse.com/
Thai,Nokki Thai Kitchen,"14548 Baseline Ave #260, Fontana, CA 92336, USA",http://www.nokkithaikitchen.com/
Thai,Little Buddha Thai Kitchen,"6237 Pats Ranch Rd STE E, Mira Loma, CA 91752, USA",https://www.littlebuddhatk.com/
Thai,R'Noh Thai Restaurant,"1000 Magnolia Ave, Larkspur, CA 94939, USA",http://www.rnohthai.com/menu/
Thai,Moi's Thai Café,"11332 Pleasant Valley Rd, Penn Valley, CA 95946, USA",
Thai,Sopa Thai Cuisine,"312 Commercial St, Nevada City, CA 95959, USA",
Thai,Peacock Restaurant,"1287 E Fry Blvd, Sierra Vista, AZ 85635, USA",https://www.facebook.com/peacockrestaurantsv
Thai,Thep Lela Thai Restaurant,"615 Strawberry Village, Mill Valley, CA 94941, USA",http://www.theplela.com/
Thai,Thai Cuisine-Teriyaki Queen,"4000 Barbara Loop SE, Rio Rancho, NM 87124, USA",http://thaicuisine.flavorplate.com/
Thai,Indochine Family Restaurant,"1299 E Fry Blvd, Sierra Vista, AZ 85635, USA",http://www.indochinesv.com/
Thai,Kao Sarn Thai Cuisine,"130 Washington Ave, Richmond, CA 94801, USA",https://www.kaosarnthaicuisine510.com/
Thai,Wild Basil Restaurant,"8247 S Holly St, Centennial, CO 80122, USA",https://centennialwildbasil.com/index.html
Thai,Mom Can Cook Thai Kitchen,"18358 Soledad Canyon Rd, Santa Clarita, CA 91387, USA",http://www.momcancook.com/
Thai,Spices Thai Kitchen,"402 S 1st Ave, Arcadia, CA 91006, USA",http://spicesthai888.com/
Japanese,Sakura Japanese House,"3961 E Lohman Ave #1, Las Cruces, NM 88011, USA",
Chinese,Linh's Rice and Noodles,"823 N Date St, Truth or Consequences, NM 87901, USA",
Chinese,Orient Express,"391 E Fry Blvd, Sierra Vista, AZ 85635, USA",https://orientexpressaz.kwickmenu.com/
Chinese,Panda Express,"480 AZ-90, Sierra Vista, AZ 85635, USA",https://www.pandaexpress.com/locations/az/sierra-vista/1828
Chinese,Hibachi Grill Super Buffet,"465 AZ-90, Sierra Vista, AZ 85635, USA",
Chinese,W&Z Asian Bistro and Sushi Bar,"1740 US-180, Silver City, NM 88061, USA",http://www.wzasian.com/?R=3
Chinese,Golden Dragon,"2151 AZ-92 Ste 112, Sierra Vista, AZ 85635, USA",
Chinese,Big Mama,"90 E Lisa Dr, Chaparral, NM 88081, USA",
Chinese,Bamboo Garden Chinese And Thai Cuisine,"1481 E Fry Blvd #3, Sierra Vista, AZ 85635, USA",https://www.facebook.com/bamboogardensSV/
Chinese,Indochine Family Restaurant,"1299 E Fry Blvd, Sierra Vista, AZ 85635, USA",http://www.indochinesv.com/
Chinese,Genghis Grill,"840 S Telshor Blvd, Las Cruces, NM 88011, USA",https://locations.genghisgrill.com/nm/lascruces/genghis-grill-1203.html
Chinese,My Place American • Mexican • Asian Restaurant,"1081 E Fry Blvd, Sierra Vista, AZ 85635, USA",
Chinese,Bigfoot Restaurant,"212 Warm Springs Blvd, Elephant Butte, NM 87935, USA",https://www.bigfoot.restaurant/
Chinese,Sonic Drive-In,"2000 N Date St, Truth or Consequences, NM 87901, USA",https://www.sonicdrivein.com/locations/us/nm/truth-or-consequences/2000-north-date-street/store-3011/?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link
Chinese,La Baracca,"304 S Pershing St, Truth or Consequences, NM 87901, USA",https://la-baracca.square.site/
