Cuisine Type,Name,Address,Website
Mexican,El Pitayo,"2982 Rockville Rd, Fairfield, CA 94534, USA",http://el-pitayo-mexican-restaurant.cafe-inspector.com/
Mexican,Los Altos Mexican Bar And Grill,"301 Main St, Suisun City, CA 94585, USA",https://www.losaltosbarandgrillsite.com/?utm_source=gmb
Mexican,Casa Agave Restaurant,"731 Texas St, Fairfield, CA 94533, USA",
Mexican,Gordito's Mexican Restaurant,"1025 Oliver Rd, Fairfield, CA 94534, USA",http://www.gorditosauthenticmexican.com/
Mexican,Pelayo's Mexican Food,"5055 Business Center Dr, Fairfield, CA 94534, USA",http://pelayosmexicanfood.com/
Mexican,Los Reyes Restaurante Y Cantina,"21 Town Square Pl #A, Vacaville, CA 95688, USA",https://losreyesvacaville.com/
Mexican,Villa Corona,"1661 E Monte Vista Ave P-105, Vacaville, CA 95688, USA",http://www.villacoronavacaville.com/
Mexican,La Costa Azul,"1972 N Texas St A, Fairfield, CA 94533, USA",https://www.lacostaazul.com/?utm_source=gmb
Mexican,Taqueria la Mexicana,"1215 Texas St, Fairfield, CA 94533, USA",https://www.taquerialamexicanafairfield.com/
Mexican,Taqueria Mi Mezcal,"1350 Travis Blvd, Fairfield, CA 94533, USA",https://www.mimezcaltaqueria.com/
Mexican,Hecho En Mexico Taqueria,"672 Parker Rd, Fairfield, CA 94533, USA",
Mexican,Los Molcajetes Taqueria,"1661 N Texas St, Fairfield, CA 94533, USA",https://losmolcajetestaqueriaca.com/
Mexican,Los Molcajetes Mobil Mexican Food,"1313 N Texas St, Fairfield, CA 94533, USA",https://fairfieldmexicanfood.com/
Mexican,Alejandro's Taqueria,"936 Texas St, Fairfield, CA 94533, USA",
Mexican,Favela's Fusion,"1500 Oliver Rd, Fairfield, CA 94534, USA",http://www.favelasfusion.net/
Mexican,Taqueria El Tejaban,"890 E Travis Blvd C, Fairfield, CA 94533, USA",
Mexican,Adalberto's Mexican Food,"2370 N Texas St, Fairfield, CA 94533, USA",http://adalbertosmexicanrestaurant.com/
Mexican,Chico's Taqueria,"82 Solano Square, Benicia, CA 94510, USA",https://chicostaqueria.com/
Mexican,El Caracol Mexican Restaurant - Fairfield,"900 Texas St, Fairfield, CA 94533, USA",
Mexican,Taqueria Los Alteños,"1127 N Texas St, Fairfield, CA 94533, USA",
Swedish,IKEA Swedish Deli,"945 Market St, San Francisco, CA 94103, USA",https://www.ikea.com/us/en/stores/san-francisco/#d9cc1ef0-54cf-11ed-8f4d-3b5a57086a78
Swedish,Stockhome,"220 Western Ave, Petaluma, CA 94952, USA",http://www.stockhomerestaurant.com/
Swedish,Kantine,"1906 Market St, San Francisco, CA 94102, USA",http://www.kantinesf.com/
Swedish,IKEA Restaurant,"4400 Shellmound St, Emeryville, CA 94608, USA",https://www.ikea.com/us/en/stores/emeryville/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=emeryville
Swedish,IKEA Restaurant,"700 Ikea Ct, West Sacramento, CA 95605, USA",https://www.ikea.com/us/en/stores/west-sacramento/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=west-sacramento
Swedish,Lebanese Spoon,"846 Texas St, Fairfield, CA 94533, USA",
Latvian,Mediterranean Food Center,"823 Texas St, Fairfield, CA 94533, USA",http://mediterranean-food-center.cafe-inspector.com/
Italian,Evelyn's Big Italian,"704 Texas St, Fairfield, CA 94533, USA",http://www.evelynsbigitalianpizza.com/
Italian,Johnny Carino's,"1640 Gateway Blvd, Fairfield, CA 94533, USA",http://www.carinos.com/
Italian,Olive Garden Italian Restaurant,"100 Nut Tree Pkwy, Vacaville, CA 95687, USA",https://www.olivegarden.com/locations/ca/vacaville/vacaville/1722?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:vacaville-ca-1722_pl:locurl_rd:1570
Italian,Vicini's New York City Pizzeria,"3342 N Texas St, Fairfield, CA 94533, USA",http://www.vicinispizza.com/locations.htm
Italian,La Veranda Ristorante Italiano,"444 Railroad Ave, Pittsburg, CA 94565, USA",https://www.laverandapittsburg.com/
Italian,Three Restaurant,"721 Texas St, Fairfield, CA 94533, USA",http://www.threefoodbeerwine.com/
Italian,Amici's East Coast Pizzeria,"1679 E Monte Vista Ave, Vacaville, CA 95688, USA",https://www.amicis.com/vacaville
Italian,"Bambino's Vallejo Pasta, Pizza and full bar","301 Georgia St suite 122, Vallejo, CA 94590, USA",https://order.toasttab.com/online/bambinos-restaurant-vallejo-301-georgia-st-ste-122
Italian,Olive Garden Italian Restaurant,"1176 Admiral Callaghan Ln, Vallejo, CA 94591, USA",https://www.olivegarden.com/locations/ca/vallejo/vallejo/1418?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:vallejo-ca-1418_pl:locurl_rd:1310
Italian,Ristorante Pasta D'oro,"410 Napa Junction Rd #102, American Canyon, CA 94503, USA",http://ristorantepastad-oro.com/
Italian,Cenario's Pizza of Fairfield,"1955 W Texas St #9, Fairfield, CA 94533, USA",https://www.cenariospizza.com/
Italian,Fuso | Fusion Italian Restaurant,"535 Main St Ste A, Vacaville, CA 95688, USA",https://fusorestaurant.com/
Italian,La Strada,"6240 CA-29, American Canyon, CA 94503, USA",http://www.lastradanapa.com/
Italian,Mary's Pizza Shack,"1500 Oliver Rd, Fairfield, CA 94534, USA",https://www.maryspizzashack.com/locations/fairfield?utm_source=google&utm_medium=organic&utm_campaign=gmbfairfield
Italian,Palermos,"2050 Columbus Pkwy, Benicia, CA 94510, USA",http://www.palermosbenicia.com/
Italian,Napoli Pizzeria & Italian Food,"124 Tennessee St, Vallejo, CA 94590, USA",https://www.toasttab.com/napoli-pizzeria-vallejo
Italian,Bella Siena,"127 1st St, Benicia, CA 94510, USA",http://www.bellasienarestaurant.com/
Italian,Pietro's No. 1,"407 Cernon St, Vacaville, CA 95688, USA",https://www.pietrosno1.com/
Italian,Venticellos Ristorante Italiano,"911 1st St, Benicia, CA 94510, USA",http://www.venticellos.com/
Italian,Pizza Pirate,"72 Solano Square, Benicia, CA 94510, USA",http://www.mypizzapirate.com/
Spanish,El Pitayo,"2982 Rockville Rd, Fairfield, CA 94534, USA",http://el-pitayo-mexican-restaurant.cafe-inspector.com/
Spanish,Casa Agave Restaurant,"731 Texas St, Fairfield, CA 94533, USA",
Spanish,Favela's Fusion,"1500 Oliver Rd, Fairfield, CA 94534, USA",http://www.favelasfusion.net/
Spanish,Villa Corona,"1661 E Monte Vista Ave P-105, Vacaville, CA 95688, USA",http://www.villacoronavacaville.com/
Spanish,Los Reyes Restaurante Y Cantina,"21 Town Square Pl #A, Vacaville, CA 95688, USA",https://losreyesvacaville.com/
Spanish,Los Altos Mexican Bar And Grill,"301 Main St, Suisun City, CA 94585, USA",https://www.losaltosbarandgrillsite.com/?utm_source=gmb
