Cuisine Type,Name,Address,Website
Mexican,El Coyote Monroe,"838 Main Street F, CT-25, Monroe, CT 06468, USA",https://www.elcoyoteonect.com/
Swedish,IKEA Restaurant,"450 Sargent Dr, New Haven, CT 06511, USA",https://www.ikea.com/us/en/stores/new-haven/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=new-haven
Italian,Tiramisu Italian Restaurant,"3670 E Main St, Waterbury, CT 06705, USA",http://www.tiramisuct.com/
Italian,Violi's Restaurant,"688 Westfield Rd, Meriden, CT 06450, USA",https://www.violisrestaurant.com/
Italian,Campagna Restaurant,"151 Marlborough St, Portland, CT 06480, USA",http://campagnact.com/
Italian,Casa Mia On The Green,"600 Cold Spring Rd, Rocky Hill, CT 06067, USA",http://casamiact.com/
Italian,Viron Rondo Osteria,"1721 Highland Ave, Cheshire, CT 06410, USA",http://www.vironrondoosteria.com/
Italian,San Marino Ristorante Italiano,"111-23 Thomaston Ave, Waterbury, CT 06702, USA",http://sanmarinos.com/
Italian,Brio Italian Grille,"325 W Farms Mall, Farmington, CT 06032, USA",https://www.brioitalian.com/locations/westfarms-mall/?y_source=1_MTc1NjQxMjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Brazi's Italian Restaurant,"201 Food Terminal Plaza, New Haven, CT 06511, USA",http://www.brazis.com/
Italian,San Remo Restaurant & Pizzeria,"135 Main St N, Woodbury, CT 06798, USA",https://www.sanremorestaurant.net/
Italian,Buon Appetito Ristorante & Pizzeria,"386 Norwich-Westerly Rd, North Stonington, CT 06359, USA",https://buonappetitoristorante.com/
Italian,Cava,"1615 West St, Southington, CT 06489, USA",http://www.cavact.com/
Italian,La Tavola,"702 Highland Ave, Waterbury, CT 06708, USA",http://latavolaristorante.com/
Italian,Tre Scalini Restaurant,"100 Wooster St, New Haven, CT 06511, USA",http://www.trescalinirestaurant.com/
Italian,Aldo's Ristorante,"199 Park Rd Ext, Middlebury, CT 06762, USA",http://aldosct.com/
Italian,Verdi,"660 Park Rd, Waterbury, CT 06708, USA",http://www.verdiwaterbury.com/
Italian,Salute,"100 Trumbull St, Hartford, CT 06103, USA",http://www.salutehartford.com/
Italian,Sugo Trattoria,"1274 Farmington Ave, Farmington, CT 06032, USA",https://www.toasttab.com/sugotrattoria-1274-farmington-ave
Italian,Bella'Gio,"835 W Main St, Cheshire, CT 06410, USA",https://www.bellagioct.com/
Italian,Woodbury Pizza & Restaurant,"689 Main St S, Woodbury, CT 06798, USA",https://www.woodburypizzarestaurant.com/?utm_source=gbp
Italian,Villa Mulino,"136 Simsbury Rd Building 4A, Avon, CT 06001, USA",https://villamulinoristorante.com/
Spanish,Criollisimo Restaurant,"340 Arch St, New Britain, CT 06051, USA",http://www.criollisimorestaurant.com/
Spanish,Via Al Paraiso,"384 W Main St, Waterbury, CT 06702, USA",
Spanish,Terraza Latina,"438 Franklin Ave, Hartford, CT 06114, USA",http://orderterrazalatina.com/
Spanish,Spanish Food Restaurant,"1345 N Main St, Waterbury, CT 06704, USA",
Spanish,MofonGo Restaurant,"260 Main St, New Britain, CT 06051, USA",http://mofongorestaurant.com/
Spanish,La Borinqueña Restaurant,"466 S Main St, Waterbury, CT 06706, USA",http://www.laborinquenarestaurant.com/
Spanish,El Morivivi Restaurant,"1127 Pembroke St # 1, Bridgeport, CT 06608, USA",
Spanish,El Encanto Restaurant,"216 Hillside Ave # 1, Waterbury, CT 06710, USA",https://elencantorestaurantct.com/
Spanish,La Cazuela,"354 W Main St, Waterbury, CT 06702, USA",https://www.toasttab.com/la-cazuela-restaurant-lounge/v3?utm_source=google&utm_medium=organic&utm_campaign=gmb-oo-web
Spanish,Sazon con fuego,"82 W Main St, Meriden, CT 06451, USA",
Spanish,El Coquito,"510 E Main St, Bridgeport, CT 06608, USA",http://www.elcoquitoct.com/
Spanish,El Rincón Latino Restaurant,"81 W Main St, Meriden, CT 06451, USA",https://www.facebook.com/profile.php?id=100083306553818
Spanish,La Plazita Del Mofongo,"415A Broad St, Manchester, CT 06040, USA",http://la-plazita-del-mofongo.keeq.io/
Spanish,Prisci's Cocina,"515 Albany Ave, Hartford, CT 06120, USA",http://orderprisciscocina.com/
Spanish,Aqui Me Quedo Restaurant,"622 Park St, Hartford, CT 06106, USA",https://facebook.com/wilmaroh
Spanish,Mi Familia Restaurant,"365 Broad St, New London, CT 06320, USA",https://mifamilia365.com/
Spanish,Collado Restaurant,"698 Washington Ave, New Haven, CT 06519, USA",
Spanish,Negritas Restaurant,"80 W Main St, New Britain, CT 06051, USA",https://www.negritasrestaurant.com/
Spanish,La Azogueñita,"448 Center St, Meriden, CT 06450, USA",http://www.facebook.com/azoguenitadelirestaurant/
Spanish,olea,"39 High St, New Haven, CT 06510, USA",http://www.oleanewhaven.com/
American,American Steakhouse,"1170 E Main St, Meriden, CT 06450, USA",http://americansteakhouse.com/
American,Fork and Fire,"838 Farmington Ave, Farmington, CT 06032, USA",https://www.forkandfire.net/
American,Rooster Co.,"1076 Main St, Newington, CT 06111, USA",http://roostercompany.net/
American,Charcoal Chef,"670 Main St N, Woodbury, CT 06798, USA",https://thecharcoalchef.com/
American,Nick's Country Kitchen,"3G Flanders Rd, Bethlehem, CT 06751, USA",https://www.facebook.com/Nicks-Country-Kitchen-Bethlehem-CT-139198076130729/
American,The Traveler Restaurant,"1257 Buckley Hwy # I-84, Union, CT 06076, USA",https://www.facebook.com/Traveler-Restaurant-234049429993458/
American,Market Place Kitchen & Bar,"641 Main St S, Woodbury, CT 06798, USA",http://www.markethospitalitygroup.com/woodbury/
American,The Station Restaurant Bar,"195 Water St, Naugatuck, CT 06770, USA",http://www.thestation.online/
American,Maggie McFly's l Middlebury,"6 Woodside Ave, Middlebury, CT 06762, USA",http://www.maggiemcflys.com/
American,Rozzi's Restaurant,"265 Watertown Rd, Thomaston, CT 06787, USA",https://rozzisrestaurant.com/
American,The White Horse,"258 New Milford Turnpike, New Preston, CT 06777, USA",http://www.whitehorsecountrypub.com/
American,Edison Kitchen,"Inside the Opera House, 186 Greenwood Ave, Bethel, CT 06801, USA",http://www.edisonkitchenct.com/
American,Jesse Camille's Restaurant,"615 Church St, Naugatuck, CT 06770, USA",https://www.jessecamilles.com/
American,AmericanSoul Kitchen & Bar,"164 Scott St, Meriden, CT 06450, USA",https://www.americansoulkitchenbar.com/
American,Blue Colony Diner,"66 Church Hill Rd, Newtown, CT 06470, USA",http://www.bluecolonydiner.com/
American,Colony Diner & Restaurant,"611 N Colony Rd, Wallingford, CT 06492, USA",https://colonydiner.com/
American,Heirloom,"1157 Chapel St, New Haven, CT 06511, USA",http://www.heirloomnewhaven.com/
American,Community Table,"223 Litchfield Turnpike, New Preston, CT 06777, USA",https://communitytablect.com/
American,Texas Roadhouse,"330 Reidville Dr Unit 2, Waterbury, CT 06705, USA",https://www.texasroadhouse.com/locations/connecticut/waterbury?utm_source=listing&utm_medium=search
American,1741 Pub and Grill,"72 Lyman Rd, Middlefield, CT 06455, USA",https://1741pubandgrill.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile
British,Gruel Britannia,"2217 Post Rd, Fairfield, CT 06824, USA",http://www.gruelbritannia.com/
Thai,Patsara Thai,"528 Carnarvon St, New Westminster, BC V3L 1C4, Canada",https://www.patsara.ca/
Japanese,Sakura Garden Japanese Steakhouse,"120 Hebron Ave, Glastonbury, CT 06033, USA",http://www.sakuragardenglastonbury.com/
Japanese,Sushi Q Japanese Restaurant,"150 S Main St, Thomaston, CT 06787, USA",https://www.sushiqjapanesect.com/dzlt0xih/sushi-q-japanese-restaurant-thomaston-06787/order-online?utm_source=gmb&utm_medium=order
Japanese,Koma Japanese Steakhouse and Sushi,"345 N Main St, West Hartford, CT 06117, USA",https://www.komahibachict.com/
Japanese,Umami Japanese Restaurant,"172 Union St, Vernon, CT 06066, USA",http://www.umamict.com/
