Cuisine Type,Name,Address,Website
Mexican,Puerto Vallarta Newington,"2385 Berlin Tpke, Newington, CT 06111, USA",http://www.puertovallartausa.com/
Mexican,El Coyote Monroe,"838 Main Street F, CT-25, Monroe, CT 06468, USA",https://www.elcoyoteonect.com/
Mexican,La Casa Mania Mexican Restaurant & Bar,"50 Rapallo Ave, Middletown, CT 06457, USA",http://birriamaniafoodtruck.com/
Mexican,Loteria Mexican Restaurant,"1765 Meriden-Waterbury Turnpike, Milldale, CT 06479, USA",https://www.loteriamexicanrestaurant.com/
Mexican,Vegas Mexican Kitchen & Bar,"24 Railroad St, New Milford, CT 06776, USA",http://vegasmexican.com/
Mexican,Mexicano Restaurant Eben-Ezer,"277 S Main St, Torrington, CT 06790, USA",https://ebenezermexicano.com/
Mexican,Casa Oaxaca,"68 Stony Hill Rd, Bethel, CT 06801, USA",http://www.mycasaoaxaca.com/
Mexican,Los Garcia Mexican Fusion,"836 E Main St, Waterbury, CT 06705, USA",https://www.facebook.com/losgarciamexicanfusion/
Mexican,Puerto Vallarta Stamford,"230 Tresser Blvd H002, Stamford, CT 06901, USA",http://puertovallartausa.com/
Mexican,La Placita,"173 E Main St, Middletown, CT 06457, USA",
Mexican,Sayulita Restaurant,"865 Main St, South Glastonbury, CT 06073, USA",http://cantinasayulita.com/
Mexican,Don Rene Taqueria,"50 S Broad St, Milford, CT 06460, USA",http://www.donrenetaqueria.com/
Mexican,Señor Pancho's of Prospect,"280 Cheshire Rd, Prospect, CT 06712, USA",http://www.senorpanchos.com/
Mexican,La Catrina Restaurant,"240 Captain Thomas Blvd, West Haven, CT 06516, USA",https://www.lacatrinarestaurante.com/
Mexican,Puerto Vallarta Danbury,"98 Newtown Rd, Danbury, CT 06810, USA",http://puertovallartausa.com/
Mexican,Los Mariachis,"105 N Colony St, Wallingford, CT 06492, USA",https://www.losmariachisgrill.com/
Mexican,Mex Spot,"137 Connecticut Ave, Norwalk, CT 06854, USA",https://mexicanrestaurantnorwalk.com/
Mexican,Mazorca Mexican Cuisine LLC.,"1537 Dixwell Ave, Hamden, CT 06514, USA",http://www.mazorcamexicancuisine.com/
Mexican,Camacho Garage,"36 Fountain St, New Haven, CT 06515, USA",https://www.camachogarage.com/
Mexican,El Guanajuato Restaurante,"75 Bridge St, Willimantic, CT 06226, USA",https://elguanajuatorestaurantect.com/
Swedish,Scandinavian Gift Food Shop,"149 Rockville Rd, Broad Brook, CT 06016, USA",http://www.scandi-shoppe.com/
Swedish,Scandinavian Butik,"349 Main Ave, Norwalk, CT 06851, USA",http://scandinavianbutik.com/
Swedish,East Side Restaurant,"131 Dwight St, New Britain, CT 06051, USA",https://www.eastsiderestaurant.com/
Swedish,IKEA Restaurant,"450 Sargent Dr, New Haven, CT 06511, USA",https://www.ikea.com/us/en/stores/new-haven/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=new-haven
Swedish,Baltic Restaurant,"237 New Britain Rd, Berlin, CT 06037, USA",http://thebalticrestaurant.com/
Swedish,Nutmeg Restaurant and Banquet,"297 S Main St, East Windsor, CT 06088, USA",http://thenutmegct.com/
Swedish,Taste of Europe,"330 Westport Ave, Norwalk, CT 06851, USA",
Swedish,Stonebridge Restaurant,"50 Daniel St, Milford, CT 06460, USA",http://www.stonebridgerestaurant.com/
Swedish,The Mill on the River,"989 Ellington Rd, South Windsor, CT 06074, USA",https://www.themillontheriver.com/
Swedish,Esca Restaurant & Wine Bar,"437 Main St, Middletown, CT 06457, USA",http://escact.com/
Swedish,The Waters Edge at Giovanni's,"2748 Boston Post Rd Suite B, Darien, CT 06820, USA",http://www.watersedgeatgiovannis.com/
Swedish,Swyft,"3 Maple St, Kent, CT 06757, USA",http://orehillandswyft.com/
Swedish,Fork and Fire,"838 Farmington Ave, Farmington, CT 06032, USA",https://www.forkandfire.net/
Swedish,Oak and Almond,"544 Main Ave, Norwalk, CT 06851, USA",http://www.oakandalmond.com/
Swedish,Staropolska Restaurant,"252 Broad St, New Britain, CT 06053, USA",https://www.staropolska.net/
Italian,Violi's Restaurant,"688 Westfield Rd, Meriden, CT 06450, USA",https://www.violisrestaurant.com/
Italian,Campagna Restaurant,"151 Marlborough St, Portland, CT 06480, USA",http://campagnact.com/
Italian,Viron Rondo Osteria,"1721 Highland Ave, Cheshire, CT 06410, USA",http://www.vironrondoosteria.com/
Italian,Grano Arso,"6 Main St, Chester, CT 06412, USA",http://www.granoct.com/
Italian,Salute,"100 Trumbull St, Hartford, CT 06103, USA",http://www.salutehartford.com/
Italian,Verdi,"660 Park Rd, Waterbury, CT 06708, USA",http://www.verdiwaterbury.com/
Italian,Pasta Eataliana Trattoria Napoletana,"127 Wooster St, New Haven, CT 06511, USA",http://www.pastaeataliana.com/
