Cuisine Type,Name,Address,Website
Mexican,El torero Mexican restaurant,"1944 Rockbridge Rd SW #107, Stone Mountain, GA 30087, USA",http://eltorerostonemountain.com/
Italian,Osteria Povera,"2331 Clarke St, Port Moody, BC V3H 1Y9, Canada",https://www.povera.ca/
Italian,Claudio's Ristorante,"4402 Skyline Dr #103, Burnaby, BC V5C 0M7, Canada",http://www.claudiosristorante.ca/
Italian,L'Artista Italian Restaurant,"3891 Hastings St, Burnaby, BC V5C 2H7, Canada",
Italian,Poor Italian Ristorante,"3296 E 1st Ave, Vancouver, BC V5M 1B8, Canada",http://www.pooritalian.com/
Italian,Baci Ristorante,"3728 E Hastings St, Burnaby, BC V5C 2H5, Canada",http://www.bacirestaurant.ca/
Italian,La Piazza Dario,"3075 Slocan St, Vancouver, BC V5M 3E4, Canada",https://lapiazzadario.com/
Italian,Portobello Restaurant Burnaby,"4120 Hastings St, Burnaby, BC V5C 2J4, Canada",http://portobellorestaurant.ca/
Italian,Cioppino's Mediterranean Grill,"1133 Hamilton St, Vancouver, BC V6B 5P6, Canada",https://www.cioppinosyaletown.com/
Italian,Contos Pizza & Pasta,"521 WA-9, Lake Stevens, WA 98258, USA",http://contospizza.com/
Italian,Spiaggetta Restaurant,"9800 3rd Ave, Stone Harbor, NJ 08247, USA",http://www.spiaggettanj.com/
Italian,Sorella,"526 NW Coast St APT C, Newport, OR 97365, USA",http://www.sorellaitalian.com/
Italian,Fresca Trattoria,"1227 Rockbridge Rd SW Suite 114, Stone Mountain, GA 30087, USA",https://fresca-trattoria.com/
Spanish,España Restaurant,"1118 Denman St, Vancouver, BC V6G 2M8, Canada",http://www.espanarestaurant.ca/
American,Ledgestone Grille,"1600 Ledgestone Way, Reeds Spring, MO 65737, USA",http://ledgestonegrille.com/
British,Little Taste of Britain,"768 W 1425 N, Layton, UT 84041, USA",http://www.littletasteofbritain.net/
Thai,Thai Chef Eatery,"3355 North Rd, Burnaby, BC V3J 1M3, Canada",https://thaichefeatery.com/
Thai,Chada Thai Fine Cuisine,"2991 Lougheed Hwy. #107, Coquitlam, BC V3B 6J6, Canada",http://www.chadathai.ca/
Thai,Patsara Thai,"528 Carnarvon St, New Westminster, BC V3L 1C4, Canada",https://www.patsara.ca/
Thai,Thaigo,"4567 Lougheed Hwy., Burnaby, BC V5C 3Z6, Canada",https://broadwayfoodsgroup.ca/thaigo/
Thai,Siam Le Bien Thai Cuisine,"Siam Le Bien Thai Cuisine, 4217 Hastings St, Burnaby, BC V5C 2J5, Canada",http://www.siamlebien.com/
Thai,Chad Thai Restaurant,"4010 Hastings St, Burnaby, BC V5C 2H9, Canada",http://chadthai.ca/
Thai,Thai-Isaan Cuisine and Café,"1256 56 St, Delta, BC V4L 2A4, Canada",https://thaiisaancuisine.com/?fbclid=IwAR0-KiskeXoIk7po2S26O2sZP8FLkVql-bM2xRmH2ueA58RtiWgn7nTBp2w#menu
Thai,Green Basil,"4623 Kingsway, Burnaby, BC V5H 2B3, Canada",https://greenbasilthai.com/
Thai,Kin Dee Thai Bothell,"20611 Bothell Everett Hwy Ste A, Bothell, WA 98012, USA",https://www.kindeebothell.com/
Thai,Sweet Basil Asian Kitchen,"1227 Rockbridge Rd SW #210, Stone Mountain, GA 30087, USA",https://sweetbasilasiankitchen.kwickmenu.com/
Thai,Sabai Thai Kitchen,"19141 Stone Oak Pkwy #305, San Antonio, TX 78258, USA",https://www.sabaithaikitchen.com/
Thai,Twinkle Thai Restaurant,"7080 Kingsway, Burnaby, BC V5E 1E7, Canada",https://twinklethai.com/;
Japanese,Sushi Simagoya(작은 섬 생선초밥),"1102 Ewen Ave #103, New Westminster, BC V3M 5E3, Canada",http://sushisimagoya.ca/
