Cuisine Type,Name,Address,Website
Mexican,Taco Time,"2281 California St, Sutter, CA 95982, USA",
Mexican,EL CAMINO TAQUERIA,"1272 Colusa Ave D, Yuba City, CA 95991, USA",
Mexican,Los Charros Taqueria,"425 Colusa Ave, Yuba City, CA 95991, USA",
Mexican,Las Brasas Méxican Restaurant,"1529 Colusa Hwy, Yuba City, CA 95993, USA",https://lasbrasasyubacity.com/
Mexican,Casa Lupe Restaurants,"655 W Onstott Frontage Rd, Yuba City, CA 95991, USA",http://casalupetogo.com/
Mexican,Casa Carlos Restaurant & Cantina,"413 6th St, Marysville, CA 95901, USA",http://casacarlosrestaurant.com/
Mexican,Carlito's Méxican Restaurant,"885 Richland Rd, Yuba City, CA 95991, USA",https://carlitosyuba.com/
Mexican,El Zarape Restaurant,"1005 Stafford Way, Yuba City, CA 95991, USA",
Mexican,La Mexicana,"1265 Colusa Hwy H, Yuba City, CA 95991, USA",https://www.lamexicanayubacity.com/
Mexican,Veronica's Taqueria,"540 Bogue Rd, Yuba City, CA 95991, USA",
Mexican,Costa Vida,"1074 Harter Pkwy Suite 101-B, Yuba City, CA 95993, USA",https://www.costavida.com/locations/us/ca/yuba-city/1074-harter-rd/?utm_source=G&utm_medium=Local&utm_campaign=Google-Local&utm_source=G&utm_medium=Local&utm_campaign=Google-Local
Mexican,El Central Café | Méxican Restaurant,"427 Palora Ave, Yuba City, CA 95991, USA",
Mexican,La Grande Taqueria,"105 Garden Hwy, Yuba City, CA 95991, USA",
Mexican,Taqueria Guadalajara,"1380 Franklin Rd # A, Yuba City, CA 95993, USA",http://taqguad.wixsite.com/yubacity/contact-us
Mexican,Taqueria Cinco De Mayo,"4925 Olivehurst Ave, Olivehurst, CA 95961, USA",http://taqueria5demayo.com/?utm_source=gmb&utm_medium=referral
Mexican,"Los Portales Market, Carniceria y Taquería","441 Bridge St STE G, Yuba City, CA 95991, USA",
Mexican,Taqueria El Taco Naco,"968 Cooper Ave, Yuba City, CA 95991, USA",
Mexican,La Unica's Fresh Mex,"971 Gray Ave UNIT 1, Yuba City, CA 95991, USA",http://www.launicasfreshmex.com/
Mexican,Mariscos El Capitan,"112 Garden Hwy B #B, Yuba City, CA 95991, USA",https://www.mariscoselcapitanyubacity.com/
Mexican,Ciscos Taqueria,"301 3rd St, Marysville, CA 95901, USA",
Swedish,The Happy Viking,"741 Plumas St, Yuba City, CA 95991, USA",https://www.happyviking.net/
