Cuisine Type,Name,Address,Website
Mexican,Tacos Mexican Grill,"1255 Stuyvesant Ave. Store D, Union, NJ 07083, USA",https://www.beyondmenu.com/55184/union/tacos-mexican-grill-ii-union-07083.aspx?utm_source=gmb&utm_medium=website
Mexican,Grill Creations,"108 North Ave, Garwood, NJ 07027, USA",http://www.grillcreationsmexicanrestaurant.com/
Mexican,Taco88,"1412 Stuyvesant Ave., Union, NJ 07083, USA",http://uniontaco88.com/
Mexican,Bravos Mexican grills,"2504 Spruce St, Union, NJ 07083, USA",
Mexican,El Nacho’s Cantina Mexican Restaurant and Bar,"746 Carlton St, Elizabeth, NJ 07202, USA",https://www.elnachonj.com/
Mexican,El Popocatepetl,"201 Sheridan Ave, Roselle, NJ 07203, USA",https://www.popocatepetlnj.com/
Mexican,Las Pinatas Mexican Restaurant,"1752 Whittier St, Rahway, NJ 07065, USA",http://www.pinatasgrill.com/
Mexican,El Paso Tex-Mex Grill,"206 Centennial Ave, Cranford, NJ 07016, USA",
Mexican,Restaurant El Portal,"179 Elmora Ave, Elizabeth, NJ 07202, USA",
Mexican,QDOBA Mexican Eats,"2268 US-22, Union, NJ 07083, USA",https://locations.qdoba.com/us/nj/union/2268-us-highway-22-e.html
Mexican,Viva La Vida,"124 Chestnut St, Roselle Park, NJ 07204, USA",
Mexican,CHINA POBLANA MEXICAN RESTAURANT,"620 3rd Ave, Elizabeth, NJ 07202, USA",https://chinapoblananj.com/
Mexican,La Colina Mexican Cantina,"2 S Ave W, Cranford, NJ 07016, USA",https://lacolinanewjersey.com/
Mexican,La Malinche,"1588 Irving St, Rahway, NJ 07065, USA",https://www.doordash.com/store/la-malinche-restaurant-rahway-142270/en-US
Mexican,Ebenezer Mexican restaurant,"521 Westfield Ave W, Roselle Park, NJ 07204, USA",https://ebenezernj.net/?utm_source=gbp
Mexican,Los Compadres Mexican Restuarant,"313 Morris Ave, Elizabeth, NJ 07208, USA",
Mexican,La Cabaña,"901 Elizabeth Ave, Elizabeth, NJ 07201, USA",
Mexican,Bubbakoo's Burritos,"1350 Galloping Hill Rd, Union, NJ 07083, USA",https://www.bubbakoos.com/location/unionnj
Mexican,Taco Bell,"2704 US-22, Union, NJ 07083, USA",https://locations.tacobell.com/nj/union/2704-us-highway-22-e.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=039044&utm_content=website&y_source=1_NjE0NDY2Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Mami's Cocina,"449 N Wood Ave, Linden, NJ 07036, USA",http://instagram.com/mamiscocina_
Swedish,IKEA Restaurant,"1000 Ikea Dr, Elizabeth, NJ 07201, USA",https://www.ikea.com/us/en/stores/elizabeth/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=elizabeth
Swedish,Swedish Restaurant,"1 Beard St, Brooklyn, NY 11231, USA",
Swedish,Björk Cafe & Bistro,"58 Park Ave, New York, NY 10016, USA",http://www.bjorkcafe.com/
Swedish,The Vine & Oak Tavern,"100 S Ave E, Cranford, NJ 07016, USA",https://www.vineandoaktavern.com/
Swedish,Aquavit,"65 E 55th St, New York, NY 10022, USA",http://www.aquavit.org/
Swedish,Nordic Preserves Fish and Wildlife Company,"88 Essex St, New York, NY 10002, USA",http://www.nordicpreserves.org/
Swedish,Aska,"47 S 5th St, Brooklyn, NY 11249, USA",http://askanyc.com/
Swedish,SOUVLAQUERIA,"2701 Morris Ave, Union, NJ 07083, USA",http://souvlaqueria.com/
Swedish,Nostimo Mediterranean Greek Restaurant,"383 South Ave, Fanwood, NJ 07023, USA",https://www.nostimomediterranean.com/?utm_source=gbp
Swedish,IKEA Restaurant,"100 IKEA Dr, Paramus, NJ 07652, USA",https://www.ikea.com/us/en/stores/paramus/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=paramus
Latvian,Lagar Restaurant,"1252 Stuyvesant Ave., Union, NJ 07083, USA",http://lagarrestaurant.com/
Italian,Mario's Tutto Bene,"495 Chestnut St, Union, NJ 07083, USA",https://www.mariostuttobene.com/
Italian,Da Benito,"200 Walton Ave, Union, NJ 07083, USA",http://www.dabenito.com/
Italian,Sapore Di Italia,"101 N Union Ave, Cranford, NJ 07016, USA",https://saporediitalianj.com/
Italian,Mosaico,"1072 US-22, Mountainside, NJ 07092, USA",http://www.mosaico22.com/
Italian,Cioffi's Restaurant-Bar-Pizzeria,"929 Stuyvesant Ave., Union, NJ 07083, USA",https://www.cioffisfood.com/
Italian,Lorenzo's Fresh Italian Cooking,"117 Center St, Garwood, NJ 07027, USA",https://www.lorenzosfreshitaliancooking.com/?utm_source=gbp
Italian,Caetanos Cucina,"330 Monroe Ave, Kenilworth, NJ 07033, USA",
Italian,Il Gabbiano Restaurant,"10 S Ave W, Cranford, NJ 07016, USA",https://cranfordbistro.com/
Italian,Ciao Bello Restaurants,"220 S Ave E, Cranford, NJ 07016, USA",http://ciaobellorestaurant.com/?y_source=1_NDQ0NTI2MDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Piattino: A Neighborhood Bistro,"67 Union Pl, Summit, NJ 07901, USA",https://locations.ourotherbrands.villarestaurantgroup.com/en-us/piattino-oven-fired-pizza/nj/summit/67-union-pl/
Italian,Sofia's Fine Italian Cuisine Restaurant,"272 Morris Ave, Springfield, NJ 07081, USA",https://sofiasitalianrestaurant.com/
Italian,La Griglia Seafood Grill & Wine Bar,"740 Kenilworth Blvd, Kenilworth, NJ 07033, USA",http://www.lagriglia.com/
