Cuisine Type,Name,Address,Website
Mexican,Bordertown Mexican Grill,"538 Peace Portal Dr, Blaine, WA 98230, USA",https://bordertownmexicangrill.com/
Mexican,El Ranchito Family Mexican Restaurant,"8138 WA-539, Lynden, WA 98264, USA",
Mexican,Cancun Mexican Restaurant,"8874 Bender Rd STE 107, Lynden, WA 98264, USA",http://www.cancunmexrest.com/
Mexican,El Nopal Family Mexican Restaurant,"625 Cherry St, Sumas, WA 98295, USA",http://www.elnopalsumas.com/
Mexican,Marta's Cocina,"1710 Front St, Lynden, WA 98264, USA",https://martascocina.com/
Mexican,My Little Mexico,"870 E Pole Rd, Lynden, WA 98264, USA",http://mylittlemexiconw.com/
Mexican,Sol De Mexico Family Mexican Restaurant,"1120 Lakeway Dr, Bellingham, WA 98229, USA",https://soldemexicofamilymexicanrestaurantwa.com/
Mexican,Mi Mexico,"241 Telegraph Rd, Bellingham, WA 98226, USA",
Mexican,El Rinconcito Mexican Restaurant,"2416 Yew St, Bellingham, WA 98229, USA",https://www.elrinconcitobellingham.com/
Mexican,El Agave Mexican Restaurant,"207 N Samish Way, Bellingham, WA 98225, USA",http://elagaverestaurant.net/
Mexican,Señor Lopez Mexican Restaurant,"1200 Cornwall Ave, Bellingham, WA 98225, USA",http://senorlopezmex.com/
Mexican,El Agave Mexican Restaurant,"4 Clubhouse Cir, Bellingham, WA 98229, USA",http://elagaverestaurant.net/
Mexican,El Gitano Mexican Restaurant,"624 E Fairhaven Ave, Burlington, WA 98233, USA",https://www.elgitano.net/
Mexican,La Gloria Market,"4140 Meridian St, Bellingham, WA 98226, USA",http://lagloriamarket.com/
Mexican,El Gitano,"1125 E Sunset Dr, Bellingham, WA 98226, USA",http://www.elgitano.net/
Mexican,Playa Bonita Mexican Restaurant,"206 E Stanley St, Granite Falls, WA 98252, USA",http://playabonitarestaurant.com/
Mexican,Mestizo Mexican Family Restaurant,"617 Metcalf St, Sedro-Woolley, WA 98284, USA",http://mestizomexican.com/
Mexican,Paraiso Mexican Restaurant,"3611 168th St NE, Arlington, WA 98223, USA",https://paraiso-mexican-restaurant.com/
Mexican,Jalapeños Barkley Village,"2945 Newmarket St, Bellingham, WA 98226, USA",http://www.jalapenos-wa.com/
Mexican,Azteca Mexican Restaurants,"15704 Mill Creek Blvd #1, Mill Creek, WA 98012, USA",http://www.aztecamex.com/
Italian,Syros Greek & Italian Restaurant,"311 Front St, Lynden, WA 98264, USA",http://www.syrosgreekrestaurants.com/
Italian,Storia Cucina,"109 Grand Ave suite 102, Bellingham, WA 98225, USA",http://www.storiacucina.com/
Italian,Il Granaio Authentic Italian Restaurant,"100 W Montgomery St #110, Mount Vernon, WA 98273, USA",http://www.granaio.com/
Italian,Sliced,"70 Bellis Fair Pkwy, Bellingham, WA 98226, USA",https://www.sliced.biz/
Italian,D'Anna's Cafe Italiano,"1319 N State St, Bellingham, WA 98225, USA",http://dannascafeitaliano.com/
Italian,Veneto Italian Restaurant,"9468 Silverdale Way NW, Silverdale, WA 98383, USA",http://venetoitalianrestaurant.com/
Italian,Rifugio's Country Italian Cuisine,"5415 Mt Baker Hwy, Deming, WA 98244, USA",http://ilcafferifugio.com/
Italian,Nonna Luisa Ristorante,"314 Commercial Ave, Anacortes, WA 98221, USA",
Italian,Fiamma Pizza,"200 E Chestnut St, Bellingham, WA 98225, USA",http://www.lafiamma.com/
Italian,Sahara Pizza,"8115 Birch Bay Square St Suite 121, Blaine, WA 98230, USA",https://saharapizza.hungerrush.com/Order/Menu/1008
Italian,Calabria Ristorante Italiano,"3922 148th St SE #111, Bothell, WA 98012, USA",https://www.calabriamillcreek.com/
Italian,Bacco Trattoria Italiana,"9323 Martin Way E STE 108A, Olympia, WA 98516, USA",http://baccotrattoriaitaliana.com/
Italian,Nicko's Grotto,"232 Taylor St, Port Townsend, WA 98368, USA",https://nickosgrotto.com/contact-us
Italian,Pasta Nova Italiano,"17310 140th Ave NE, Woodinville, WA 98072, USA",http://www.pastanovaitaliano.com/
Italian,Paolo's Italian Restaurant,"23810 104th Ave SE, Kent, WA 98031, USA",http://www.paolositalian.com/
Italian,Il Siciliano Ristorante Italiano,"1118 Myrtle Ave, Enumclaw, WA 98022, USA",http://ilsicilianoristoranteitaliano.com/
Italian,Mondello Italian Restaurant,"2425 33rd Ave W #3, Seattle, WA 98199, USA",http://www.mondelloristorante.com/
Italian,Amarone Ristorante and Bar,"1084 NE Park Dr, Issaquah, WA 98029, USA",http://www.amaroneristorantebar.com/
Italian,Amici Italian Eatery,"9807 224th St E #100, Graham, WA 98338, USA",http://iloveamici.com/
Italian,Macaluso's Italian Restaurant,"5101 N Pearl St, Ruston, WA 98407, USA",https://macalusositalianrestaurant.com/
Spanish,Como Taperia,"201 E 7th Ave, Vancouver, BC V5T 0B4, Canada",https://www.comotaperia.com/
Spanish,España Restaurant,"1118 Denman St, Vancouver, BC V6G 2M8, Canada",http://www.espanarestaurant.ca/
Spanish,Castilla Restaurant and Tapas Bar,"504 Bellevue Square, Bellevue, WA 98004, USA",https://www.castillarestaurant.com/
Spanish,La Boqueria Tapas and Pintxos Bar,"291 E Pender St, Vancouver, BC V6A 1T8, Canada",http://www.boqueria.ca/
Spanish,El Ranchito Family Mexican Restaurant,"8138 WA-539, Lynden, WA 98264, USA",
Spanish,Marta's Cocina,"1710 Front St, Lynden, WA 98264, USA",https://martascocina.com/
Spanish,La Gloria Market,"4140 Meridian St, Bellingham, WA 98226, USA",http://lagloriamarket.com/
Spanish,El Gitano,"1125 E Sunset Dr, Bellingham, WA 98226, USA",http://www.elgitano.net/
Spanish,Sol De Mexico Family Mexican Restaurant,"1120 Lakeway Dr, Bellingham, WA 98229, USA",https://soldemexicofamilymexicanrestaurantwa.com/
Spanish,Mi Mexico,"241 Telegraph Rd, Bellingham, WA 98226, USA",
American,North Fork Kitchen at The Bush House Inn Restaurant,"305 5th St, Index, WA 98256, USA",https://northforkkitchen.com/
American,Washington Dining & Cocktails,"900 Northwest Mount Washington Drive, Bend, OR 97703, USA",http://washingtonbend.com/
American,Cracker Barrel Old Country Store,"1008 Trinity Cir, Washington, PA 15301, USA",https://www.crackerbarrel.com/Locations/States/pa/washington/441/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl
American,The SpringHouse Country Market and Restaurant,"1531 PA-136, Washington, PA 15301, USA",http://www.springhousemarket.com/
American,Old Hich'en Post Restaurant,"10565 NW Glencoe Rd, North Plains, OR 97133, USA",
American,The Union Grill,"13 E Wheeling St, Washington, PA 15301, USA",https://www.theuniongrill.com/
American,Eat'n Park,"320 Oak Spring Rd, Washington, PA 15301, USA",https://locations.eatnpark.com/pa/washington/restaurants-55.html
