Cuisine Type,Name,Address,Website
Mexican,Picante's South West Mexican Grill,"227 Main St, Lakeville, CT 06039, USA",http://www.picanteslakeville.com/
Mexican,El Paso Mexican Restaurant llc,"6 E Main St, Plainville, CT 06062, USA",http://www.elpasorestaurantct.com/
Mexican,On The Border Mexican Grill & Cantina,"220 Indian River Rd, Orange, CT 06477, USA",https://www.ontheborder.com/locations/orange/
Mexican,Huasteca Mexican Restaurant Ct,"555 Day Hill Rd, Windsor, CT 06095, USA",
Mexican,La Casita Mexican Restaurant & Cantina,"9 Church St, Naugatuck, CT 06770, USA",https://www.lacasitact.com/
Mexican,Señor Pancho's of Prospect,"280 Cheshire Rd, Prospect, CT 06712, USA",http://www.senorpanchos.com/
Mexican,Mexico Tipico Authentic Mexican Cuisine,"1061 Boston Post Rd, Milford, CT 06460, USA",http://www.mexicotipicoct.com/
Mexican,Salsa's Southwest Grill 1,"2211Meriden, Waterbury Turnpike, Marion, CT 06444, USA",http://salsastakeout.com/
Mexican,Acapulcos Mexican Family Restaurant & Cantina,"61 Palomba Dr, Enfield, CT 06082, USA",https://acapulcos.net/mexican-restaurant-locations/enfield-ct/
Mexican,Sarapes Restaurant,"95 High St, Enfield, CT 06082, USA",https://sarapesrestaurant.com/
Mexican,Fiesta Mexicana,"520 Hartford Turnpike, Vernon, CT 06066, USA",http://fiestamexicanavernon.com/
Mexican,Mexican Grill Dayville,"1086 N Main St, Dayville, CT 06241, USA",https://www.mexicangrilldayvillect.com/
Mexican,Señor Pancho's Mexican Restaurant,"385 Main St S, Southbury, CT 06488, USA",http://www.senorpanchos.com/
Mexican,Mazatlán Mexican Grill and Bar,"2 Corporate Dr, Windsor Locks, CT 06096, USA",http://www.mazatlangrill.co/
Mexican,Tequila Rio: Mexican Cantina,"100 Great Meadow Rd, Wethersfield, CT 06109, USA",http://tequilario.com/
Mexican,Baja's,"63 Boston Post Rd, Orange, CT 06477, USA",http://bajasmexicanrestaurant.godaddysites.com/
Mexican,El Coyote,"129 Danbury Rd #6, New Milford, CT 06776, USA",https://www.elcoyoterestaurant.com/
Mexican,Puerto Vallarta Avon,"15 W Avon Rd, Avon, CT 06018, USA",http://www.puertovallartausa.com/
Mexican,Puerto Vallarta Orange,"377 Boston Post Rd, Orange, CT 06477, USA",http://www.puertovallartausa.com/
Mexican,Puerto Vallarta Danbury,"98 Newtown Rd, Danbury, CT 06810, USA",http://puertovallartausa.com/
Swedish,IKEA Restaurant,"450 Sargent Dr, New Haven, CT 06511, USA",https://www.ikea.com/us/en/stores/new-haven/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=new-haven
Swedish,Scandinavian Gift Food Shop,"149 Rockville Rd, Broad Brook, CT 06016, USA",http://www.scandi-shoppe.com/
Swedish,East Side Restaurant,"131 Dwight St, New Britain, CT 06051, USA",https://www.eastsiderestaurant.com/
Swedish,Baltic Restaurant,"237 New Britain Rd, Berlin, CT 06037, USA",http://thebalticrestaurant.com/
Swedish,Oak and Almond,"544 Main Ave, Norwalk, CT 06851, USA",http://www.oakandalmond.com/
Swedish,Scandinavian Butik,"349 Main Ave, Norwalk, CT 06851, USA",http://scandinavianbutik.com/
Swedish,Staropolska Restaurant,"252 Broad St, New Britain, CT 06053, USA",https://www.staropolska.net/
Italian,Grano Arso,"6 Main St, Chester, CT 06412, USA",http://www.granoct.com/
Italian,Viron Rondo Osteria,"1721 Highland Ave, Cheshire, CT 06410, USA",http://www.vironrondoosteria.com/
Italian,Trattoria Toscana,"706 Hartford Rd, Manchester, CT 06040, USA",https://www.trattoriatoscanact.com/
