cuisine,name
Hot Pot,Gokudo Shabu Shabu-Burnaby
Lounges,Burnaby Mountain Clubhouse
Hot Pot,ChoCho Hot Pot
Korean,Han Sang
Japanese,STEM Japanese Eatery
Vietnamese,Little Minh's
Barbeque,Northern BBQ & Beer Bar
Korean,Na-Re Korean Kitchen
Hot Pot,Pot Empire
Singaporean,Singapore Hawker
Korean,Sooda Korean BBQ
Singaporean,bibik's
Korean,88 Noodle House
Chinese,The Bao Place
Steakhouses,Atlas Steak + Fish
Canadian (New),22's Grill
Vietnamese,White Lotus Cafe
Japanese,Tendon Kohaku
Hot Pot,Big Way Hot Pot
Thai,Siam Le Bien
Barbeque,Tenen
Salad,Birdies
Lebanese,Wild Thyme
Sushi Bars,Green Leaf Cafe
Bakeries,La Saison de Patisserie
Italian,Henry's Kitchen Pasta & Grill
Korean,Masita Korean Cuisine
Taiwanese,No.1 Beef Noodle House
Ramen,Maruhachi Ra-men
Breakfast & Brunch,The Gray Olive Cafeteria
Japanese,Katsuya
Dim Sum,Shanghai Dimsum House
Buffets,Secret Garden Korean Fusion Buffet & Grill
Taiwanese,The One Restaurant
Coffee & Tea,Old Farmhouse Kitchen
Pizza,Geppetto pizza
Chinese,SOJU
Bars,Time & Place Kitchen I Bar
Chinese,MaMa Rich
Italian,Claudio's
Beer Bar,The Magnet
Vietnamese,The Viet Noodle Guy
Italian,Artusi Restaurant
Japanese,Tendon Kohaku
Japanese,Taku Japanese Kitchen
Sushi Bars,Sushi Modo
Vietnamese,Pho Super Bowl Burnaby
Hong Kong Style Cafe,Fat Boy Kitchen
Donuts,La Forêt - Royal Oak
Taiwanese,Aroma Eatery
Seafood,Grand Neptune Seafood Restaurant
Ramen,Kokoro Tokyo Mazesoba
Breakfast & Brunch,OEB Breakfast Co
Breakfast & Brunch,1003 Brunch & Dessert
Sushi Bars,Takara Sushi
Korean,Sooda Korean BBQ
Hot Pot,The Dolar Shop - Station Square
Chinese,Micha
Noodles,Wang's Shanghai Cuisine
Food Stands,Five Loaves Two Fish
Japanese,Sumo Grill
Sushi Bars,Okeya Kyujiro
Chinese,Roadside spicy pot
Seafood,Kuanzhai Road Restaurant
Hong Kong Style Cafe,Happy Valley Food City
Burgers,Astro's Kitchen
Chinese,Gaon  Korean Cuisine
Breakfast & Brunch,Fraser Park Restaurant
German,The Tannenbaum Restaurant
Bakeries,Tokyo Mithaiwala
Korean,Kook Korean BBQ
Korean,#CHIBOP
Chinese,MYST Asian Fusion
Chinese,Joojak Restaurant
Halal,Anatolia's Gate Restaurant
Korean,DooBoo
Korean,Bambada
Mongolian,Mongo Bongo
Thai,Chad Thai
Breakfast & Brunch,Villa Bistro
German,Jägerhof Restaurant
Food Delivery Services,852 Kitchen
French,Gary's
Japanese,Nobi Nobi
Burmese,Amay’s House
Korean,Mama's Rice Bowl
Cocktail Bars,Cactus Club Cafe
Malaysian,Green & Oak Malaysian Restaurant
Burgers,Gordon Ramsay Burger
Malaysian,My Kitchen
Pizza,Scratch Kitchen
Chinese,One More Szechuan Chinese Cuisine
Persian/Iranian,Noon & Reyhoon
Ethiopian,Abyssinia Ethiopian Restaurant
Sushi Bars,Kimbap Cheonguk
Mexican,Don Oso
Singaporean,Singapore Hawker
Greek,Olove Greek Kitchen
Canadian (New),Fable Kitchen
Tapas Bars,VV Tapas Lounge
Canadian (New),The Flying Pig
Mexican,El Comal
Japanese,Saku
Canadian (New),JOEY Shipyards
Noodles,Hei Hei Rice Roll
Japanese,Motonobu Udon
Chinese,Preference Noodle House
Sports Bars,Momo n Wings
Chinese,Fish With You
Indonesian,Peranakan Kitchen
Korean,Oh! Zzhu Sam
Canadian (New),Acqua Restaurant & Bar
Arabic,Arbab Kabab House
Italian,Trattoria
Japanese,Saku
Burgers,BIN 4 Burger Lounge
Desserts,Parker Rooftop
Korean,Nadri
Mexican,Taqueria
Japanese,Kingyo
Korean,Onggi Korean Cusine
Beer Bar,Sector 7 Kitchen + Bar
Korean,Chicko Chicken Korean Style
Afghan,Afghan Turkish Cuisine
Vietnamese,Pho Tan’s
Noodles,Fat Mao Noodles
Italian,Robba Da Matti
Pizza,Wild Flour Pizza
Chinese,Beijing BBQ House
Thai,Lhy Thai Restaurant
Italian,InGrain Pastificio
Mexican,La Taqueria
Sandwiches,Banh Mi Bar Restaurant
Korean,Kosoo
Pizza,SOCRATES in the Heights
Japanese,Kishimoto Japanese Kitchen
Hong Kong Style Cafe,Cha Kee
Korean,Todak Todak
Chinese,Kwan Luck Restaurant
Ramen,Kokoro Tokyo Mazesoba
Dim Sum,Seaport City Seafood Restaurant
Barbeque,Lu Lu BBQ
Persian/Iranian,Suren
Indian,Tasty Indian Bistro
Diners,Norland Grill
Pizza,Sopra Sotto
Peruvian,El Inka Latin Deli
Vietnamese,Lunch Lady
Breakfast & Brunch,Bruncheria
Japanese,Guu with Garlic
Dim Sum,Colour See See
Italian,Basil Pasta
Hot Pot,Yu Shang Hot Pot
Belgian,The Spud Shack Fry
Pancakes,Kim's Korean Waffles and Pancakes
Korean,Hanwoori Korean Restaurant
Sandwiches,Saigon Bites
Caribbean,D Roti Shak
Vietnamese,Viet Mama Cafe
Korean,So Hyang Korean Cuisine
Coffee & Tea,Milk & Honey Café
Singaporean,Shiok
Bistros,The Second Floor Bistro
Chicken Shop,CM Chicken
Indian,Cayenne Bistro & Grill
Italian,Piva Modern Italian
Dive Bars,Jackalope's Neighbourhood Dive
Seafood,Hart House Restaurant
Seafood,The Fish Man
Pizza,Argo Greek Cuisine Pizza Pasta
American,Scallions Bistro
Korean,Ramengers Feat. Smoking pig
Italian,La Forchetta
Chinese,Dumpling House
Lebanese,Mazahr Lebanese Kitchen
Korean,Nonhyun Chicken Hot Pot
Korean,Bukchigo Jangguchigo
Dim Sum,Neptune Palace Seafood Restaurant
Korean,350F Chicken
Indian,Kurry Wala
Bakeries,Kozak Ukranian Eatery
Vietnamese,Pho Den
Vietnamese,Bun Rieu Phuong Nam
French,Alouette Bistro
Seafood,Fanny Bay Oyster Bar & Shellfish Market
Barbeque,Paramount BBQ
Chinese,Nice Meating You BBQ
Pizza,Kinemi's Kitchen
Breakfast & Brunch,Pür & Simple
Canadian (New),Elephant
Mexican,Tacofino Burrito Bar
French,Tour De Feast
Coffee & Tea,La Forêt
Canadian (New),Riverway Clubhouse Restaurant
Taiwanese,JoJu Tofu Hotpot & Bubble Tea
Ramen,Ramen Danbo
German,The Old Bavaria Haus
Italian,Mangia E Bevi Ristorante
Japanese,Saku
Barbeque,Marble House Eatery
Vietnamese,H&P Noodle House
Cambodian,Phnom Penh
Korean,Pelicana Chicken
Hakka,Chili Pepper House
Italian,Mintara
Dim Sum,Happy Noodle House
Thai,Longtail Kitchen
Gastropubs,Straight and Marrow
Peruvian,Suyo Modern Peruvian
Singaporean,Shiok Singapore Cuisine
Mexican,Border Burrito
Fish & Chips,Chefhyve
Seafood Markets,Sing Lobster
Canadian (New),Arms Reach Bistro
Japanese,Shoku
Barbeque,Butchers Block BBQ
Steakhouses,The Keg Steakhouse + Bar
Cantonese,Dak Mai
Wine Bars,Bar Corso
Korean,Chuihong
Sushi Bars,Salmon Wave
Fast Food,Super Smash Burgers
Indian,Sula
Fish & Chips,Float 30
Chinese,Dumpling King
Italian,Orto Artisan Pasta
Korean,ARISU Authentic Korean BBQ
Asian Fusion,Holy Chow
Burmese,Laksa King
Donairs,Zaaki Cuisine
African,Simba’s Grill
Indian,Chettinad Dosa Palace
Italian,In Vacanza Pastificio
Chinese,Tiny Kitchen
Breakfast & Brunch,Earl's Kitchen + Bar
Hot Pot,Grandma Liu Hot Pot
Lebanese,Manoush'eh
Japanese,Hello Nori 
Japanese,Ganbei Izakaya Japanese Restaurant
Cocktail Bars,The Red Accordion
Persian/Iranian,Mani
Caribbean,Kiss Yo Mama Jamaican Soul Food
Seafood,Corner 29
French,Les Faux Bourgeois
Sushi Bars,Kamamarui Ramen & Don
Korean,Mapo Pancake House
Sandwiches,Dip Co Delights
Ramen,Ramen Kounotori
Malaysian,John 3:16 Malaysian Delights
Canadian (New),The Cliff House
Korean,Hee Rae Deung
Cafes,Cafe Orso
French,Carthage Café
Breakfast & Brunch,Oneway Cafe
Bistros,Wildeye Bistro
Middle Eastern,Finch & Barley
Canadian (New),JOEY Coquitlam
Thai,Thai Chef
Asian Fusion,Don at Kitsilano
Korean,Arisu Korean BBQ
Ramen,Tenton
Canadian (New),AnnaLena
Taiwanese,Bliss Cafe
Seafood,Cockney Kings Fish & Chips
Portuguese,Barcelos Flame Grilled Chicken
Gastropubs,The Darkside
Burgers,IT Char Burger
Italian,Portobello Restaurant
Korean,Boom Beer
Soup,AKD Kitchen
Taiwanese,Glorious Bao
Asian Fusion,Michi Craft Kitchen
Seafood,Black Walnut
Taiwanese,Boiling Point
Coffee & Tea,Le Petit Café
Chinese,Crystal Cafe
Japanese,Wabukuro
Italian,Anton's Pasta Bar
Noodles,Gold Train Noodle House
Diners,Douce Diner
Thai,Khob Khun Thai Cuisine
Chinese,North Noodle House
Breakfast & Brunch,Just Waffles
Coffee & Tea,Bastion Coffee Kitchen
Caterers,Taste of Splendour
Canadian (New),Earls Kitchen + Bar
Japanese,Japanese Bistro Kamome
Burgers,Petite Bao
Cafes,Park Crest Diner
Ethiopian,Harambe Restaurant
Spanish,España Restaurant
Caribbean,Rehanah's Roti & Trinidadian
Cantonese,May Rice Roll & Congee
Chinese,Yunshang Rice Noodle House
Chicken Wings,Popeyes
Thai,Twinkle Thai
Vietnamese,B&D Authentic Viet Cuisine
