cuisine,name
Canadian (New),The Flying Pig
Japanese,Kingyo
Korean,Kosoo
Japanese,Miku
Korean,Sooda Korean BBQ
Canadian (New),Forage
French,Alouette Bistro
Cambodian,Phnom Penh
Seafood,Fanny Bay Oyster Bar & Shellfish Market
Dim Sum,Seaport City Seafood Restaurant
Noodles,Fat Mao Noodles
Chinese,Dinesty Dumpling House
Japanese,Guu with Garlic
Japanese,Saku
Dim Sum,Happy Noodle House
Japanese,Hello Nori 
Japanese,Tendon Kohaku
Beer Bar,The Magnet
Breakfast & Brunch,Medina Cafe
Cocktail Bars,The Red Accordion
French,Twisted Fork
Hot Pot,Yu Shang Hot Pot
Sushi Bars,Okeya Kyujiro
Canadian (New),Botanist
Canadian (New),Fable Kitchen
Lebanese,Manoush'eh
Japanese,Saku
Canadian (New),Cactus Club Cafe
Asian Fusion,Holy Chow
Belgian,Chambar
Breakfast & Brunch,Jam Cafe on Beatty
Canadian (New),JOEY Burrard
Japanese,Kokoro Tokyo Mazesoba
Seafood,Cardero's Restaurant & Marine Pub
Barbeque,Chinatown BBQ
Japanese,Marugame Udon
Italian,Robba Da Matti
Live/Raw Food,Nightingale
Vietnamese,Lunch Lady
Syrian,Yasma
Japanese,Wabukuro
Seafood,Blue Water Cafe
Cafes,Bread x Butter Cafe
Italian,Lupo
Italian,Zefferelli's
Sushi Bars,Tom Sushi
Seafood,Joe Fortes Seafood & Chop House
Canadian (New),AnnaLena
Italian,Tavola
Vietnamese,Linh Cafe
Comfort Food,Burgoo Bistro
Indian,Mount Everest Kitchen & Grill
Seafood,ChiuChow Seafood Restaurant
Breakfast & Brunch,OEB Breakfast Co. Yaletown
Asian Fusion,Jingle Bao
Indian,Sula
Noodles,Hokkaido Ramen Santouka
Korean,Mapo Pancake House
Japanese,Sake Dining HASHIGO by Zakkushi
Ramen,Ramen Danbo
Pubs,Alibi Room
Seafood,Riley's Fish & Steak
Seafood,Beach Ave Bar And Grill
Taiwanese,A.Bento
Breakfast & Brunch,Tap & Barrel - Bridges
Italian,Ask For Luigi
Desserts,Parker Rooftop
Japanese,Nobi Nobi
Japanese,Tokyo In April
Mediterranean,Nuba in Gastown
Canadian (New),JOEY Shipyards
Chinese,Bao Bei Chinese Brasserie
Tapas/Small Plates,Published On Main
