cuisine,name
Canadian (New),Little Jumbo
Fish & Chips,Red Fish Blue Fish
Italian,Il Terrazzo Ristorante
Seafood,Finn's Seafood Chops Cocktails
Canadian (New),Part and Parcel
Sushi Bars,Nubo Japanese Tapas
Asian Fusion,Little Yunnan Restaurant
French,Brasserie L'ecole
Seafood,Fishhook
Tapas/Small Plates,Bodega
Korean,Chimac Korean Pub & Fried Chicken
Asian Fusion,Block Kitchen + Bar
Chinese,Momi Noodle
Burgers,L'Authentique Poutine and Burgers
Brasseries,10 Acres Bistro
Breakfast & Brunch,Jam Cafe
Italian,Il Covo Trattoria
Seafood,Pagliacci's
Greek,Ithaka Greek Restaurant
Japanese,NUBO Kitchen + Bar
Breakfast & Brunch,Nourish In The Harbour
Dumplings,Chubby Dumpling
Asian Fusion,Bao
Chinese,The Cozy Place Restaurant
Breakfast & Brunch,John's Place
Seafood,Aura Waterfront Restaurant + Patio
Canadian (New),Fathom
Cafes,Farmhouse
Breakfast & Brunch,Blue Fox Cafe
Seafood Markets,The Fish Store
Breakfast & Brunch,The Ruby
Seafood,Nautical Nellies Steak & Seafood House
Japanese,ENe Raw Food and Sake Bar
Asian Fusion,Foo
Japanese,Yua Japanese Bistro
Mexican,MAiiZ Nixtamal
Bars,Ferris' Upstairs Seafood & Oyster Bar
Tapas/Small Plates,Perro Negro
Italian,La Pasta
Pizza,Virtuous Pie
Chinese,Ox King Noodles
Desserts,Eva Schnitzelhaus
Chicken Shop,Good Ovening
Pizza,Boom + Batten
Indian,Indian Aroma Restaurant
Seafood,The Courtney Room
Canadian (New),Hanks A Restaurant
Italian,Fiamo
Comfort Food,Fork'n Pork
Seafood,Blue Crab Seafood House
Breakfast & Brunch,Floyd’s Diner James Bay
Dumplings,Dumpling Drop
Japanese,Uchida Eatery / Shokudo
Seafood,Q at The Empress
Middle Eastern,Superbaba
Mediterranean,Fireside Grill
Canadian (New),Ugly Duckling
Breakfast & Brunch,Legislative Dining Room
Desserts,BeaverTails - Victoria
Tapas/Small Plates,The Drake Eatery
Wine Bars,Wind Cries Mary
Diners,Belleville's Watering Hole & Diner
Breakfast & Brunch,The Hallway
Sushi Bars,Taisho Japanese Grill And Bar
Mexican,Tacofino
Wine Bars,Stage
Indonesian,Ayo Eat
Seafood,10 Acres Commons
Korean,Xin Korean Reataurant
Breakfast & Brunch,Fuego Old Town Eatery
Korean,Chicken 649
Spanish,Chorizo & Co
Fish & Chips,Fisherman's Wharf
Sushi Bars,Marilena Cafe & Raw Bar
Irish Pub,Irish Times Pub
Asian Fusion,The Mint
Breakfast & Brunch,Jackalope Bistro
Vietnamese,Pho Tru
Seafood,Finest At Sea
Italian,Cafe Brio
Ramen,Ramen Arashi
Ethiopian,Messob Ethiopian Cuisine
"Beer, Wine & Spirits",CRAFT Beer Market - Victoria
Coffee & Tea,Tombo Eats
Cafes,Shanzee's Biscuit Cafe
Mediterranean,Mama Nadia's Kitchen
Diners,Frankie's Modern Diner
Chinese,Golden City Restaurant
Sushi Bars,Sushi Matsuri
Comfort Food,Meet On Blanshard
Comedy Clubs,Hecklers Bar & Grill
Pubs,Browns Socialhouse Uptown
Cafes,Breakwater
Breakfast & Brunch,The Ruby
Chinese,Wah Lai Yuen
Polish,Sult Pierogi Bar
Cafes,Frickin' Delights Donuts
Seafood,Shuck Taylor's
Italian,Topos Ristorante Italiano
Mexican,Mesa Familiar
Chinese,Beijing Bistro
Vietnamese,Le Petit Saigon Vietnamese Restaurant
Mediterranean,Al Barak Mediterranean Grill
Chinese,Fire Bowl Hot Pot 焰御火锅
Ramen,Ghost Ramen
Seafood,Lido Waterfront Bar & Bistro
Indian,Dosa Paragon
Sandwiches,Roast
Burgers,Leopold’s Tavern
Food Stands,Yalla Middle Eastern Cuisine
Chinese,Fan Tan Cafe
Tapas Bars,The Tapa Bar
French,Joie Grillades
Breakfast & Brunch,Spoons Diner
Himalayan/Nepalese,Tibetan Kitchen
Pizza,Pizzeria Prima Strada
American,5th Street Bar & Woodfire Grill
Cafes,Bear & Joey Cafe
Breakfast & Brunch,Little June
Chinese,Lum's Chinese Restaurant
Lounges,Cenote Restaurant and Lounge
Canadian (New),The Tartan Toque
Thai,Bangkok Modern Thai Cuisine
Cafes,Sedona Cafe and Lounge
Tapas/Small Plates,Bar 500 Eatery
Sushi Bars,Toro Bar & Bar
Seafood,The Keg Steakhouse + Bar
Seafood,LURE Restaurant & Bar
Korean,Sura Korean Cuisine
Canadian (New),Cactus Club Cafe
Pubs,Darcy's Pub Downtown
Wine Bars,Vis-à-Vis
Desserts,Tug Eatery
Bars,El Furniture Warehouse - Victoria
Vietnamese,Pho U
Indian,Namaste Indian Cuisine
Breakfast & Brunch,Heron Rock Bistro
Cafes,Roundhouse Café
Steakhouses,Victoria Harbour House Restaurant
Vietnamese,Alysa's Pho & Banh Mi
Cafes,Wheelies Motorcycle Cafe
Chicken Shop,Smile Chicken
Lounges,Glo Restaurant & Lounge
Wine Bars,The Collective - Wine Bar & Kitchen
Barbeque,Victoria BBQ House & Bakery
Canadian (New),Earls Kitchen + Bar
Seafood,Don Mee Seafood Restaurant
Bars,10 Acres Kitchen
Canadian (New),Splash Restaurant and Lounge
Canadian (New),Moxies
Seafood,Nowhere a Restaurant
Fast Food,La Belle Patate
Gastropubs,Superflux{Cabana}
Chinese,J & J Wonton Noodle House
Persian/Iranian,The Persian Grill House
Vegan,ReBar Modern Food
Italian,Zambri's
Italian,Lot 1 Pasta Bar
Thai,Thai Green Elephant Restaurant
Chinese,Frank's Honeybun Cafe
Tabletop Games,Interactivity Board Game Cafe
Barbeque,Jones Bar B Que
Thai,Sookjai Thai Restaurant
Cafes,The Grindstone Cafe
Food Stands,Benjo’s Tacos
Gluten-Free,Varsha Indian Kitchen
Cafes,The Sour Pickle Cafe
Thai,My Thai Cafe
Pizza,Victoria Pizza Company
Seafood,The Flying Otter
Poke,Island Poké
Japanese,Gozen
Breakfast & Brunch,The Oaks Restaurant
Breakfast & Brunch,Tractor Foods
Pubs,The Bent Mast
Ramen,Kuma Noodles Japan
Canadian (New),Fire & Water Fish and Chop House
Bakeries,QV Cafe & Bakery
Canadian (New),Crooked Goose Bistro
Korean,Han Korean Restaurant
Burgers,The Local
Seafood,Steamship Grill & Taphouse
Chinese,Hope Key
Chicken Shop,Pelicana Chicken - Victoria
Indian,Curry Club Victoria
Breakfast & Brunch,Cora's
Coffee & Tea,Artigiano
Mexican,Ricasalsa
Coffee & Tea,Caffe Fantastico
Cocktail Bars,Humboldt Bar
Wine Bars,Vista 18
Chinese,I Kyu Noodles
Wine Bars,Artisan Bistro
Japanese,Momo Sushi 
Hot Pot,Laila Laila Hotpot Restaurant
Pizza,Famoso Neapolitan Pizzeria
Japanese,Park's Kitchen
Mexican,La Taquisa
Vegan,Be Love
Mexican,Cafe Mexico
Vietnamese,Pho Vuong
Japanese,Ebizo Japanese Restaurant
Indian,Biryani Palace
Thai,Siam Thai Restaurant
Burgers,Bin 4 Burger Lounge
Korean,Thunderbird Korean Fried Chicken
Ethiopian,The Blue Nile African Restaurant
Pubs,Browns Socialhouse - Victoria Falls
Italian,The Old Spaghetti Factory
Korean,You-Know Korean Restaurant
Japanese,Chikara Sushi Japanese Restaurant
Canadian (New),Milestones
Pubs,Yates Street Taphouse
Dim Sum,Jade Fountain Restaurant
Latin American,La Fogata Latina Restaurants
Coffee & Tea,Rise & Grind
Cafes,Dosa Paragon
Chinese,Mr. Hotpot
Fast Food,Mom's Kitchen
Chicken Wings,Chicken On the Run
Japanese,Sen Zushi
Vietnamese,Green Leaf Bistro
Coffee & Tea,Picnic Too
Caribbean,Trini To D Bone
American,Jonathan's Restaurant
British,The Sticky Wicket
Chinese,Hunan Village Cuisine
Burgers,Yukatsu&uburger
Italian,Romeo's
Breakfast & Brunch,OEB Breakfast
Halal,Bold Shawarma
Chinese,Fountain Restaurant
Burgers,Bin 4 Burger Lounge
Thai,Baan Thai Restaurant
Sushi Bars,Kissako Sushi
Seafood Markets,Oak Bay Seafood
Sports Bars,Moxies
Pizza,Faro
Seafood,Coco Grill
Delis,Ottavio Italian Bakery & Delicatessen
Thai,Nohra Thai Kitchen
Chinese,Toishan Kitchen
Bakeries,My Way Bikery
Japanese,Sushi Story
Bars,The Fernwood Inn
Gluten-Free,Hearth
Seafood,Barb's Fish & Chips
Desserts,Wannawafel
Pubs,JR Slims
Sandwiches,Sandwich Corner
Mexican,La Taquisa
Indian,Spice Valley Indian Cuisine
Caribbean,Stir It Up
Food Trucks,Kattia’s Kitchen
Noodles,Noodle Fans
Syrian,Syriana
Ramen,Menbow Ramen Bar
Pizza,Brickyard Pizza
Pizza,Pirate Pizza
Vietnamese,Saigon Char-Broil
Cafes,The Nest Cafe
Southern,Lumber Jack’s
Cafes,2 Percent Jazz
Asian Fusion,The Tropical Island Restaurant
Indian,The Coriander
Chicken Wings,Boomtown
Japanese,"Sakura Sushi, Grocery and Japanese Restaurant"
Buffets,Wing's Restaurant
Vegetarian,Green Cuisine Vegetarian Restaurant
Food Trucks,Melt Truck
Mexican,Mexican Village
Chinese,Jack's Chinese Restaurant
Cafes,Fern Cafe and Bakery
Chinese,Szechuan Restaurant
Vietnamese,Saigon Char-Broil
Sushi Bars,Bon Sushi
Wine Bars,Rain Dogs Wine Bar
Bakeries,Lori's Take Away Cafe
Vietnamese,Vietnam Garden Restaurant
Steakhouses,Ribs & Bones
Burgers,Big Wheel Burger
Restaurants,Chez Michel Restaurant
Vietnamese,Ba Le Victoria
Japanese,Sushi Time Express
Fish & Chips,Haultain Fish & Chips
Japanese,Fudo Japanese Restaurant
Sushi Bars,Grace Sushi
Vietnamese,Vietnam House Restaurant
Pizza,The Joint Pizzaria & Deli
Cafes,Cafe Casa Nova
Mexican,Santiago's Cafe
Cafes,Cafe Zumzum
Canadian (New),Brentwood Bay Pub
Gastropubs,Christie's Carriage House Pub
Cafes,Joie French Cafe
Cafes,Tre Fantastico
Indian,Sizzling Tandoor
Soup,Hot and Cold Cafe
Korean,Koryo Korean BBQ
Mexican,La Taqueria
Coffee & Tea,Caffe Fantastico
Indian,Big Bite Samosa
Tapas/Small Plates,Tapas on Oak
Bakeries,Honeybun
Greek,Greek N Go
Fast Food,McDonald's
Breakfast & Brunch,West Coast Waffles
Japanese,Shizen Sushi Japanese Restaurant
Indian,Royal Spice
Breakfast & Brunch,Denny's
Poutineries,Maham & Pop's Donair Poutine
Delis,Italian Food Imports
Cafes,Olive Olio's
Chinese,The Red Kettle Restaurant
Delis,The Wooden Shoe
Delis,Sol Food Cafe and Deli
Cafes,Bon Appetit Cafe
Buffets,Lion's Den Restaurant
Sandwiches,The NOOK coffee & tea
Cafes,Marta Cafe and Pantry
Pizza,Domino's Pizza
Indian,Varsha
Japanese,The Poke Lounge
Indian,The Royal Tandoor
Mexican,Taco Stand Al Pastor
Korean,Dak
Gluten-Free,Benjamin's Bites
Chicken Shop,Hi Five Chicken
Poke,Steve's Poke Bar
Mediterranean,Med Grill Royal Oak
Food Stands,Finest At Sea Food Truck
Mexican,Puerto Vallarta Amigos
Pizza,Bubby Rose’s Bakery
Japanese,Cube Food Box
Indian,The Mantra Fine Indian Cuisine
Greek,OPA! of Greece Mayfair Centre
Italian,Windsor Cafe
Bistros,Uptown Bistro
Greek,The Village Taverna
