cuisine,name
Japanese,Nobi Nobi
Chinese,Micha
Noodles,Hei Hei Rice Roll
Chinese,Yunshang Rice Noodle House
Japanese,Katsu San
Japanese,Saku
Seafood,Kirin Seafood Restaurant
Seafood,The Fish Man
Bars,The Story Cafe
Japanese,Wasuta Pasta
Beer Bar,Sector 7 Kitchen + Bar
Seafood,The Shellfish Shack
Japanese,Ganbei Izakaya Japanese Restaurant
Chinese,Shanghai River
Hong Kong Style Cafe,Cha Kee
Barbeque,HK B.B.Q. Master
Japanese,Kingyo
Barbeque,Jjang Korean BBQ
Malaysian,John 3:16 Malaysian Delights
Malaysian,Nyonya House
Taiwanese,Rice Holic
French,Shoestring Cafe
Japanese,Guu with Garlic
Mediterranean,Lamajoun
Desserts,Sweet Memory
Noodles,Uno Beef Noodle
Chinese,Dinesty Dumpling House
Vietnamese,Tang Vietnamese Restaurant & Bar
Korean,Mr Bro Korean Bistro & Izakaya
Korean,Sooda Korean BBQ
Japanese,Kitcho Izakaya
Seafood,Bruno
Cantonese,Yin Ji Chang Fen
Chinese,Mui Kee Chicken Pot
Chinese,Tou Lok Kitchen
Dim Sum,Seaport City Seafood Restaurant
Ramen,Hokkaido Ramen Santouka
Cambodian,Phnom Penh
Dim Sum,Yuan's Garden Restaurant
Korean,Daan Korean Cuisine
Hot Pot,Big Way Hot Pot
Chinese,Haidilao - Richmond
Ramen,Hibiki Ramen Yakitori Bar
Canadian (New),The Flying Pig
Vietnamese,Bánh Mì Très Bon - Richmond
Japanese,Saku
Bars,Little Karp
Hong Kong Style Cafe,Fat Boy Kitchen
Comfort Food,Soup Curry Garaku Richmond
Chinese,Chuan Yue
Asian Fusion,Cherry's Food House
Seafood,Meet Oyster
Japanese,Edokko Nigiri Sushi
French,Missing Chopsticks
Taiwanese,Chj Bistro
Breakfast & Brunch,Toast to Coast Brunch Bar
Hot Pot,YUAN’S HOT POT
Chinese,Tasty BBQ & Beer Bar
Seafood,Broli Kitchen
Dim Sum,Happy Noodle House
Japanese,Tsujiri
Hot Pot,Xiaolongkan Hotpot
Chinese,The Bao Place
Canadian (New),Fable Kitchen
Seafood,Fisherman's Terrace Seafood Restaurant
Japanese,TSUJIRI
Sandwiches,Smokehouse Sandwich
Thai,Baan Lao Fine Thai Cuisine
Japanese,Sushi Hachi Japanese Restaurant
Japanese,Oretachi Curry
Dumplings,KungFu Dumpling
Korean,Kosoo
Chinese,Tian Shi Fu No. 3 Restaurant
Halal,Daddy's Grill
Cantonese,Hong Kong Flavor Restaurant
Barbeque,Jing Tan Grill House
Sushi Bars,Real Love BBQ Restaurant
Chinese,Happy Valley Village Restaurant
Singaporean,bibik's
Ramen,Maruhachi Ra-men
Beer Bar,The Magnet
Seafood,Hotpot Palace
Chinese,Maojiaohuola
Japanese,Marugame Udon
