origin,population
Canada,6995
Canada,60
Canada,4250
Canada,125
United States,2645
Canada,35735
Canada,10
Canada,55
Canada,10
Canada,0
Canada,30
"Other North American origins, n.o.c",50
United Kingdom,15
United Kingdom,0
United Kingdom,43350
Ireland,23045
United Kingdom,30
United Kingdom,30715
United Kingdom,3850
"British Isles origins, n.o.c",4225
France,0
France,0
France,0
France,15035
Austria,1995
Germany,0
Belgium,605
Netherlands,16735
Belgium,125
Netherlands,120
Germany,33375
Luxembourg,0
Switzerland,1185
Denmark,2385
Finland,1610
Iceland,925
Norway,5565
Sweden,4570
"Northern European origins, n.o.c ",495
Bulgaria,100
Belarus,75
Czech Republic,590
"Czechoslovakian, n.o.c",320
Estonia,235
Hungary,2600
Latvia,110
Lithuania,180
Moldova,15
Poland,5760
Romania,1265
Russia,7825
Slovakia,380
Ukraine,9525
"Eastern European origins, n.o.c",75
Albania,120
Bosnia,130
Spain,0
Croatia,365
Cyprus,25
Greece,755
Italy,4740
Kosovo,50
North Macedonia,15
Malta,130
Montenegro,0
Portugal,905
Serbia,150
Italy,10
Slovenia,145
Spain,1915
"Yugoslavian, n.o.c",180
"Southern European origins, n.o.c",0
Spain,30
Israel,410
Roma,20
"Slavic, n.o.c",25
"Other European origins, n.o.c",630
Antigua and Barbuda,25
The Bahamas,10
Barbados,60
Bermuda,0
Caribbean,0
Cuba,50
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,115
Jamaica,390
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,10
Saint Lucia,0
Trinidad and Tobago,115
Saint Vincent and the Grenadines,0
"West India, n.o.c",65
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),125
Arawak,0
Argentina,35
Belize,0
Bolivia,10
Brazil,250
Chile,115
Colombia,170
Costa Rica,35
Ecuador,35
Guatemala,120
Guyana,45
Hispanic,90
Honduras,45
Maya,0
Mexico,830
Nicaragua,50
Panama,0
Paraguay,315
Peru,70
El Salvador,520
Uruguay,15
Venezuela,50
"Central and South American origins, n.o.c",195
Akan,0
Angola,15
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,15
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,20
Guinea,0
Nigeria,10
Ivory Coast,10
Liberia,10
Mali,15
Malinké,0
Nigeria,75
Peulh,0
Senegal,0
Sierra Leone,0
Togo,10
Wolof,0
Nigeria,25
"Central and West African origins, n.o.c",25
Algeria,25
Berber,0
Coptic,0
Dinka,25
Egypt,55
Libya,0
Mauritania,0
Morocco,60
Sudan,135
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,10
Harari,0
Kenya,115
Madagascar,0
Mauritius,40
Oromo,0
Rwanda,10
Seychelles,0
Somalia,10
South Africa,380
Tanzania,20
Tigria,0
Uganda,10
Zambia,10
Zimbabwe,75
Zulu,0
"Southern and East African origins, n.o.c",100
"Black, n.o.c.",90
"Other African origins, n.o.c",850
Afghanistan,85
"Arab, n.o.c",75
Armenia,120
Assyrian,30
Azerbaijan,0
Georgia,0
Hazara,0
Iran,220
Iraq,120
Israel,70
Jordan,35
Kazakhstan,0
Kurdistan,25
Kuwait,0
Kyrgyzstan,10
Lebanon,155
Palestine,50
Pashtun,0
Saudi Arabia,20
Syria,125
Tajikistan,0
Tatar,25
Turkey,120
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,20
"West Central Asian and Middle Eastern origins, n.o.c",75
Bangladesh,0
Bangladesh,0
Bhutan,0
India,33340
India,10
India,0
India,0
Nepal,10
Pakistan,370
India,5245
Sri Lanka,30
Sri Lanka,100
India,20
"South Asian origins, n.o.c",430
Myanmar (Burma),10
Cambodia,90
China,3320
Philippines,2065
Hmong,0
Indonesia,110
Japan,730
Karen,0
South Korea,1525
Laos,470
Malaysia,70
Mongolia,20
Singapore,10
Taiwan,70
Thailand,175
China,0
Vietnam,1165
"East and Southeast Asian origins, n.o.c",55
"Other Asian origins, n.o.c",125
Australia,495
New Zealand,90
Fiji,315
United States,80
New Zealand,45
Samoa,45
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",15

































