origin,population
Canada,6590
Canada,140
Canada,3640
Canada,310
United States,2335
Canada,66185
Canada,10
Canada,410
Canada,25
Canada,15
Canada,25
"Other North American origins, n.o.c",10
United Kingdom,10
United Kingdom,20
United Kingdom,64780
Ireland,46215
United Kingdom,60
United Kingdom,47430
United Kingdom,4505
"British Isles origins, n.o.c",7145
France,40
France,0
France,10
France,23485
Austria,1290
Germany,15
Belgium,715
Netherlands,10880
Belgium,30
Netherlands,20
Germany,20720
Luxembourg,25
Switzerland,890
Denmark,1280
Finland,1565
Iceland,265
Norway,1310
Sweden,1325
"Northern European origins, n.o.c ",285
Bulgaria,170
Belarus,130
Czech Republic,645
"Czechoslovakian, n.o.c",185
Estonia,295
Hungary,2400
Latvia,500
Lithuania,560
Moldova,75
Poland,8020
Romania,885
Russia,2430
Slovakia,515
Ukraine,6660
"Eastern European origins, n.o.c",70
Albania,90
Bosnia,80
Spain,0
Croatia,925
Cyprus,15
Greece,1640
Italy,14460
Kosovo,0
North Macedonia,470
Malta,695
Montenegro,10
Portugal,4210
Serbia,295
Italy,70
Slovenia,385
Spain,2335
"Yugoslavian, n.o.c",400
"Southern European origins, n.o.c",15
Spain,30
Israel,570
Roma,25
"Slavic, n.o.c",15
"Other European origins, n.o.c",300
Antigua and Barbuda,20
The Bahamas,65
Barbados,275
Bermuda,55
Caribbean,30
Cuba,135
Dominican Republic,85
Grenada,70
Guadeloupe,0
Haiti,85
Jamaica,2630
Saint Kitts and Nevis,15
Martinique,0
Montserrat,0
Puerto Rico,15
Saint Lucia,45
Trinidad and Tobago,530
Saint Vincent and the Grenadines,100
"West India, n.o.c",380
"Caribbean origins, n.o.c",55
Aboriginal from Central/South America (except Arawak and Maya),115
Arawak,25
Argentina,265
Belize,0
Bolivia,0
Brazil,260
Chile,215
Colombia,380
Costa Rica,25
Ecuador,370
Guatemala,165
Guyana,695
Hispanic,40
Honduras,30
Maya,25
Mexico,305
Nicaragua,10
Panama,55
Paraguay,0
Peru,185
El Salvador,265
Uruguay,120
Venezuela,30
"Central and South American origins, n.o.c",60
Akan,0
Angola,30
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,25
Chad,0
DR Congo,0
Nigeria,10
Togo,0
Gabon,0
The Gambia,0
Ghana,100
Guinea,10
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,125
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,20
"Central and West African origins, n.o.c",10
Algeria,40
Berber,0
Coptic,15
Dinka,0
Egypt,220
Libya,10
Mauritania,0
Morocco,60
Sudan,0
Tunisia,15
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,15
Harari,0
Kenya,110
Madagascar,0
Mauritius,15
Oromo,0
Rwanda,35
Seychelles,0
Somalia,45
South Africa,260
Tanzania,10
Tigria,0
Uganda,10
Zambia,0
Zimbabwe,135
Zulu,0
"Southern and East African origins, n.o.c",50
"Black, n.o.c.",125
"Other African origins, n.o.c",790
Afghanistan,175
"Arab, n.o.c",140
Armenia,185
Assyrian,80
Azerbaijan,0
Georgia,10
Hazara,0
Iran,435
Iraq,160
Israel,160
Jordan,10
Kazakhstan,65
Kurdistan,15
Kuwait,0
Kyrgyzstan,0
Lebanon,475
Palestine,115
Pashtun,0
Saudi Arabia,15
Syria,135
Tajikistan,0
Tatar,50
Turkey,220
Turkmenistan,20
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",115
Bangladesh,40
Bangladesh,80
Bhutan,0
India,2525
India,15
India,20
India,0
Nepal,40
Pakistan,575
India,140
Sri Lanka,15
Sri Lanka,275
India,55
"South Asian origins, n.o.c",140
Myanmar (Burma),40
Cambodia,200
China,2705
Philippines,1565
Hmong,0
Indonesia,85
Japan,435
Karen,0
South Korea,610
Laos,110
Malaysia,40
Mongolia,35
Singapore,0
Taiwan,35
Thailand,20
China,0
Vietnam,625
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",35
Australia,240
New Zealand,110
Fiji,0
United States,15
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































