origin,population
Canada,4285
Canada,35
Canada,3180
Canada,10
United States,370
Canada,13620
Canada,0
Canada,15
Canada,0
Canada,10
Canada,0
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,10
United Kingdom,16665
Ireland,10325
United Kingdom,25
United Kingdom,14470
United Kingdom,1095
"British Isles origins, n.o.c",915
France,0
France,0
France,0
France,5685
Austria,565
Germany,0
Belgium,1325
Netherlands,2245
Belgium,80
Netherlands,0
Germany,8010
Luxembourg,15
Switzerland,190
Denmark,535
Finland,190
Iceland,875
Norway,1240
Sweden,1150
"Northern European origins, n.o.c ",120
Bulgaria,0
Belarus,35
Czech Republic,155
"Czechoslovakian, n.o.c",95
Estonia,0
Hungary,410
Latvia,65
Lithuania,85
Moldova,10
Poland,3650
Romania,255
Russia,1410
Slovakia,35
Ukraine,7930
"Eastern European origins, n.o.c",25
Albania,0
Bosnia,35
Spain,0
Croatia,45
Cyprus,0
Greece,115
Italy,600
Kosovo,0
North Macedonia,10
Malta,20
Montenegro,0
Portugal,225
Serbia,10
Italy,15
Slovenia,20
Spain,535
"Yugoslavian, n.o.c",45
"Southern European origins, n.o.c",0
Spain,0
Israel,75
Roma,15
"Slavic, n.o.c",10
"Other European origins, n.o.c",125
Antigua and Barbuda,0
The Bahamas,0
Barbados,10
Bermuda,0
Caribbean,0
Cuba,55
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,100
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,30
Saint Vincent and the Grenadines,0
"West India, n.o.c",25
"Caribbean origins, n.o.c",30
Aboriginal from Central/South America (except Arawak and Maya),90
Arawak,0
Argentina,0
Belize,0
Bolivia,20
Brazil,10
Chile,40
Colombia,450
Costa Rica,0
Ecuador,15
Guatemala,0
Guyana,0
Hispanic,85
Honduras,415
Maya,55
Mexico,160
Nicaragua,60
Panama,0
Paraguay,0
Peru,10
El Salvador,925
Uruguay,0
Venezuela,10
"Central and South American origins, n.o.c",125
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,10
Nigeria,10
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,155
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,30
"Central and West African origins, n.o.c",20
Algeria,0
Berber,0
Coptic,10
Dinka,0
Egypt,25
Libya,35
Mauritania,0
Morocco,0
Sudan,15
Tunisia,10
"North African origins, n.o.c",0
South Africa,0
Ethiopia,25
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,70
Ethiopia,270
Harari,0
Kenya,30
Madagascar,0
Mauritius,120
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,90
Tanzania,0
Tigria,10
Uganda,45
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",25
"Other African origins, n.o.c",305
Afghanistan,0
"Arab, n.o.c",55
Armenia,75
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,40
Iraq,0
Israel,15
Jordan,10
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,30
Palestine,30
Pashtun,0
Saudi Arabia,20
Syria,25
Tajikistan,10
Tatar,10
Turkey,25
Turkmenistan,0
China,0
Uzbekistan,10
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,10
Bangladesh,0
Bhutan,0
India,1255
India,0
India,25
India,0
Nepal,0
Pakistan,115
India,50
Sri Lanka,0
Sri Lanka,25
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),10
Cambodia,10
China,2075
Philippines,575
Hmong,0
Indonesia,30
Japan,65
Karen,0
South Korea,155
Laos,15
Malaysia,20
Mongolia,0
Singapore,0
Taiwan,0
Thailand,30
China,0
Vietnam,75
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",10
Australia,55
New Zealand,20
Fiji,0
United States,10
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































