origin,population
Canada,1505
Canada,35
Canada,520
Canada,90
United States,600
Canada,15955
Canada,0
Canada,15
Canada,0
Canada,0
Canada,10
"Other North American origins, n.o.c",10
United Kingdom,10
United Kingdom,0
United Kingdom,12360
Ireland,10590
United Kingdom,0
United Kingdom,9550
United Kingdom,710
"British Isles origins, n.o.c",1340
France,0
France,0
France,0
France,5585
Austria,125
Germany,0
Belgium,180
Netherlands,2845
Belgium,0
Netherlands,25
Germany,3475
Luxembourg,10
Switzerland,115
Denmark,180
Finland,95
Iceland,20
Norway,150
Sweden,195
"Northern European origins, n.o.c ",55
Bulgaria,15
Belarus,0
Czech Republic,90
"Czechoslovakian, n.o.c",45
Estonia,20
Hungary,95
Latvia,50
Lithuania,30
Moldova,0
Poland,840
Romania,70
Russia,105
Slovakia,50
Ukraine,605
"Eastern European origins, n.o.c",0
Albania,10
Bosnia,0
Spain,10
Croatia,30
Cyprus,0
Greece,175
Italy,980
Kosovo,0
North Macedonia,25
Malta,25
Montenegro,0
Portugal,55
Serbia,0
Italy,10
Slovenia,15
Spain,295
"Yugoslavian, n.o.c",0
"Southern European origins, n.o.c",0
Spain,0
Israel,110
Roma,10
"Slavic, n.o.c",0
"Other European origins, n.o.c",100
Antigua and Barbuda,0
The Bahamas,0
Barbados,15
Bermuda,15
Caribbean,0
Cuba,15
Dominican Republic,25
Grenada,0
Guadeloupe,0
Haiti,15
Jamaica,60
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,10
Saint Lucia,0
Trinidad and Tobago,35
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",25
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,0
Chile,0
Colombia,0
Costa Rica,10
Ecuador,0
Guatemala,0
Guyana,25
Hispanic,0
Honduras,0
Maya,0
Mexico,35
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,0
Uruguay,0
Venezuela,10
"Central and South American origins, n.o.c",10
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,10
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,15
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,15
Dinka,0
Egypt,30
Libya,0
Mauritania,0
Morocco,10
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,10
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,20
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,35
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",0
"Other African origins, n.o.c",0
Afghanistan,0
"Arab, n.o.c",0
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,45
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,55
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,40
Tajikistan,0
Tatar,0
Turkey,40
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,280
India,0
India,0
India,0
Nepal,0
Pakistan,60
India,0
Sri Lanka,0
Sri Lanka,45
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,340
Philippines,170
Hmong,0
Indonesia,10
Japan,10
Karen,0
South Korea,15
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,10
Thailand,10
China,0
Vietnam,60
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,70
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































