origin,population
Canada,3800
Canada,50
Canada,1175
Canada,40
United States,695
Canada,10395
Canada,0
Canada,35
Canada,0
Canada,0
Canada,10
"Other North American origins, n.o.c",0
United Kingdom,10
United Kingdom,10
United Kingdom,14450
Ireland,7490
United Kingdom,25
United Kingdom,10235
United Kingdom,1200
"British Isles origins, n.o.c",1000
France,15
France,0
France,10
France,4180
Austria,410
Germany,0
Belgium,170
Netherlands,1835
Belgium,25
Netherlands,0
Germany,6060
Luxembourg,10
Switzerland,320
Denmark,670
Finland,670
Iceland,355
Norway,2145
Sweden,1530
"Northern European origins, n.o.c ",275
Bulgaria,15
Belarus,10
Czech Republic,120
"Czechoslovakian, n.o.c",110
Estonia,75
Hungary,415
Latvia,35
Lithuania,60
Moldova,0
Poland,1380
Romania,160
Russia,965
Slovakia,65
Ukraine,2280
"Eastern European origins, n.o.c",10
Albania,0
Bosnia,10
Spain,0
Croatia,140
Cyprus,0
Greece,95
Italy,1025
Kosovo,0
North Macedonia,0
Malta,20
Montenegro,0
Portugal,175
Serbia,50
Italy,0
Slovenia,35
Spain,275
"Yugoslavian, n.o.c",45
"Southern European origins, n.o.c",0
Spain,0
Israel,80
Roma,25
"Slavic, n.o.c",10
"Other European origins, n.o.c",150
Antigua and Barbuda,0
The Bahamas,0
Barbados,15
Bermuda,0
Caribbean,0
Cuba,10
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,10
Jamaica,25
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,10
Belize,0
Bolivia,0
Brazil,0
Chile,120
Colombia,10
Costa Rica,10
Ecuador,0
Guatemala,0
Guyana,0
Hispanic,0
Honduras,10
Maya,10
Mexico,80
Nicaragua,0
Panama,0
Paraguay,10
Peru,0
El Salvador,25
Uruguay,10
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,10
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,20
Libya,0
Mauritania,0
Morocco,10
Sudan,25
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,10
Seychelles,0
Somalia,0
South Africa,95
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",10
"Other African origins, n.o.c",45
Afghanistan,0
"Arab, n.o.c",0
Armenia,10
Assyrian,0
Azerbaijan,0
Georgia,10
Hazara,0
Iran,25
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,70
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,0
Turkey,15
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,230
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,30
Sri Lanka,0
Sri Lanka,10
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),10
Cambodia,25
China,325
Philippines,470
Hmong,0
Indonesia,10
Japan,140
Karen,0
South Korea,80
Laos,0
Malaysia,0
Mongolia,10
Singapore,0
Taiwan,10
Thailand,20
China,0
Vietnam,150
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",20
Australia,150
New Zealand,70
Fiji,10
United States,10
New Zealand,10
Samoa,0
"Polynesian, n.o.c",15
"Pacific Islands origins, n.o.c",10

































