origin,population
Canada,680
Canada,10
Canada,540
Canada,15
United States,320
Canada,4595
Canada,0
Canada,0
Canada,0
Canada,15
Canada,0
"Other North American origins, n.o.c",10
United Kingdom,0
United Kingdom,0
United Kingdom,4790
Ireland,3620
United Kingdom,0
United Kingdom,3555
United Kingdom,365
"British Isles origins, n.o.c",330
France,0
France,0
France,0
France,2075
Austria,190
Germany,0
Belgium,85
Netherlands,1000
Belgium,15
Netherlands,0
Germany,4880
Luxembourg,0
Switzerland,170
Denmark,465
Finland,40
Iceland,85
Norway,2260
Sweden,1185
"Northern European origins, n.o.c ",165
Bulgaria,0
Belarus,10
Czech Republic,90
"Czechoslovakian, n.o.c",85
Estonia,15
Hungary,280
Latvia,0
Lithuania,10
Moldova,0
Poland,1280
Romania,115
Russia,380
Slovakia,35
Ukraine,2190
"Eastern European origins, n.o.c",10
Albania,0
Bosnia,0
Spain,0
Croatia,35
Cyprus,0
Greece,90
Italy,255
Kosovo,0
North Macedonia,0
Malta,20
Montenegro,0
Portugal,45
Serbia,30
Italy,10
Slovenia,10
Spain,120
"Yugoslavian, n.o.c",0
"Southern European origins, n.o.c",10
Spain,0
Israel,20
Roma,10
"Slavic, n.o.c",0
"Other European origins, n.o.c",50
Antigua and Barbuda,0
The Bahamas,0
Barbados,10
Bermuda,0
Caribbean,10
Cuba,0
Dominican Republic,20
Grenada,0
Guadeloupe,0
Haiti,10
Jamaica,105
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,10
Saint Vincent and the Grenadines,0
"West India, n.o.c",10
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,10
Belize,0
Bolivia,0
Brazil,15
Chile,0
Colombia,0
Costa Rica,0
Ecuador,0
Guatemala,10
Guyana,10
Hispanic,0
Honduras,0
Maya,0
Mexico,50
Nicaragua,20
Panama,0
Paraguay,0
Peru,0
El Salvador,15
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",15
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,25
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,15
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,15
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,15
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",0
"Other African origins, n.o.c",35
Afghanistan,0
"Arab, n.o.c",10
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,25
Iraq,35
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,25
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,150
India,0
India,0
India,15
Nepal,0
Pakistan,35
India,0
Sri Lanka,15
Sri Lanka,10
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,10
China,160
Philippines,670
Hmong,0
Indonesia,0
Japan,0
Karen,0
South Korea,30
Laos,30
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,20
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,25
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































