origin,population
Canada,7215
Canada,255
Canada,1675
Canada,995
United States,225
Canada,40150
Canada,0
Canada,395
Canada,60
Canada,10
Canada,0
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,23145
Ireland,22090
United Kingdom,0
United Kingdom,38055
United Kingdom,1530
"British Isles origins, n.o.c",955
France,0
France,0
France,0
France,16090
Austria,60
Germany,0
Belgium,505
Netherlands,1395
Belgium,10
Netherlands,0
Germany,3160
Luxembourg,0
Switzerland,45
Denmark,235
Finland,85
Iceland,10
Norway,395
Sweden,250
"Northern European origins, n.o.c ",90
Bulgaria,25
Belarus,10
Czech Republic,115
"Czechoslovakian, n.o.c",90
Estonia,0
Hungary,385
Latvia,30
Lithuania,230
Moldova,0
Poland,2325
Romania,140
Russia,295
Slovakia,70
Ukraine,1435
"Eastern European origins, n.o.c",35
Albania,0
Bosnia,0
Spain,0
Croatia,50
Cyprus,0
Greece,315
Italy,3605
Kosovo,0
North Macedonia,15
Malta,80
Montenegro,0
Portugal,205
Serbia,0
Italy,0
Slovenia,0
Spain,445
"Yugoslavian, n.o.c",45
"Southern European origins, n.o.c",0
Spain,15
Israel,50
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",140
Antigua and Barbuda,0
The Bahamas,0
Barbados,65
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,90
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,10
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",120
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,0
Chile,0
Colombia,10
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,0
Hispanic,0
Honduras,0
Maya,0
Mexico,30
Nicaragua,0
Panama,0
Paraguay,0
Peru,10
El Salvador,0
Uruguay,0
Venezuela,10
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,20
Burkina Faso,0
Cameroon,35
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,45
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,30
Berber,0
Coptic,0
Dinka,0
Egypt,15
Libya,10
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,10
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,10
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",10
"Black, n.o.c.",150
"Other African origins, n.o.c",495
Afghanistan,0
"Arab, n.o.c",120
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,20
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,10
Kuwait,40
Kyrgyzstan,0
Lebanon,925
Palestine,0
Pashtun,0
Saudi Arabia,25
Syria,130
Tajikistan,0
Tatar,0
Turkey,20
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,10
Bangladesh,0
Bhutan,0
India,165
India,0
India,0
India,0
Nepal,0
Pakistan,55
India,0
Sri Lanka,0
Sri Lanka,20
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,605
Philippines,130
Hmong,0
Indonesia,0
Japan,35
Karen,0
South Korea,50
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,10
"East and Southeast Asian origins, n.o.c",20
"Other Asian origins, n.o.c",30
Australia,20
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































