origin,population
Canada,605
Canada,40
Canada,215
Canada,35
United States,335
Canada,8800
Canada,0
Canada,30
Canada,0
Canada,0
Canada,0
"Other North American origins, n.o.c",10
United Kingdom,0
United Kingdom,0
United Kingdom,10360
Ireland,7140
United Kingdom,0
United Kingdom,8640
United Kingdom,935
"British Isles origins, n.o.c",1020
France,10
France,0
France,0
France,2290
Austria,160
Germany,0
Belgium,115
Netherlands,3025
Belgium,15
Netherlands,10
Germany,4800
Luxembourg,10
Switzerland,430
Denmark,200
Finland,115
Iceland,45
Norway,145
Sweden,190
"Northern European origins, n.o.c ",30
Bulgaria,0
Belarus,0
Czech Republic,125
"Czechoslovakian, n.o.c",45
Estonia,35
Hungary,365
Latvia,0
Lithuania,70
Moldova,0
Poland,895
Romania,90
Russia,200
Slovakia,40
Ukraine,670
"Eastern European origins, n.o.c",10
Albania,0
Bosnia,0
Spain,0
Croatia,75
Cyprus,0
Greece,135
Italy,1060
Kosovo,0
North Macedonia,15
Malta,90
Montenegro,10
Portugal,195
Serbia,60
Italy,0
Slovenia,35
Spain,175
"Yugoslavian, n.o.c",10
"Southern European origins, n.o.c",0
Spain,10
Israel,65
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",10
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,15
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,60
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,30
Saint Vincent and the Grenadines,0
"West India, n.o.c",10
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,25
Belize,0
Bolivia,0
Brazil,0
Chile,35
Colombia,0
Costa Rica,0
Ecuador,10
Guatemala,15
Guyana,45
Hispanic,0
Honduras,20
Maya,0
Mexico,50
Nicaragua,0
Panama,10
Paraguay,0
Peru,0
El Salvador,20
Uruguay,0
Venezuela,10
"Central and South American origins, n.o.c",10
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,15
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,10
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,10
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,50
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",10
"Other African origins, n.o.c",15
Afghanistan,0
"Arab, n.o.c",0
Armenia,20
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,0
Iraq,0
Israel,10
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,30
Palestine,10
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,20
Bhutan,0
India,160
India,0
India,0
India,0
Nepal,0
Pakistan,70
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,160
Philippines,80
Hmong,0
Indonesia,0
Japan,60
Karen,0
South Korea,15
Laos,0
Malaysia,0
Mongolia,10
Singapore,0
Taiwan,0
Thailand,10
China,0
Vietnam,70
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,20
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































