origin,population
Canada,2055
Canada,85
Canada,430
Canada,1585
United States,635
Canada,24860
Canada,0
Canada,20
Canada,0
Canada,10
Canada,0
"Other North American origins, n.o.c",10
United Kingdom,0
United Kingdom,0
United Kingdom,20195
Ireland,20200
United Kingdom,10
United Kingdom,26500
United Kingdom,1455
"British Isles origins, n.o.c",990
France,0
France,10
France,0
France,11585
Austria,130
Germany,0
Belgium,205
Netherlands,2290
Belgium,10
Netherlands,0
Germany,3895
Luxembourg,0
Switzerland,95
Denmark,355
Finland,105
Iceland,65
Norway,195
Sweden,300
"Northern European origins, n.o.c ",65
Bulgaria,30
Belarus,15
Czech Republic,60
"Czechoslovakian, n.o.c",40
Estonia,45
Hungary,195
Latvia,30
Lithuania,80
Moldova,10
Poland,595
Romania,85
Russia,325
Slovakia,40
Ukraine,530
"Eastern European origins, n.o.c",10
Albania,75
Bosnia,20
Spain,10
Croatia,125
Cyprus,0
Greece,120
Italy,665
Kosovo,10
North Macedonia,10
Malta,20
Montenegro,0
Portugal,190
Serbia,70
Italy,10
Slovenia,15
Spain,320
"Yugoslavian, n.o.c",10
"Southern European origins, n.o.c",0
Spain,10
Israel,155
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",95
Antigua and Barbuda,0
The Bahamas,25
Barbados,10
Bermuda,15
Caribbean,0
Cuba,0
Dominican Republic,10
Grenada,0
Guadeloupe,0
Haiti,25
Jamaica,105
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",25
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,15
Belize,15
Bolivia,0
Brazil,50
Chile,20
Colombia,50
Costa Rica,0
Ecuador,0
Guatemala,30
Guyana,10
Hispanic,10
Honduras,0
Maya,45
Mexico,45
Nicaragua,0
Panama,0
Paraguay,0
Peru,25
El Salvador,0
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,15
Guinea,0
Nigeria,10
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,130
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,20
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,75
Libya,40
Mauritania,0
Morocco,30
Sudan,0
Tunisia,0
"North African origins, n.o.c",10
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,10
Harari,0
Kenya,10
Madagascar,0
Mauritius,10
Oromo,0
Rwanda,0
Seychelles,0
Somalia,20
South Africa,40
Tanzania,0
Tigria,0
Uganda,20
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",10
"Black, n.o.c.",30
"Other African origins, n.o.c",365
Afghanistan,10
"Arab, n.o.c",150
Armenia,10
Assyrian,0
Azerbaijan,10
Georgia,10
Hazara,0
Iran,270
Iraq,15
Israel,30
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,615
Palestine,65
Pashtun,0
Saudi Arabia,10
Syria,210
Tajikistan,0
Tatar,15
Turkey,30
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",20
Bangladesh,10
Bangladesh,10
Bhutan,135
India,485
India,0
India,0
India,0
Nepal,185
Pakistan,75
India,10
Sri Lanka,0
Sri Lanka,45
India,10
"South Asian origins, n.o.c",0
Myanmar (Burma),10
Cambodia,0
China,2510
Philippines,350
Hmong,0
Indonesia,10
Japan,100
Karen,0
South Korea,175
Laos,0
Malaysia,10
Mongolia,20
Singapore,0
Taiwan,20
Thailand,40
China,0
Vietnam,60
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",15
Australia,30
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































