origin,population
Canada,4050
Canada,35
Canada,1675
Canada,30
United States,1610
Canada,38285
Canada,10
Canada,55
Canada,0
Canada,10
Canada,45
"Other North American origins, n.o.c",10
United Kingdom,15
United Kingdom,0
United Kingdom,30895
Ireland,19345
United Kingdom,10
United Kingdom,18935
United Kingdom,1705
"British Isles origins, n.o.c",1690
France,0
France,0
France,0
France,20390
Austria,230
Germany,0
Belgium,5055
Netherlands,11390
Belgium,135
Netherlands,70
Germany,11285
Luxembourg,15
Switzerland,230
Denmark,370
Finland,225
Iceland,25
Norway,200
Sweden,440
"Northern European origins, n.o.c ",105
Bulgaria,20
Belarus,15
Czech Republic,1060
"Czechoslovakian, n.o.c",535
Estonia,15
Hungary,1395
Latvia,20
Lithuania,30
Moldova,0
Poland,2235
Romania,640
Russia,770
Slovakia,560
Ukraine,2110
"Eastern European origins, n.o.c",35
Albania,55
Bosnia,25
Spain,0
Croatia,180
Cyprus,10
Greece,320
Italy,2620
Kosovo,10
North Macedonia,45
Malta,165
Montenegro,20
Portugal,1305
Serbia,155
Italy,10
Slovenia,95
Spain,405
"Yugoslavian, n.o.c",255
"Southern European origins, n.o.c",0
Spain,0
Israel,110
Roma,10
"Slavic, n.o.c",0
"Other European origins, n.o.c",105
Antigua and Barbuda,0
The Bahamas,20
Barbados,30
Bermuda,15
Caribbean,0
Cuba,10
Dominican Republic,10
Grenada,25
Guadeloupe,0
Haiti,20
Jamaica,355
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,75
Saint Vincent and the Grenadines,10
"West India, n.o.c",40
"Caribbean origins, n.o.c",30
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,0
Belize,30
Bolivia,0
Brazil,40
Chile,10
Colombia,65
Costa Rica,0
Ecuador,15
Guatemala,20
Guyana,15
Hispanic,25
Honduras,0
Maya,0
Mexico,915
Nicaragua,30
Panama,0
Paraguay,0
Peru,10
El Salvador,85
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",10
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,25
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,20
Libya,10
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,15
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,10
Seychelles,15
Somalia,0
South Africa,25
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,10
Zulu,10
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",170
"Other African origins, n.o.c",825
Afghanistan,0
"Arab, n.o.c",35
Armenia,20
Assyrian,0
Azerbaijan,10
Georgia,0
Hazara,0
Iran,25
Iraq,30
Israel,10
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,360
Palestine,0
Pashtun,25
Saudi Arabia,10
Syria,45
Tajikistan,0
Tatar,0
Turkey,15
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",15
Bangladesh,0
Bangladesh,0
Bhutan,0
India,490
India,0
India,0
India,0
Nepal,25
Pakistan,45
India,0
Sri Lanka,10
Sri Lanka,40
India,0
"South Asian origins, n.o.c",65
Myanmar (Burma),0
Cambodia,10
China,465
Philippines,290
Hmong,0
Indonesia,45
Japan,120
Karen,0
South Korea,160
Laos,35
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,40
Thailand,55
China,0
Vietnam,225
"East and Southeast Asian origins, n.o.c",10
"Other Asian origins, n.o.c",20
Australia,35
New Zealand,10
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































