origin,population
Canada,2855
Canada,40
Canada,1265
Canada,90
United States,1205
Canada,13815
Canada,0
Canada,25
Canada,10
Canada,10
Canada,25
"Other North American origins, n.o.c",25
United Kingdom,15
United Kingdom,15
United Kingdom,22130
Ireland,11845
United Kingdom,55
United Kingdom,16055
United Kingdom,2190
"British Isles origins, n.o.c",2360
France,10
France,0
France,0
France,6810
Austria,610
Germany,0
Belgium,415
Netherlands,2815
Belgium,30
Netherlands,0
Germany,7345
Luxembourg,10
Switzerland,460
Denmark,1100
Finland,605
Iceland,455
Norway,2020
Sweden,1525
"Northern European origins, n.o.c ",330
Bulgaria,35
Belarus,10
Czech Republic,255
"Czechoslovakian, n.o.c",105
Estonia,75
Hungary,635
Latvia,35
Lithuania,60
Moldova,0
Poland,1970
Romania,240
Russia,1275
Slovakia,75
Ukraine,2920
"Eastern European origins, n.o.c",40
Albania,0
Bosnia,0
Spain,10
Croatia,135
Cyprus,10
Greece,195
Italy,1610
Kosovo,0
North Macedonia,10
Malta,145
Montenegro,0
Portugal,255
Serbia,25
Italy,10
Slovenia,30
Spain,540
"Yugoslavian, n.o.c",55
"Southern European origins, n.o.c",0
Spain,20
Israel,155
Roma,15
"Slavic, n.o.c",0
"Other European origins, n.o.c",220
Antigua and Barbuda,0
The Bahamas,0
Barbados,30
Bermuda,0
Caribbean,0
Cuba,30
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,10
Jamaica,35
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,25
Saint Vincent and the Grenadines,0
"West India, n.o.c",35
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),10
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,25
Chile,60
Colombia,25
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,10
Hispanic,0
Honduras,10
Maya,0
Mexico,110
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,30
Uruguay,0
Venezuela,10
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,10
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,15
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,35
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",25
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,30
Libya,0
Mauritania,0
Morocco,20
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,25
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,15
Harari,0
Kenya,10
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,110
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",10
"Black, n.o.c.",15
"Other African origins, n.o.c",120
Afghanistan,0
"Arab, n.o.c",10
Armenia,25
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,30
Iraq,10
Israel,10
Jordan,0
Kazakhstan,0
Kurdistan,10
Kuwait,0
Kyrgyzstan,0
Lebanon,35
Palestine,0
Pashtun,0
Saudi Arabia,10
Syria,15
Tajikistan,0
Tatar,0
Turkey,85
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,385
India,0
India,0
India,0
Nepal,0
Pakistan,20
India,15
Sri Lanka,10
Sri Lanka,20
India,15
"South Asian origins, n.o.c",10
Myanmar (Burma),35
Cambodia,0
China,825
Philippines,300
Hmong,0
Indonesia,40
Japan,255
Karen,0
South Korea,165
Laos,20
Malaysia,45
Mongolia,15
Singapore,0
Taiwan,70
Thailand,40
China,0
Vietnam,215
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",35
Australia,190
New Zealand,85
Fiji,40
United States,40
New Zealand,20
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































