origin,population
Aboriginal from Central/South America (except Arawak and Maya),35
Afghanistan,165
Akan,0
Albania,15
Algeria,55
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",115
Arawak,0
Argentina,0
Armenia,35
Ashanti,0
Assyrian,0
Australia,10
Austria,75
Azerbaijan,0
Bangladesh,10
"Bantu, n.o.c",0
Barbados,15
Belarus,10
Belgium,460
Belize,0
Benin,0
Berber,50
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,25
Bosnia,70
Brazil,30
"British Isles origins, n.o.c",190
Bulgaria,20
Burkina Faso,20
Burundi,55
Cambodia,10
Cameroon,35
Canada,67550
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",10
"Central and West African origins, n.o.c",10
Chad,10
Chile,75
China,195
Colombia,655
Coptic,0
Costa Rica,10
Croatia,45
Cuba,120
Cyprus,0
Czech Republic,15
"Czechoslovakian, n.o.c",10
DR Congo,290
Denmark,20
Dinka,0
Djibouti,0
Dominican Republic,20
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,15
Egypt,50
El Salvador,55
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,0
Finland,25
France,20570
Gabon,10
Georgia,0
Germany,995
Ghana,0
Greece,110
Grenada,0
Guadeloupe,0
Guatemala,120
Guinea,0
Guyana,0
Haiti,200
Harari,0
Hazara,0
Hispanic,10
Hmong,0
Honduras,35
Hungary,85
Iceland,0
India,35
Indonesia,0
Iran,30
Iraq,15
Ireland,3695
Israel,25
Italy,1210
Ivory Coast,0
Jamaica,20
Japan,20
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,10
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,30
Latvia,0
Lebanon,125
Liberia,0
Libya,0
Lithuania,20
Luxembourg,0
Madagascar,10
Malaysia,0
Mali,10
Malinké,0
Malta,25
Martinique,0
Mauritania,0
Mauritius,25
Maya,45
Mexico,105
Moldova,0
Mongolia,10
Montenegro,0
Montserrat,0
Morocco,320
Myanmar (Burma),0
Nepal,0
Netherlands,260
New Zealand,0
Nicaragua,30
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",10
Norway,15
Oromo,0
"Other African origins, n.o.c",120
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",55
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,10
Panama,10
Paraguay,0
Pashtun,0
Peru,85
Peulh,20
Philippines,25
Poland,300
"Polynesian, n.o.c",0
Portugal,200
Puerto Rico,0
Roma,0
Romania,90
Russia,95
Rwanda,35
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,10
Serbia,40
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,10
Slovenia,25
Somalia,0
South Africa,0
"South Asian origins, n.o.c",0
South Korea,0
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",10
Spain,355
Sri Lanka,0
Sudan,0
Sweden,40
Switzerland,225
Syria,50
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,15
The Bahamas,0
The Gambia,0
Tigria,0
Togo,95
Trinidad and Tobago,15
Tunisia,45
Turkey,50
Turkmenistan,0
Uganda,0
Ukraine,160
United Kingdom,3095
United States,485
Uruguay,10
Uzbekistan,0
Venezuela,0
Vietnam,100
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",10
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",10
Zambia,0
Zimbabwe,0
Zulu,0
