origin,population
Canada,3370
Canada,70
Canada,1245
Canada,270
United States,1960
Canada,39830
Canada,0
Canada,160
Canada,50
Canada,50
Canada,65
"Other North American origins, n.o.c",15
United Kingdom,30
United Kingdom,15
United Kingdom,45205
Ireland,33015
United Kingdom,65
United Kingdom,35800
United Kingdom,3585
"British Isles origins, n.o.c",5335
France,35
France,0
France,0
France,14090
Austria,1095
Germany,0
Belgium,770
Netherlands,9250
Belgium,55
Netherlands,100
Germany,21345
Luxembourg,25
Switzerland,1080
Denmark,795
Finland,825
Iceland,200
Norway,885
Sweden,725
"Northern European origins, n.o.c ",185
Bulgaria,70
Belarus,65
Czech Republic,680
"Czechoslovakian, n.o.c",200
Estonia,165
Hungary,2960
Latvia,200
Lithuania,390
Moldova,20
Poland,6735
Romania,920
Russia,1765
Slovakia,510
Ukraine,4080
"Eastern European origins, n.o.c",35
Albania,65
Bosnia,125
Spain,0
Croatia,740
Cyprus,60
Greece,1205
Italy,14430
Kosovo,0
North Macedonia,135
Malta,360
Montenegro,55
Portugal,1955
Serbia,920
Italy,40
Slovenia,415
Spain,1665
"Yugoslavian, n.o.c",150
"Southern European origins, n.o.c",20
Spain,15
Israel,460
Roma,20
"Slavic, n.o.c",25
"Other European origins, n.o.c",280
Antigua and Barbuda,10
The Bahamas,45
Barbados,240
Bermuda,30
Caribbean,0
Cuba,145
Dominican Republic,50
Grenada,25
Guadeloupe,0
Haiti,20
Jamaica,845
Saint Kitts and Nevis,10
Martinique,0
Montserrat,0
Puerto Rico,10
Saint Lucia,10
Trinidad and Tobago,430
Saint Vincent and the Grenadines,50
"West India, n.o.c",305
"Caribbean origins, n.o.c",70
Aboriginal from Central/South America (except Arawak and Maya),75
Arawak,0
Argentina,120
Belize,0
Bolivia,10
Brazil,200
Chile,100
Colombia,225
Costa Rica,30
Ecuador,130
Guatemala,75
Guyana,275
Hispanic,55
Honduras,25
Maya,15
Mexico,400
Nicaragua,70
Panama,30
Paraguay,10
Peru,180
El Salvador,240
Uruguay,65
Venezuela,75
"Central and South American origins, n.o.c",170
Akan,0
Angola,10
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,20
Chad,0
DR Congo,85
Nigeria,0
Togo,0
Gabon,0
The Gambia,10
Ghana,80
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,180
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,50
"Central and West African origins, n.o.c",20
Algeria,10
Berber,10
Coptic,45
Dinka,0
Egypt,360
Libya,55
Mauritania,0
Morocco,50
Sudan,200
Tunisia,10
"North African origins, n.o.c",10
South Africa,0
Ethiopia,20
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,305
Ethiopia,295
Harari,0
Kenya,45
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,10
Seychelles,0
Somalia,105
South Africa,270
Tanzania,25
Tigria,70
Uganda,0
Zambia,0
Zimbabwe,15
Zulu,0
"Southern and East African origins, n.o.c",40
"Black, n.o.c.",130
"Other African origins, n.o.c",570
Afghanistan,1080
"Arab, n.o.c",275
Armenia,185
Assyrian,0
Azerbaijan,30
Georgia,0
Hazara,0
Iran,650
Iraq,100
Israel,85
Jordan,100
Kazakhstan,0
Kurdistan,40
Kuwait,10
Kyrgyzstan,0
Lebanon,410
Palestine,90
Pashtun,70
Saudi Arabia,25
Syria,145
Tajikistan,55
Tatar,10
Turkey,250
Turkmenistan,0
China,0
Uzbekistan,265
Yemen,10
"West Central Asian and Middle Eastern origins, n.o.c",85
Bangladesh,195
Bangladesh,70
Bhutan,100
India,4960
India,25
India,20
India,0
Nepal,260
Pakistan,830
India,585
Sri Lanka,85
Sri Lanka,430
India,30
"South Asian origins, n.o.c",325
Myanmar (Burma),15
Cambodia,190
China,5575
Philippines,3060
Hmong,0
Indonesia,100
Japan,355
Karen,0
South Korea,340
Laos,295
Malaysia,105
Mongolia,0
Singapore,0
Taiwan,150
Thailand,160
China,0
Vietnam,2420
"East and Southeast Asian origins, n.o.c",55
"Other Asian origins, n.o.c",75
Australia,185
New Zealand,60
Fiji,10
United States,10
New Zealand,0
Samoa,0
"Polynesian, n.o.c",15
"Pacific Islands origins, n.o.c",0

































