origin,population
Aboriginal from Central/South America (except Arawak and Maya),30
Afghanistan,10
Akan,0
Albania,10
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,25
Armenia,30
Ashanti,0
Assyrian,0
Australia,30
Austria,510
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,35
Belarus,10
Belgium,190
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",10
Bolivia,0
Bosnia,0
Brazil,25
"British Isles origins, n.o.c",2565
Bulgaria,20
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,31650
Caribbean,0
"Caribbean origins, n.o.c",10
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,15
China,345
Colombia,0
Coptic,0
Costa Rica,0
Croatia,100
Cuba,0
Cyprus,15
Czech Republic,105
"Czechoslovakian, n.o.c",60
DR Congo,0
Denmark,375
Dinka,0
Djibouti,0
Dominican Republic,20
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",25
Ecuador,40
Egypt,10
El Salvador,0
Eritrea,0
Estonia,65
Ethiopia,0
Fiji,0
Finland,250
France,6955
Gabon,0
Georgia,0
Germany,6745
Ghana,0
Greece,295
Grenada,0
Guadeloupe,0
Guatemala,10
Guinea,0
Guyana,80
Haiti,0
Harari,0
Hazara,0
Hispanic,10
Hmong,0
Honduras,0
Hungary,705
Iceland,90
India,285
Indonesia,20
Iran,50
Iraq,25
Ireland,19745
Israel,130
Italy,1965
Ivory Coast,0
Jamaica,205
Japan,85
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,50
Lebanon,60
Liberia,0
Libya,0
Lithuania,95
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,235
Martinique,0
Mauritania,0
Mauritius,0
Maya,10
Mexico,50
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),25
Nepal,0
Netherlands,4425
New Zealand,25
Nicaragua,10
Nigeria,35
"North African origins, n.o.c",0
North Macedonia,110
"Northern European origins, n.o.c ",105
Norway,380
Oromo,0
"Other African origins, n.o.c",115
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",160
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,20
Palestine,15
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,200
Poland,1620
"Polynesian, n.o.c",0
Portugal,520
Puerto Rico,0
Roma,10
Romania,145
Russia,365
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,10
Saint Vincent and the Grenadines,10
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,55
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,145
Slovenia,55
Somalia,0
South Africa,90
"South Asian origins, n.o.c",0
South Korea,75
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,305
Sri Lanka,70
Sudan,0
Sweden,480
Switzerland,375
Syria,65
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,10
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,30
Tunisia,0
Turkey,20
Turkmenistan,0
Uganda,0
Ukraine,1515
United Kingdom,51970
United States,750
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,90
"West Central Asian and Middle Eastern origins, n.o.c",10
"West India, n.o.c",50
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",90
Zambia,20
Zimbabwe,10
Zulu,0
