origin,population
Aboriginal from Central/South America (except Arawak and Maya),40
Afghanistan,65
Akan,0
Albania,15
Algeria,25
Angola,15
Antigua and Barbuda,10
"Arab, n.o.c",60
Arawak,0
Argentina,60
Armenia,90
Ashanti,0
Assyrian,0
Australia,735
Austria,3345
Azerbaijan,15
Bangladesh,125
"Bantu, n.o.c",0
Barbados,35
Belarus,95
Belgium,1185
Belize,10
Benin,0
Berber,0
Bermuda,10
Bhutan,0
"Black, n.o.c.",75
Bolivia,40
Bosnia,175
Brazil,110
"British Isles origins, n.o.c",5630
Bulgaria,95
Burkina Faso,10
Burundi,0
Cambodia,30
Cameroon,10
Canada,60725
Caribbean,0
"Caribbean origins, n.o.c",45
"Central and South American origins, n.o.c",50
"Central and West African origins, n.o.c",0
Chad,0
Chile,200
China,2870
Colombia,145
Coptic,0
Costa Rica,15
Croatia,990
Cuba,20
Cyprus,10
Czech Republic,1235
"Czechoslovakian, n.o.c",510
DR Congo,0
Denmark,2425
Dinka,0
Djibouti,0
Dominican Republic,10
"East and Southeast Asian origins, n.o.c",10
"Eastern European origins, n.o.c",95
Ecuador,25
Egypt,135
El Salvador,125
Eritrea,0
Estonia,190
Ethiopia,75
Fiji,125
Finland,1535
France,21855
Gabon,0
Georgia,20
Germany,43170
Ghana,45
Greece,850
Grenada,10
Guadeloupe,0
Guatemala,65
Guinea,0
Guyana,115
Haiti,55
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,50
Hungary,3895
Iceland,1400
India,3685
Indonesia,175
Iran,505
Iraq,10
Ireland,34115
Israel,645
Italy,8720
Ivory Coast,0
Jamaica,605
Japan,1900
Jordan,20
Karen,0
Kazakhstan,30
Kenya,0
Kosovo,10
Kurdistan,50
Kuwait,0
Kyrgyzstan,0
Laos,20
Latvia,265
Lebanon,480
Liberia,10
Libya,20
Lithuania,255
Luxembourg,25
Madagascar,0
Malaysia,105
Mali,0
Malinké,0
Malta,95
Martinique,0
Mauritania,0
Mauritius,60
Maya,25
Mexico,730
Moldova,55
Mongolia,40
Montenegro,25
Montserrat,0
Morocco,25
Myanmar (Burma),30
Nepal,60
Netherlands,11360
New Zealand,290
Nicaragua,35
Nigeria,50
"North African origins, n.o.c",0
North Macedonia,25
"Northern European origins, n.o.c ",940
Norway,7950
Oromo,0
"Other African origins, n.o.c",435
"Other Asian origins, n.o.c",40
"Other European origins, n.o.c",690
"Other North American origins, n.o.c",10
"Pacific Islands origins, n.o.c",25
Pakistan,150
Palestine,55
Panama,30
Paraguay,55
Pashtun,0
Peru,110
Peulh,0
Philippines,2200
Poland,9850
"Polynesian, n.o.c",0
Portugal,1385
Puerto Rico,10
Roma,30
Romania,1650
Russia,7910
Rwanda,20
Saint Kitts and Nevis,15
Saint Lucia,15
Saint Vincent and the Grenadines,0
Samoa,35
Saudi Arabia,15
Senegal,0
Serbia,475
Seychelles,0
Sierra Leone,0
Singapore,10
"Slavic, n.o.c",50
Slovakia,545
Slovenia,410
Somalia,10
South Africa,445
"South Asian origins, n.o.c",70
South Korea,670
"Southern European origins, n.o.c",10
"Southern and East African origins, n.o.c",25
Spain,1880
Sri Lanka,80
Sudan,0
Sweden,6515
Switzerland,1995
Syria,100
Taiwan,190
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,145
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,145
Tunisia,0
Turkey,115
Turkmenistan,30
Uganda,0
Ukraine,17340
United Kingdom,109530
United States,3730
Uruguay,35
Uzbekistan,0
Venezuela,25
Vietnam,510
"West Central Asian and Middle Eastern origins, n.o.c",20
"West India, n.o.c",55
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",450
Zambia,20
Zimbabwe,10
Zulu,0
