origin,population
Canada,1200
Canada,40
Canada,655
Canada,440
United States,265
Canada,12075
Canada,0
Canada,55
Canada,25
Canada,0
Canada,0
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,20
United Kingdom,8560
Ireland,5635
United Kingdom,0
United Kingdom,6445
United Kingdom,460
"British Isles origins, n.o.c",560
France,0
France,0
France,0
France,3070
Austria,25
Germany,0
Belgium,60
Netherlands,1555
Belgium,10
Netherlands,0
Germany,3430
Luxembourg,0
Switzerland,90
Denmark,65
Finland,50
Iceland,10
Norway,100
Sweden,120
"Northern European origins, n.o.c ",35
Bulgaria,25
Belarus,0
Czech Republic,0
"Czechoslovakian, n.o.c",10
Estonia,10
Hungary,30
Latvia,10
Lithuania,20
Moldova,0
Poland,245
Romania,50
Russia,70
Slovakia,0
Ukraine,200
"Eastern European origins, n.o.c",10
Albania,0
Bosnia,0
Spain,0
Croatia,10
Cyprus,0
Greece,15
Italy,265
Kosovo,0
North Macedonia,10
Malta,0
Montenegro,10
Portugal,40
Serbia,10
Italy,0
Slovenia,0
Spain,85
"Yugoslavian, n.o.c",10
"Southern European origins, n.o.c",0
Spain,0
Israel,50
Roma,35
"Slavic, n.o.c",0
"Other European origins, n.o.c",75
Antigua and Barbuda,0
The Bahamas,10
Barbados,30
Bermuda,0
Caribbean,0
Cuba,10
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,90
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",10
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,0
Chile,0
Colombia,25
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,10
Hispanic,0
Honduras,0
Maya,0
Mexico,10
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,10
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",10
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,10
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,25
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,10
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",15
"Black, n.o.c.",65
"Other African origins, n.o.c",265
Afghanistan,0
"Arab, n.o.c",0
Armenia,10
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,20
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,110
Palestine,10
Pashtun,0
Saudi Arabia,0
Syria,35
Tajikistan,0
Tatar,0
Turkey,25
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,55
India,0
India,0
India,0
Nepal,0
Pakistan,10
India,0
Sri Lanka,0
Sri Lanka,15
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,115
Philippines,130
Hmong,0
Indonesia,0
Japan,30
Karen,0
South Korea,30
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,0
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,0
New Zealand,10
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",20

































