origin,population
Canada,6600
Canada,95
Canada,2255
Canada,415
United States,2265
Canada,58435
Canada,0
Canada,155
Canada,0
Canada,15
Canada,80
"Other North American origins, n.o.c",0
United Kingdom,30
United Kingdom,20
United Kingdom,51555
Ireland,44405
United Kingdom,50
United Kingdom,39150
United Kingdom,3725
"British Isles origins, n.o.c",5690
France,10
France,0
France,0
France,22645
Austria,895
Germany,10
Belgium,565
Netherlands,9745
Belgium,50
Netherlands,45
Germany,16560
Luxembourg,0
Switzerland,590
Denmark,1285
Finland,860
Iceland,305
Norway,1205
Sweden,1205
"Northern European origins, n.o.c ",210
Bulgaria,45
Belarus,30
Czech Republic,660
"Czechoslovakian, n.o.c",175
Estonia,150
Hungary,1205
Latvia,200
Lithuania,300
Moldova,10
Poland,4620
Romania,565
Russia,1350
Slovakia,365
Ukraine,3505
"Eastern European origins, n.o.c",70
Albania,60
Bosnia,40
Spain,0
Croatia,300
Cyprus,15
Greece,1005
Italy,5240
Kosovo,10
North Macedonia,85
Malta,160
Montenegro,10
Portugal,3935
Serbia,195
Italy,75
Slovenia,120
Spain,1235
"Yugoslavian, n.o.c",160
"Southern European origins, n.o.c",10
Spain,10
Israel,425
Roma,35
"Slavic, n.o.c",25
"Other European origins, n.o.c",320
Antigua and Barbuda,25
The Bahamas,15
Barbados,140
Bermuda,15
Caribbean,0
Cuba,105
Dominican Republic,35
Grenada,20
Guadeloupe,0
Haiti,55
Jamaica,610
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,40
Trinidad and Tobago,140
Saint Vincent and the Grenadines,10
"West India, n.o.c",90
"Caribbean origins, n.o.c",55
Aboriginal from Central/South America (except Arawak and Maya),70
Arawak,0
Argentina,25
Belize,0
Bolivia,20
Brazil,155
Chile,30
Colombia,125
Costa Rica,40
Ecuador,25
Guatemala,60
Guyana,135
Hispanic,25
Honduras,40
Maya,25
Mexico,325
Nicaragua,50
Panama,15
Paraguay,0
Peru,45
El Salvador,180
Uruguay,0
Venezuela,70
"Central and South American origins, n.o.c",105
Akan,10
Angola,10
Ashanti,0
Benin,10
Burkina Faso,10
Cameroon,75
Chad,0
DR Congo,20
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,90
Guinea,0
Nigeria,15
Ivory Coast,0
Liberia,15
Mali,0
Malinké,15
Nigeria,75
Peulh,0
Senegal,10
Sierra Leone,15
Togo,20
Wolof,0
Nigeria,25
"Central and West African origins, n.o.c",45
Algeria,35
Berber,50
Coptic,25
Dinka,0
Egypt,450
Libya,45
Mauritania,0
Morocco,110
Sudan,50
Tunisia,50
"North African origins, n.o.c",40
South Africa,0
Ethiopia,10
"Bantu, n.o.c",0
Burundi,30
Djibouti,10
Eritrea,25
Ethiopia,15
Harari,0
Kenya,65
Madagascar,0
Mauritius,0
Oromo,10
Rwanda,0
Seychelles,10
Somalia,45
South Africa,265
Tanzania,20
Tigria,10
Uganda,30
Zambia,10
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",20
"Black, n.o.c.",80
"Other African origins, n.o.c",530
Afghanistan,75
"Arab, n.o.c",400
Armenia,100
Assyrian,0
Azerbaijan,20
Georgia,10
Hazara,0
Iran,580
Iraq,95
Israel,65
Jordan,35
Kazakhstan,0
Kurdistan,30
Kuwait,0
Kyrgyzstan,0
Lebanon,345
Palestine,120
Pashtun,10
Saudi Arabia,110
Syria,120
Tajikistan,0
Tatar,0
Turkey,175
Turkmenistan,20
China,0
Uzbekistan,0
Yemen,10
"West Central Asian and Middle Eastern origins, n.o.c",30
Bangladesh,95
Bangladesh,45
Bhutan,0
India,1980
India,30
India,0
India,35
Nepal,25
Pakistan,420
India,65
Sri Lanka,20
Sri Lanka,160
India,40
"South Asian origins, n.o.c",75
Myanmar (Burma),10
Cambodia,115
China,3020
Philippines,935
Hmong,0
Indonesia,60
Japan,270
Karen,25
South Korea,560
Laos,10
Malaysia,45
Mongolia,10
Singapore,10
Taiwan,40
Thailand,60
China,0
Vietnam,305
"East and Southeast Asian origins, n.o.c",10
"Other Asian origins, n.o.c",55
Australia,205
New Zealand,75
Fiji,0
United States,0
New Zealand,10
Samoa,0
"Polynesian, n.o.c",10
"Pacific Islands origins, n.o.c",0

































