origin,population
Canada,2465
Canada,95
Canada,2445
Canada,65
United States,1355
Canada,20235
Canada,0
Canada,50
Canada,15
Canada,0
Canada,15
"Other North American origins, n.o.c",10
United Kingdom,0
United Kingdom,0
United Kingdom,18530
Ireland,11695
United Kingdom,0
United Kingdom,14485
United Kingdom,1525
"British Isles origins, n.o.c",1990
France,0
France,0
France,0
France,7590
Austria,710
Germany,0
Belgium,560
Netherlands,3495
Belgium,35
Netherlands,10
Germany,28360
Luxembourg,15
Switzerland,385
Denmark,1035
Finland,330
Iceland,270
Norway,4505
Sweden,1780
"Northern European origins, n.o.c ",360
Bulgaria,20
Belarus,25
Czech Republic,300
"Czechoslovakian, n.o.c",210
Estonia,20
Hungary,1070
Latvia,65
Lithuania,80
Moldova,45
Poland,3110
Romania,810
Russia,4715
Slovakia,185
Ukraine,5630
"Eastern European origins, n.o.c",0
Albania,55
Bosnia,170
Spain,0
Croatia,160
Cyprus,10
Greece,175
Italy,1510
Kosovo,15
North Macedonia,10
Malta,10
Montenegro,0
Portugal,225
Serbia,45
Italy,0
Slovenia,50
Spain,585
"Yugoslavian, n.o.c",100
"Southern European origins, n.o.c",0
Spain,10
Israel,125
Roma,10
"Slavic, n.o.c",10
"Other European origins, n.o.c",125
Antigua and Barbuda,0
The Bahamas,15
Barbados,25
Bermuda,0
Caribbean,0
Cuba,110
Dominican Republic,15
Grenada,0
Guadeloupe,0
Haiti,15
Jamaica,175
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,10
Saint Lucia,0
Trinidad and Tobago,45
Saint Vincent and the Grenadines,0
"West India, n.o.c",10
"Caribbean origins, n.o.c",20
Aboriginal from Central/South America (except Arawak and Maya),30
Arawak,0
Argentina,0
Belize,0
Bolivia,10
Brazil,15
Chile,135
Colombia,180
Costa Rica,10
Ecuador,0
Guatemala,20
Guyana,15
Hispanic,10
Honduras,0
Maya,0
Mexico,460
Nicaragua,25
Panama,0
Paraguay,0
Peru,10
El Salvador,125
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",80
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,20
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,15
Ivory Coast,10
Liberia,30
Mali,0
Malinké,0
Nigeria,80
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,10
"Central and West African origins, n.o.c",0
Algeria,15
Berber,0
Coptic,10
Dinka,0
Egypt,85
Libya,0
Mauritania,0
Morocco,0
Sudan,105
Tunisia,0
"North African origins, n.o.c",0
South Africa,15
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,60
Harari,0
Kenya,10
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,15
South Africa,140
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,50
Zulu,10
"Southern and East African origins, n.o.c",30
"Black, n.o.c.",25
"Other African origins, n.o.c",270
Afghanistan,0
"Arab, n.o.c",40
Armenia,15
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,25
Iraq,30
Israel,30
Jordan,0
Kazakhstan,0
Kurdistan,10
Kuwait,0
Kyrgyzstan,0
Lebanon,100
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,165
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",10
Bangladesh,0
Bangladesh,0
Bhutan,0
India,590
India,10
India,15
India,0
Nepal,65
Pakistan,25
India,35
Sri Lanka,0
Sri Lanka,30
India,10
"South Asian origins, n.o.c",15
Myanmar (Burma),10
Cambodia,70
China,760
Philippines,780
Hmong,0
Indonesia,10
Japan,160
Karen,0
South Korea,55
Laos,10
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,10
Thailand,70
China,0
Vietnam,130
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,105
New Zealand,25
Fiji,10
United States,10
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































