origin,population
Canada,1940
Canada,35
Canada,540
Canada,650
United States,75
Canada,11920
Canada,0
Canada,0
Canada,0
Canada,0
Canada,10
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,6760
Ireland,9410
United Kingdom,0
United Kingdom,8425
United Kingdom,400
"British Isles origins, n.o.c",315
France,10
France,0
France,0
France,6790
Austria,25
Germany,0
Belgium,40
Netherlands,505
Belgium,0
Netherlands,0
Germany,1025
Luxembourg,0
Switzerland,35
Denmark,85
Finland,35
Iceland,0
Norway,240
Sweden,60
"Northern European origins, n.o.c ",15
Bulgaria,0
Belarus,0
Czech Republic,30
"Czechoslovakian, n.o.c",0
Estonia,0
Hungary,55
Latvia,10
Lithuania,0
Moldova,0
Poland,60
Romania,0
Russia,60
Slovakia,20
Ukraine,125
"Eastern European origins, n.o.c",0
Albania,0
Bosnia,0
Spain,0
Croatia,0
Cyprus,0
Greece,10
Italy,210
Kosovo,0
North Macedonia,0
Malta,15
Montenegro,0
Portugal,100
Serbia,0
Italy,0
Slovenia,0
Spain,80
"Yugoslavian, n.o.c",0
"Southern European origins, n.o.c",10
Spain,0
Israel,25
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",10
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,15
Caribbean,0
Cuba,25
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,10
Jamaica,20
Saint Kitts and Nevis,10
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,10
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,10
Chile,0
Colombia,15
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,0
Hispanic,0
Honduras,0
Maya,0
Mexico,0
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,10
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",10
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,10
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,10
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,10
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",10
"Other African origins, n.o.c",60
Afghanistan,0
"Arab, n.o.c",10
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,0
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,105
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,40
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,0
Sri Lanka,15
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,85
Philippines,60
Hmong,0
Indonesia,0
Japan,10
Karen,0
South Korea,0
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,10
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,45
New Zealand,10
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































